,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
current-ratio,12.7947,14.3766,14.2949,17.599,14.8253,19.0512,20.4338,7.7354,12.0375,10.0566,9.8708,8.6335,12.349,5.5385,8.7286,12.9016,,,,
long-term-debt-capital,0.0646,0.0614,0.0553,,,,,,,,,,0.0171,0.0301,0.0154,0.0051,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,
roe,9.9623,10.8283,13.3926,11.1389,12.7819,12.6669,11.8212,12.7799,15.0393,16.0925,15.2798,19.5898,19.0359,21.6621,20.4363,24.4399,,,,
return-on-tangible-equity,-12.3017,-10.9697,-12.6526,-8.2557,-12.1405,-9.5244,-7.503,-16.8142,-15.2782,-15.1167,-19.9292,-18.2625,-12.1274,-21.3727,-13.0782,-11.0595,,,,
roa,-10.3602,-9.3626,-10.851,-7.5318,-10.7442,-8.569,-6.8539,-13.6431,-12.4891,-12.0573,-14.8802,-13.8508,-9.6813,-14.0851,-9.465,-8.4788,,,,
roi,-11.1577,-10.0111,-11.6074,-8.0388,-11.6859,-9.1995,-7.2554,-15.5653,-14.2646,-14.0317,-17.6683,-16.4831,-10.9177,-17.6333,-11.2427,-9.7448,,,,
book-value-per-share,8.3833,9.2478,9.1861,10.1673,8.2919,9.1546,9.6038,5.2372,5.8963,5.8331,4.71,5.4931,6.3752,36.9796,41.6555,48.2854,,,,
operating-cash-flow-per-share,-2.6111,-1.8693,-0.9678,-2.8536,-2.1278,-1.298,-0.7111,-3.1817,-2.1582,-1.4608,-1.0208,-4.5839,-2.2518,-14.1709,-5.9514,-23.9426,-11.9977,-15.05,-7.9232,
free-cash-flow-per-share,-2.831,-1.9962,-0.9973,-3.1603,-2.3439,-1.4434,-0.7378,-3.4659,-2.3354,-1.5453,-1.0553,-6.1424,-3.125,-18.1846,-6.9449,-25.4047,-12.6674,-15.3484,-7.9624,
