,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31
current-ratio,1.5109,,,,,
long-term-debt-capital,0.791,,,,,
debt-equity-ratio,3.8901,,,,,
gross-margin,70.0591,100.0,,60.2774,,
operating-margin,-11.269,100.0,,-39.0912,,
ebit-margin,,,,,,
pre-tax-profit-margin,-14.8211,100.0,,-45.8831,,
net-profit-margin,-14.8565,-27.425,,-45.9451,,
asset-turnover,0.3864,,,,,
inventory-turnover,1.0389,,,,,
receiveable-turnover,1.9015,,,,,
days-sales-in-receivables,47.3322,,,,,
roe,-41.5941,,,,,
return-on-tangible-equity,36.8493,,,,,
roa,-5.7409,,,,,
roi,-8.6929,,,,,
book-value-per-share,0.254,,,,,
operating-cash-flow-per-share,-0.2391,,,-0.305,,
free-cash-flow-per-share,-0.2529,,,-0.3134,,
