,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31
current-ratio,1.1718,1.0947,1.0656,1.0818,1.2559,1.2413,1.2932,1.2495,1.3594,1.3244,1.2625,1.2481,1.0334,0.9347,0.962,1.0156,1.4304,1.3406,1.4106,1.6521,1.6125,4.3793,1.604,1.2654,1.4108,1.4662,2.9997,1.9621,1.5052,4.156,1.3316,2.7689,0.9987,,,,,
long-term-debt-capital,0.5988,0.6042,0.6079,0.5752,0.5428,0.5458,0.5429,0.5547,0.5652,0.5769,0.5922,0.6001,0.6152,0.5949,0.5771,0.5661,0.556,0.5347,0.6176,0.5444,0.534,0.383,0.5685,0.556,0.5508,0.5523,0.5618,0.5184,0.5289,0.5395,0.7484,0.7375,0.6305,,,,,
debt-equity-ratio,1.521,1.554,1.5774,1.3687,1.1996,1.214,1.2,1.2593,1.3141,1.378,1.4676,1.5167,1.633,1.4989,1.3917,1.3314,1.2776,1.1722,1.6435,1.2255,1.161,0.6336,1.3367,1.2838,1.2545,1.2634,1.304,1.0943,1.1699,1.212,3.0544,2.8793,1.7942,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,
operating-margin,13.1205,14.3948,11.7434,12.3337,13.673,15.4044,13.3432,15.3621,15.5765,16.704,14.0402,15.3936,15.2825,16.9964,15.577,17.6296,17.9791,18.8516,16.8718,17.7592,17.6366,17.0124,15.9281,17.2896,17.7237,17.5167,16.325,18.4714,17.9177,18.0653,14.4803,16.6266,14.2288,-17.6138,13.659,,13.2498,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,6.3763,7.5764,4.8475,-45.9065,7.2329,9.0446,6.4788,8.3696,8.5751,9.2494,7.1385,6.0377,-15.7642,9.7617,5.2656,10.6029,8.6872,10.8793,5.7972,11.8141,11.2592,17.475,10.3248,10.4922,12.0665,11.4319,4.1758,6.5697,9.9994,9.9672,5.5737,-31.1472,7.3762,-29.801,-3.1343,,11.473,
net-profit-margin,5.4765,6.0986,3.8746,-44.602,6.0758,7.6836,6.8467,9.6105,6.3649,6.9326,5.147,5.9495,-16.0356,7.4609,4.1646,6.9785,6.1597,7.4602,3.9898,7.5039,8.6261,10.5008,6.483,6.4632,7.7769,6.8718,2.3187,3.8205,6.2551,5.8778,4.1077,-21.1121,5.1431,-34.3799,-1.4781,,9.8664,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.2193,2.2782,2.292,2.3376,2.2013,2.3257,2.2828,2.4401,2.4233,2.4848,2.4601,2.6693,2.6468,2.6533,2.2277,2.2865,2.2325,2.4883,2.1151,2.4912,2.2608,1.9278,1.9259,1.9815,1.9794,2.067,2.0464,1.7888,1.8825,2.2018,2.0447,2.1452,2.3842,,,,,
days-sales-in-receivables,40.5535,39.5053,39.2663,38.5017,40.884,38.6987,39.4256,36.8845,37.139,36.2197,36.5846,33.7172,34.0034,33.9197,40.3999,39.3612,40.3132,36.1688,42.551,36.1274,39.8085,46.6848,46.7319,45.4194,45.4678,43.5422,43.9803,50.3125,47.8096,40.8756,44.0157,41.9538,37.7493,,,,,
roe,1.7649,1.9898,1.2279,-14.2085,1.7267,2.2195,1.8831,2.7086,1.8286,2.0884,1.5552,1.911,-5.2722,2.2818,0.9899,2.0157,1.7363,2.031,1.1676,2.5314,2.8709,2.5085,2.6244,2.5793,3.1179,2.7218,0.928,1.0376,2.5982,2.4766,3.3045,-15.3303,4.6385,,,,,
return-on-tangible-equity,-46.1481,-47.1211,-22.9744,217.9746,-32.8334,-33.1648,-30.1354,-26.2333,-13.7959,-11.8622,-6.5415,-6.9417,21.7189,-11.5594,-8.1549,-6.7208,-7.8487,-10.0057,-2.0472,39.5807,42.2049,10.7617,-6.8531,-6.1562,-7.2854,-6.1742,-2.7964,-3.1866,-7.039,-24.242,-1.9557,14.9703,-4.0132,,,,,
roa,0.635,0.7098,0.4349,-5.3711,0.7088,0.9056,0.7726,1.0847,0.7172,0.797,0.5733,0.6876,-1.8319,0.8316,0.3788,0.7928,0.6997,0.8619,0.4023,1.0105,1.1891,1.4101,1.0149,1.0124,1.2507,1.1014,0.3736,0.4564,1.0912,1.0403,0.734,-3.577,1.3245,,,,,
roi,0.7081,0.7876,0.4814,-6.0358,0.7894,1.0082,0.8609,1.2061,0.795,0.8837,0.6343,0.7642,-2.029,0.9243,0.4186,0.8747,0.7708,0.9451,0.4464,1.1533,1.3378,1.5477,1.1325,1.1452,1.4007,1.2184,0.4066,0.4997,1.2241,1.1406,0.8313,-4.0245,1.7139,,,,,
book-value-per-share,27.6158,27.6382,27.4373,26.6834,30.6795,30.3825,30.9506,29.5529,28.5782,27.3231,25.7249,25.006,25.8744,28.142,29.6149,23.7897,23.6234,23.603,19.1225,14.8782,14.9803,15.1317,9.8801,9.6006,9.3228,9.01,8.7435,8.6706,6.07,5.9031,3.1337,3.0005,4.366,,,,,
operating-cash-flow-per-share,2.4304,1.4651,0.498,4.7438,3.2693,2.4845,0.8288,4.5897,3.1128,2.1544,0.656,4.2046,2.9977,2.1048,0.7032,3.5151,1.9981,1.326,0.2897,2.0837,1.1622,0.5643,0.1455,1.3044,0.9183,0.5816,0.0187,0.876,0.5557,0.2874,0.1526,-1.1018,0.4293,0.2029,0.0335,,0.3104,
free-cash-flow-per-share,0.0436,-0.1695,-0.3038,0.6213,0.3062,0.5362,-0.026,0.9688,0.5075,0.5424,0.0457,0.1541,-0.3262,-0.2682,-0.5541,-0.9104,-1.1353,-0.4993,-0.5784,-0.382,-0.402,-0.6254,-0.6021,-0.2282,-0.1813,-0.088,-0.2353,-11.2976,-0.9983,-0.2987,0.0317,-2.0755,-0.077,-0.1012,-0.011,,0.2737,
