,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
current-ratio,5.9564,6.0048,11.446,11.5905,16.529,14.9126,,,,,
long-term-debt-capital,0.5711,0.2822,0.2308,0.2972,0.2496,0.1425,,,,,
debt-equity-ratio,1.3314,0.4332,0.3001,0.4229,0.3327,0.1662,,,,,
gross-margin,96.904,92.8125,100.0,100.0,100.0,100.0,84.0304,,100.0,99.292,
operating-margin,-9313.312,-10643.75,-10256.86,-2536.079,-2567.526,-1508.791,-4460.076,,-4454.117,-920.1771,
ebit-margin,,,,,,,,,,,
pre-tax-profit-margin,-10165.94,-10745.31,-10192.34,-2549.189,-2537.285,-1585.714,-4527.376,,-4427.647,-926.0176,
net-profit-margin,-10165.94,-10745.31,-10192.34,-2549.189,-2537.285,-1585.714,-4527.376,,-4427.647,-926.0176,
asset-turnover,,,,,,,,,,,
receiveable-turnover,0.3696,0.3874,0.0684,0.2792,0.3362,0.769,,,,,
days-sales-in-receivables,243.5294,232.3125,1316.613,322.3596,267.6804,117.033,,,,,
roe,-75.2153,-45.9748,-23.6013,-27.0788,-15.5246,-11.878,,,,,
return-on-tangible-equity,-75.2153,-45.9748,-23.6013,-27.0788,-15.5246,-11.878,,,,,
roa,-25.6331,-25.6808,-15.7029,-17.0119,-10.7325,-9.3934,,,,,
roi,-32.2617,-33.0009,-18.1534,-19.0305,-11.6494,-10.1856,,,,,
book-value-per-share,1.6196,2.7767,3.9844,3.6239,4.5828,5.285,,,,,
operating-cash-flow-per-share,-2.7753,-1.6435,-0.8978,-4.672,-1.8318,-5.2061,-3.5968,,-7.6892,-4.9387,
free-cash-flow-per-share,-2.8073,-1.6618,-0.9063,-4.7974,-1.8926,-5.3217,-3.7502,,-7.9185,-5.1558,
