,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31
current-ratio,6.2055,9.3354,11.6358,24.9414,26.201,22.2833,15.8367,18.9438,15.3762,5.3521,6.6403,8.6584,9.1732,15.6154,6.5052,6.2934,12.0868,9.3838,11.9174,5.5101,7.6194,0.051,,,,,
long-term-debt-capital,0.0028,0.003,0.0031,,,,,,,0.0134,0.0239,0.035,0.0427,0.0491,0.0996,0.1332,0.1322,0.1128,0.1137,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,-25.1443,-18.5474,-20.4422,-14.6268,-11.8555,-11.3224,-10.2382,0.1232,-8.6502,-9.9765,-10.015,-8.8732,-7.4452,-4.3229,-12.0097,-15.2554,-9.417,-9.6671,-8.1859,-14.4509,-47.88,-66.2429,,,,,
return-on-tangible-equity,-34.3401,-23.8106,-25.3013,-17.5115,-13.8929,-13.0799,-11.6687,0.1389,-9.7656,-11.7602,-11.644,-10.3213,-8.5718,-4.9308,-15.4585,-20.8633,-12.3222,-12.3534,-10.2293,-20.317,-64.8936,-137.0529,,,,,
roa,-12.5996,-10.3719,-12.1932,-9.4892,-7.9857,-7.785,-7.1177,0.0882,-5.8192,-7.6779,-7.867,-7.0738,-5.9437,-3.5587,-8.4767,-10.2199,-6.6493,-7.0079,-5.9827,-10.8723,-37.0325,-36.5691,,,,,
roi,-25.0735,-18.4921,-20.3782,-14.6268,-11.8555,-11.3224,-10.2382,0.1232,-8.6502,-9.8433,-9.7758,-8.5629,-7.1272,-4.1107,-10.813,-13.2229,-8.1722,-8.5763,-7.2554,-14.4509,-47.88,-66.243,,,,,
book-value-per-share,1.4229,1.7237,1.984,2.3182,2.6101,2.8559,3.1302,3.3962,3.3637,2.6669,2.8957,3.026,3.2504,3.4652,2.3853,2.2378,2.5512,2.766,3.011,2.793,3.0758,3.4309,,,,,
operating-cash-flow-per-share,-0.7495,-0.5056,-0.2464,-1.0812,-0.8288,-0.5718,-0.2821,0.0815,0.2936,-0.351,-0.1709,-0.8151,-0.4815,-0.4156,-0.2224,-1.0366,-0.7146,-0.483,-0.2528,-2.8261,-1.7431,-0.4975,-0.1796,,-0.2322,-0.1451,
free-cash-flow-per-share,-0.7495,-0.5056,-0.2464,-1.0812,-0.8288,-0.5718,-0.2821,0.0801,0.2936,-0.351,-0.1709,-0.8151,-0.4815,-0.4156,-0.2224,-1.0366,-0.7146,-0.483,-0.2528,-2.8297,-1.745,-0.4975,-0.1796,,-0.2322,-0.1451,
