,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
current-ratio,9.5557,7.7952,9.9635,8.0414,13.8139,15.6081,19.6501,6.2284,12.4859,19.3792,30.1497,26.9305,20.6188,29.8704,35.1852,33.4326,52.7496,13.7954,48.29,38.9229,21.568,27.1704,22.3425,33.9948,,,,
long-term-debt-capital,0.0436,0.0604,0.0484,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,-22.5771,-31.9995,-23.3354,-23.6123,-14.4797,-11.2449,-9.4364,-19.8539,-15.0984,-12.4028,-11.004,-7.1866,-9.3904,-6.5048,-5.4507,-6.7433,-3.556,-10.0131,-5.515,-10.2024,25.7024,24.5791,47.9393,44.9306,,,,
return-on-tangible-equity,-22.5771,-31.9995,-23.3354,-23.6123,-14.4797,-11.2449,-9.4364,-19.8539,-15.0984,-12.4028,-11.004,-7.1866,-9.3904,-6.5048,-5.4507,-6.7433,-3.556,-10.0131,-5.515,-10.2024,-11.4836,-8.024,-11.7742,-9.8854,,,,
roa,-19.7089,-27.1128,-20.404,-20.4196,-13.1758,-10.3272,-8.7597,-16.2151,-13.5381,-11.2339,-10.6123,-6.9095,-8.9211,-6.2763,-5.2914,-6.5383,-3.4867,-9.2767,-5.394,-9.9197,-10.9368,-7.7107,-11.2127,-9.5508,,,,
roi,-21.5918,-30.0682,-22.2063,-23.6123,-14.4797,-11.2449,-9.4364,-19.8539,-15.0984,-12.4028,-11.004,-7.1866,-9.3904,-6.5048,-5.4507,-6.7433,-3.556,-10.0131,-5.515,-10.2024,-11.4836,-8.024,-11.7742,-9.8854,,,,
book-value-per-share,5.8835,4.9544,6.1316,7.3743,8.8302,9.9814,10.0058,5.788,6.7315,7.3951,8.009,8.7698,9.3684,10.111,10.6299,11.0721,11.7824,6.1798,6.9461,5.2395,34.1344,40.7975,35.3412,4.1714,,,,
operating-cash-flow-per-share,-3.2217,-2.6879,-1.522,-4.1034,-2.6946,-1.6732,-0.8794,-2.9301,-2.053,-1.4475,-0.7583,-2.0891,-1.3493,-0.8121,-0.4376,-1.4524,-0.9309,-0.531,-0.3021,-3.3349,-8.2714,-5.6687,-2.3096,,-3.5552,,-0.6756,
free-cash-flow-per-share,-3.2738,-2.7189,-1.5392,-4.9234,-3.394,-2.2874,-1.3797,-3.6076,-2.3987,-1.5959,-0.7998,-2.1942,-1.4196,-0.8693,-0.4689,-1.4637,-0.9316,-0.5313,-0.3024,-3.3442,-8.2785,-5.6724,-2.3104,,-3.5583,,-0.6756,
