,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
current-ratio,7.5288,5.6149,6.3977,7.5265,9.4358,4.9182,7.1993,9.2855,7.2086,8.9246,4.938,6.1449,3.2293,3.2869,4.0737,4.8845,5.8896,7.2091,6.6727,10.9105,11.6626,11.0821,11.0848,11.8807,2.0426,,,,,
long-term-debt-capital,0.0874,0.2181,0.2044,0.072,0.0625,0.1985,0.1779,0.161,0.2443,0.1079,0.0166,0.0331,0.1538,0.224,0.2207,0.2193,0.2192,0.2216,0.4358,0.3894,0.2185,,,,1.952,,,,,
debt-equity-ratio,0.1538,0.3339,0.2922,0.0928,0.0855,0.2865,0.2281,0.1918,0.3233,0.1209,0.1363,0.1461,0.498,0.6286,0.5339,0.4795,0.4251,0.3856,0.9256,0.6919,0.2978,0.0188,0.0274,0.0341,-2.6025,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,100.0,100.0,100.0,,100.0,
operating-margin,-1116.468,-854.9521,-776.8237,-1007.887,-1626.901,-1908.958,-1369.786,-1192.21,-1007.797,-932.7485,-970.8862,-745.2773,-817.6412,-779.3574,-598.7897,-642.3793,-616.7641,-2193.921,,,,,,,-2463.158,-1472.069,-711.017,,-691.2879,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-1095.471,-833.4399,-750.7599,-964.9007,-1635.673,-1913.729,-1377.68,-1216.846,-1041.325,-940.0584,-985.9787,-773.1254,-851.5593,-818.6953,-633.6611,-692.0076,-671.1501,-2364.438,,,,,,,-2905.741,-1908.276,-751.6949,,-778.9772,
net-profit-margin,-1095.471,-833.4399,-750.7599,-964.901,-1635.672,-1913.729,-1377.68,-1216.845,-1041.325,-940.0585,-985.9787,-773.1258,-851.5594,-818.6953,-633.6611,-692.0076,-671.1501,-2364.438,,,,,,,-2905.741,-1908.276,-751.6949,,-778.9772,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,5.264,3.322,2.052,,2.052,,,,,,,,,,1.2128,,,,,,,,,,,,,
days-sales-in-receivables,,,17.0973,27.0921,43.8597,,43.8597,,,,,,,,,,74.2105,,,,,,,,,,,,,
roe,-9.9273,-18.4108,-13.5497,-9.9878,-9.6489,-37.926,-21.7488,-16.1908,-23.3551,-17.4697,-15.8578,-10.8543,-34.4342,-36.3526,-27.2627,-19.5752,-15.3039,-15.2308,-37.0853,-21.9937,-19.6658,-15.306,-15.4503,-11.2866,9.1458,,,,,
return-on-tangible-equity,-9.9272,-18.4104,-13.5494,-9.9876,-9.6488,-37.9238,-21.7478,-16.1901,-23.3535,-17.4687,-15.8571,-10.8538,-34.4342,-36.3526,-27.2627,-19.5752,-15.3039,-15.2308,-37.0853,-21.9937,-19.6658,-15.306,-15.4503,-11.2866,61.4925,,,,,
roa,-7.8214,-11.7462,-8.9466,-7.5233,-7.6298,-23.6354,-15.1306,-11.8689,-14.7011,-13.0422,-11.867,-8.3537,-17.7239,-17.0971,-14.2697,-10.9568,-9.0127,-9.3181,-17.7141,-12.1779,-14.046,-13.9308,-14.0587,-10.3251,-26.3585,,,,,
roi,-9.0596,-14.3955,-10.7794,-9.2687,-9.0454,-30.3959,-17.8779,-13.5841,-17.6484,-15.5844,-15.5931,-10.495,-29.1398,-28.21,-21.2469,-15.2814,-11.9486,-11.8559,-20.9239,-13.4294,-15.3683,-15.306,-15.4503,-11.2866,-58.5406,,,,,
book-value-per-share,3.5542,1.9526,2.2397,2.4804,2.6964,0.9707,1.2297,1.4661,1.1035,1.3331,1.5424,1.7676,0.743,0.8008,1.0646,1.3246,1.598,1.7846,1.0298,1.3778,1.6328,1.9278,2.2076,2.4884,-7.1669,,,,,
operating-cash-flow-per-share,-0.8612,-0.5797,-0.2695,-0.6878,-0.5099,-0.4531,-0.2379,-0.877,-0.6299,-0.3943,-0.1801,-0.9392,-0.694,-0.5112,-0.252,-0.7219,-0.3988,-0.1796,-0.3102,-1.0962,-0.7938,-0.5249,-0.2583,-2.6074,-8.5471,-5.9056,-3.2424,,-8.4372,
free-cash-flow-per-share,-0.933,-0.634,-0.2963,-0.7288,-0.5318,-0.4618,-0.2414,-0.9181,-0.6523,-0.408,-0.1839,-0.953,-0.707,-0.5245,-0.2582,-0.7807,-0.4449,-0.2074,-0.3321,-1.1393,-0.8237,-0.5456,-0.2778,-2.6477,-8.6168,-5.9629,-3.2481,,-8.7908,
