,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
current-ratio,6.8997,5.2188,6.9617,4.8166,10.7581,11.8443,2.5934,0.5362,,,,
long-term-debt-capital,0.0956,0.1062,0.0198,0.0001,0.0001,0.0002,-0.0005,-0.0007,,,,
debt-equity-ratio,0.1161,0.1316,0.0249,0.0004,0.0004,0.0005,-0.0009,-0.0318,,,,
gross-margin,100.0,100.0,100.0,,,,,,,,,
operating-margin,-304.4357,-1071.177,-2635.898,,,,,,,,,
ebit-margin,,,,,,,,,,,,
pre-tax-profit-margin,-301.4449,-1055.359,-2290.807,,,,,,,,,
net-profit-margin,-291.9917,-1050.748,-2290.807,,,,,,,,,
asset-turnover,,,,,,,,,,,,
roe,-5.3675,-16.0713,-12.4513,-25.9769,-16.0103,-27.6392,26.9281,18.1884,,,,
return-on-tangible-equity,-5.3675,-16.0713,-12.4513,-25.9769,-16.0103,-27.6392,26.9281,18.1884,,,,
roa,-3.2921,-8.2277,-6.9737,-21.7316,-14.6575,-25.4772,-32.3022,-33.3215,,,,
roi,-4.8544,-14.3647,-12.2052,-25.9746,-16.0083,-27.6339,26.9408,18.2016,,,,
book-value-per-share,5.329,3.8858,4.3313,2.9598,3.5441,3.9903,-6.5241,-5.4349,,,,
operating-cash-flow-per-share,1.2121,1.8406,2.8553,-3.1077,-1.8003,-2.6762,-1.9487,-2.1057,-1.6666,-1.2382,-0.7555,
free-cash-flow-per-share,1.0901,1.7734,2.8165,-3.7019,-1.8903,-2.773,-2.0843,-3.3341,-2.6412,-1.8054,-0.9608,
