,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31
current-ratio,0.5468,0.993,1.0003,0.9958,0.9503,0.9139,0.8842,0.9733,1.3366,1.3983,1.4141,1.3108,1.313,1.2459,1.3578,1.2395,1.2194,1.126,2.0913,1.3512,0.8475,,,,,,
long-term-debt-capital,0.1523,0.6041,0.5012,0.4852,0.3655,0.3689,0.3711,0.4101,0.1526,0.1577,0.1635,0.1403,0.1428,0.1465,0.161,0.1715,0.1831,0.1943,,,0.7064,,,,,,
debt-equity-ratio,4.3991,1.9962,1.3811,1.3464,0.8241,0.778,0.791,0.9618,0.2302,0.2083,0.2206,0.2394,0.2518,0.2097,0.2028,0.2186,0.2794,0.4039,,,14.6009,,,,,,
gross-margin,4.8713,5.6482,6.3033,6.8981,6.7979,6.9499,6.7321,4.9601,5.786,5.9224,7.8841,2.1458,6.647,7.6499,7.9567,7.7689,8.0011,8.6223,6.584,6.6817,6.7444,5.4586,6.3368,,5.8024,,
operating-margin,-12.9002,-11.5685,-0.2903,-21.5848,0.7237,0.549,0.6474,0.2481,0.2052,0.4299,0.7924,0.5945,0.1163,1.2728,2.5148,0.7094,2.8411,0.8905,0.7742,-0.2171,0.9838,0.3845,1.282,,0.953,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-13.7848,-12.3505,-1.0886,-22.329,0.0035,-0.1571,-0.0982,-0.1485,0.0266,0.2615,0.6055,0.0409,-0.0345,1.1427,2.3815,0.564,2.6878,0.6642,0.7397,-0.9286,1.1701,0.4458,1.1826,,0.7546,,
net-profit-margin,-13.6244,-12.3842,-1.1379,-22.2189,0.0123,-0.2799,-0.0335,0.5659,0.0903,0.3188,0.4048,-0.0959,0.4578,0.784,1.5493,0.3615,1.6856,0.4195,0.4574,-0.399,0.6374,0.254,0.341,,0.7546,,
asset-turnover,1.1192,0.9791,0.8685,0.9216,0.7627,0.779,0.7328,0.5953,0.9748,1.0247,0.9931,1.0415,1.045,0.9501,0.9683,0.9853,0.9622,0.8038,1.147,1.5691,1.8457,,,,,,
inventory-turnover,6.8236,6.784,6.7481,6.0158,7.5353,7.743,6.4291,5.3135,5.4364,5.9493,4.9614,5.2021,5.5966,5.5187,5.0639,5.4845,5.6829,4.6302,5.318,5.1605,8.2607,,,,,,
receiveable-turnover,3.846,3.9067,3.8099,4.166,3.8344,4.0477,4.0712,3.4782,4.0489,4.0288,4.2227,4.1545,4.0848,3.4316,3.7101,3.8747,3.668,3.1329,3.7315,3.9419,4.3984,,,,,,
days-sales-in-receivables,23.4007,23.0374,23.6228,21.6034,23.4715,22.2347,22.1063,25.8757,22.2281,22.3393,21.3133,21.6634,22.0328,26.2268,24.2579,23.2274,24.5368,28.7275,24.1192,22.8315,20.4619,,,,,,
roe,-135.2952,-53.2497,-3.1233,-64.0796,0.0221,-0.5233,-0.0597,0.8688,0.1485,0.5491,0.6796,-0.2092,0.461,1.367,2.7623,0.6409,3.1241,0.6583,0.8228,-1.9884,-4.7694,,,,,,
return-on-tangible-equity,44.7298,41.703,3.7762,77.345,-0.0412,0.9075,0.0985,-1.3706,1.3836,4.2429,4.8392,-1.3204,3.1662,11.9886,19.8426,9.5535,105.2409,-15.133,1.0343,-3.3348,-7.1703,,,,,,
roa,-15.2485,-12.1254,-0.9883,-20.1864,0.0094,-0.2181,-0.0246,0.3356,0.0833,0.3175,0.389,-0.1168,0.2502,0.7238,1.4762,0.3299,1.5935,0.3097,0.4905,-0.8601,1.4074,,,,,,
roi,-114.6924,-21.0794,-1.5578,-32.9872,0.014,-0.3303,-0.0375,0.5125,0.1258,0.4625,0.5685,-0.1799,0.3952,1.1667,2.3177,0.531,2.5521,0.5305,0.8228,-1.9884,20.1903,,,,,,
book-value-per-share,1.7247,3.9931,6.1284,6.2448,10.2737,10.1973,10.1777,10.1461,9.4118,9.3437,9.2567,9.1923,9.195,9.1431,8.5092,7.99,7.8129,7.4332,5.5723,3.279,0.1981,,,,,,
operating-cash-flow-per-share,1.4309,0.8932,0.3176,0.472,0.4443,0.8988,0.6564,1.9665,1.3617,0.9859,0.6535,0.4604,0.4594,0.6754,-0.0822,0.4667,0.0386,-0.6259,-0.0748,-0.2482,0.5733,0.6254,-0.0265,,0.0044,,
free-cash-flow-per-share,1.1924,0.7119,0.2137,0.336,0.222,0.7455,0.6176,1.8189,0.1503,0.9163,0.6262,0.1839,0.2428,0.5129,-0.167,0.2029,-0.1372,-0.7359,-0.1464,-0.5324,0.3782,0.4962,-0.0649,,-0.1162,,
