,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-09-30,2010-09-30
current-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,,
operating-margin,8.4635,-3.2903,39.8592,51.264,39.5376,38.2733,37.726,71.5095,-174.797,-106.1056,-67.6394,-24.1336,-7.7908,-4.3448,73.473,25.4856,14.6823,84.6497,90.5959,-201.9719,82.9826,-237.3611,-611.0862,-348.4804,-253.3657,-334.5318,78.6425,100.0,-138.7884,87.7752,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,13.9067,2.3744,42.5565,53.3904,41.8742,40.6933,40.2451,72.3787,-166.8087,-99.9777,-62.6092,-20.4657,-4.5929,-0.7152,74.1521,29.0164,17.1567,85.0158,90.9843,-193.0224,83.0682,-240.8796,-601.3438,-329.3551,-250.94,-313.4615,78.8148,,-137.7262,87.819,,
net-profit-margin,15.8586,10.459,37.2192,40.8005,35.4301,28.5024,30.683,48.083,-112.1821,-60.1853,-47.8065,-14.0332,-7.6978,-12.65,54.0592,40.3163,20.8466,50.1212,54.2066,-191.2021,119.0293,-240.8796,-601.3438,-329.3551,-250.94,-417.4749,6.7052,-289.7739,-190.0472,7.1872,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.0,1.0,1.0,1.0,1.0,1.0,1.6491,7.1535,1.0,1.0,1.0,1.0,1.0,1.0,2.5662,0.9169,0.8854,6.6466,0.9871,0.5868,15.8205,0.8301,0.7392,0.8474,0.888,0.8323,,,,,,
days-sales-in-receivables,90.0,90.0,90.0,90.0,90.0,90.0,54.5753,12.5813,90.0,90.0,90.0,90.0,90.0,90.0,35.0711,98.1534,101.6467,13.5407,91.1729,153.3788,5.6888,108.4167,121.7469,106.212,101.3523,108.1355,,,,,,
roe,1.5702,0.9502,6.0939,6.9651,5.6215,3.7657,3.6819,12.1017,-3.23,-2.027,-1.857,-0.6676,-0.4,-0.6175,9.9096,2.4611,1.0592,12.8239,21.6862,-3.3918,32.7244,-5.1153,-5.0862,-4.022,-3.6168,-3.1671,,,,,,
return-on-tangible-equity,1.5702,0.9502,6.0939,6.9651,5.6215,3.7657,3.6819,12.1017,-3.23,-2.027,-1.857,-0.6676,-0.4,-0.6175,9.9096,2.4611,1.0592,12.8239,21.6862,-3.3918,32.7244,-5.1153,-5.0862,-4.022,-3.6168,-3.1671,,,,,,
roa,1.486,0.898,5.7266,6.6196,5.3518,3.5401,3.4319,11.1769,-3.0547,-1.9329,-1.7889,-0.6406,-0.3816,-0.5842,9.4077,2.3625,1.0169,11.6937,19.5003,-3.2442,31.3784,-4.8022,-4.8748,-3.7983,-3.4578,-2.9842,,,,,,
roi,1.5702,0.9502,6.0939,6.9651,5.6215,3.7657,3.6819,12.1017,-3.23,-2.027,-1.857,-0.6676,-0.4,-0.6175,9.9096,2.4611,1.0592,12.8239,21.6862,-3.3918,32.7244,-5.1153,-5.0862,-4.022,-3.6168,-3.1671,,,,,,
book-value-per-share,22.7668,22.1775,21.9622,20.298,18.6416,17.3106,16.5838,15.778,13.6651,13.9609,14.0845,14.1803,14.1315,14.0537,14.0611,12.6173,12.2024,11.9965,10.4074,7.9943,8.2317,5.5047,5.8767,6.1614,6.4182,6.6432,,,,,,
operating-cash-flow-per-share,2.9791,2.8619,1.4538,1.415,0.0418,-0.1538,0.2214,2.7131,-0.2439,0.0075,0.1652,1.8627,1.9984,2.1165,1.5565,3.9737,4.1004,4.8394,-0.2909,1.0855,1.3077,-0.5449,-0.3271,0.595,0.7383,8.7035,3.43,20.071,21.7188,11.097,,
free-cash-flow-per-share,2.7364,2.7248,1.4354,1.2707,-0.0704,-0.2148,0.1961,2.584,-0.3629,-0.0729,0.1151,1.6163,1.7706,1.9205,1.4425,3.8527,4.0612,4.821,-0.3042,1.0302,1.2794,-0.5539,-0.3284,0.5612,0.7156,8.5429,3.4259,19.9113,21.6518,11.0828,,
