,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31
current-ratio,3.1158,3.0656,3.217,2.5805,2.1709,,,,,,
long-term-debt-capital,0.2985,0.3115,0.3192,0.3198,0.3255,,,,,,
debt-equity-ratio,0.4301,0.4575,0.4745,0.4757,0.4825,,,,,,
gross-margin,53.2737,54.4524,52.975,48.3923,51.4124,43.9756,51.1003,,46.0336,,
operating-margin,2.6967,9.5701,9.3284,5.5674,12.1272,-4.0509,10.7851,,-1.578,,
ebit-margin,,,,,,,,,,,
pre-tax-profit-margin,-1.6206,6.4227,6.1278,-0.2752,10.3534,-5.1935,10.527,,-1.3054,,
net-profit-margin,1.2965,4.5931,4.3086,2.0518,7.9096,-8.1537,9.875,,-2.9694,,
asset-turnover,0.0874,0.0882,0.0836,0.0892,0.0826,,,,,,
inventory-turnover,0.3372,0.338,0.332,0.4108,0.3666,,,,,,
receiveable-turnover,0.9367,0.94,0.8836,1.1267,1.195,,,,,,
days-sales-in-receivables,96.0794,95.7459,101.8547,79.8774,75.3134,,,,,,
roe,0.1822,0.6818,0.6062,0.3155,1.1719,,,,,,
return-on-tangible-equity,9.4073,-76.546,-25.5268,-7.6815,-17.3737,,,,,,
roa,0.1133,0.4053,0.3601,0.1831,0.6535,,,,,,
roi,0.1278,0.4694,0.4127,0.2146,0.7905,,,,,,
book-value-per-share,14.7124,14.3981,14.2088,14.2147,14.0502,,,,,,
operating-cash-flow-per-share,0.2621,0.1586,0.0153,1.5534,1.1547,0.627,0.1602,,0.4571,,
free-cash-flow-per-share,0.0316,0.0174,-0.0612,1.1546,0.908,0.4344,0.0488,,0.3704,,
