,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
current-ratio,1.9197,3.5474,3.9072,4.6373,3.3626,1.7757,2.4489,1.9214,2.0472,2.4467,3.1072,3.3315,3.1458,3.6195,4.3181,4.2659,3.9229,2.9277,4.9032,3.6808,4.6177,9.1003,10.4868,9.4587,10.4598,7.6705,,,,,
long-term-debt-capital,0.4931,0.4736,0.4316,0.3581,0.248,0.0127,0.0116,0.0136,0.0137,0.0133,0.0136,0.0131,0.0129,0.0118,0.0112,0.0107,0.0106,0.0162,0.0125,0.0208,0.0242,0.0051,0.0041,0.0043,0.0059,0.0101,,,,,
debt-equity-ratio,1.1402,0.9201,0.776,0.5605,0.331,0.0147,0.013,0.0151,0.0151,0.0147,0.0153,0.0154,0.0147,0.0135,0.0134,0.0129,0.0131,0.0212,0.0158,0.0309,0.0302,0.0052,0.0041,0.0043,0.0066,0.0114,,,,,
gross-margin,35.7158,51.6645,34.0819,67.3173,52.7675,59.0635,61.3952,80.3152,67.3722,69.0464,70.5844,68.7818,69.4621,67.4578,64.9293,63.9525,68.771,59.3081,58.5305,59.3657,69.1466,99.5504,99.5798,99.692,100.0,100.0,100.0,,100.0,100.0,
operating-margin,-210.9838,-103.9543,-251.5663,-779.7915,-204.8539,-109.8509,-132.7359,-34.5015,-97.2423,-64.7953,-58.3865,-70.8447,-58.8364,-44.2315,-93.3123,-82.8836,-14.8331,-38.8274,-257.3872,-60.9835,-70.9865,-153.4063,-227.5528,-248.1591,-199.2221,-213.0643,-360.5148,,-563.5898,-779.4571,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-234.9781,-109.6426,-268.7551,-795.9129,-225.1849,-150.0961,-129.8215,-45.1403,-90.5207,-37.6151,-61.2313,-98.9066,-62.119,-96.421,-155.6264,-79.6785,-74.8627,-90.3522,78.5814,57.2687,-254.102,-451.4974,45.2636,-182.2484,248.1132,-97.444,-935.9587,,-700.5129,-606.5664,
net-profit-margin,-232.7562,-107.7252,-260.1628,-788.3871,-176.6642,-144.4108,-116.3843,-35.5095,-86.2504,-34.288,-58.42,-95.9459,-59.1651,-93.4535,-148.3241,-78.8327,-71.6042,-90.5816,80.0526,60.5654,-248.738,-441.5288,52.3937,-127.0055,137.7358,-207.8475,-1099.511,,-887.4872,-803.2648,
asset-turnover,0.0381,0.0549,0.0329,0.0603,0.0331,0.0549,0.0443,0.0907,0.0512,0.0583,0.0587,0.0485,0.0487,0.0509,0.0451,0.0423,0.0539,0.0566,0.0413,0.054,0.0394,0.0235,0.0143,0.0152,0.0127,0.0236,,,,,
inventory-turnover,0.8565,0.9561,0.7731,0.6581,0.8378,0.9233,0.7554,0.7376,0.8468,0.88,0.8285,0.6794,0.6837,0.6976,0.6075,0.5632,0.7461,0.6765,0.5364,0.4899,0.3922,,,,,,,,,,
