,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-10-31,2005-09-30,2005-07-31,2005-06-30,2005-04-30,2005-03-31,2005-01-31
current-ratio,3.9784,4.0412,3.868,2.8833,3.1618,2.7155,3.3461,3.1012,2.965,3.2582,3.2652,3.1331,2.5084,3.5859,3.5246,3.4076,3.2343,3.2935,4.9152,4.6083,5.0939,5.6052,5.6597,3.7547,4.8438,5.5404,5.2411,4.1534,3.8967,3.4016,2.2957,4.1323,3.8693,3.7299,3.0815,4.6678,4.7444,5.5115,5.2813,4.3801,3.077,2.6759,4.086,3.2825,4.4052,4.1755,3.7328,5.4209,5.7292,7.805,9.185,8.5104,6.8594,6.6971,9.9295,,9.8355,,8.1396,,8.8039,,2.719
long-term-debt-capital,0.1989,0.2039,0.2126,0.238,0.2399,0.2502,0.2495,0.2562,0.2571,0.2577,0.2603,0.2642,0.2705,0.2911,0.2957,0.2919,0.2963,0.2903,0.0316,0.0341,0.0336,0.0313,0.0301,0.0392,0.0365,0.0415,0.0461,0.0487,0.0569,0.0933,0.1691,,0.0003,0.0004,0.0005,0.0052,0.0049,0.0051,0.0124,0.0149,0.0238,0.0251,0.3397,0.3641,0.5279,0.6082,0.6457,0.657,0.6775,0.6471,0.618,0.5857,0.9534,0.8138,0.7036,,0.5964,,0.6893,,0.604,,0.5351
debt-equity-ratio,0.2604,0.2686,0.283,0.3499,0.3496,0.3655,0.3508,0.3633,0.3648,0.3688,0.3707,0.3783,0.4088,0.4204,0.4243,0.4392,0.4422,0.4244,0.0456,0.0498,0.0501,0.0489,0.0488,0.061,0.0583,0.065,0.0713,0.0756,0.086,0.1303,0.2926,,0.0016,0.0022,0.0724,0.006,0.0061,0.0055,0.013,0.0158,0.0723,0.1404,0.5247,0.5839,1.16,1.6297,2.0336,1.9179,2.1035,1.8368,1.6186,1.4145,20.4887,4.373,2.3758,,1.4788,,2.2199,,1.5265,,2.0721
gross-margin,92.463,91.756,92.4763,91.4245,91.1739,90.8804,90.1601,84.1046,81.7251,90.8404,92.0653,91.782,91.1139,92.0319,91.5835,91.7757,91.8911,91.8255,88.4399,91.7336,90.6587,92.268,94.1867,88.3343,87.1735,89.3602,89.5944,89.6585,106.8645,88.4926,88.4495,87.3448,88.5473,88.2902,88.4257,87.0352,88.3484,89.096,88.0939,88.3488,88.4096,88.8213,87.7453,91.1989,88.3033,88.0085,88.0283,89.9876,90.2578,89.0631,98.6544,100.0,100.0,100.0,100.0,,100.0,100.0,383.0188,100.0,100.0,100.0,100.0
operating-margin,41.9603,44.2616,45.3174,3.8714,34.9342,-38.2871,28.7249,11.938,9.3237,24.8384,24.379,15.3291,22.403,25.8964,23.6805,13.8899,23.1862,28.4626,17.2749,34.0127,42.63,42.7027,36.9744,31.2444,33.7845,37.2046,34.511,33.6559,48.5214,30.4693,28.6181,33.1211,32.443,26.3997,24.2184,28.8698,30.1712,25.6886,25.9998,20.4747,27.1729,22.7086,19.1554,21.3478,26.9464,4.5081,-11.4218,-40.596,-99.0231,-300.2665,-551.2902,-21747.88,-12571.48,-10189.97,-3722.917,,-7890.869,-9848.697,-63732.07,-20780.84,-19633.78,-4332.92,-4228.241
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,42.3957,41.5109,47.5096,-2.9146,33.3268,-40.0574,37.7699,9.8164,6.7745,22.6033,22.3091,12.5376,19.8999,22.5764,20.3994,10.631,20.9048,27.8669,17.8143,34.2203,42.549,42.6631,37.3994,31.223,33.538,37.089,34.4429,33.4669,47.8571,29.7475,27.7073,32.5533,32.1872,26.4336,24.5753,28.3685,30.0963,25.4963,25.5771,20.4195,26.9732,19.396,18.6349,21.6372,26.2797,3.724,-9.5068,-37.8493,-91.194,-279.5613,-518.9647,-20932.45,-12152.85,-9809.735,-3556.901,,-7651.957,-9619.01,-62273.59,-21091.02,-21656.96,-4745.133,-4361.989
net-profit-margin,37.02,38.2116,51.5521,-3.9865,32.2358,-43.7703,26.7591,3.2978,9.0793,18.1001,19.5607,11.2381,11.7647,15.9363,13.1241,9.5059,-27.5648,26.7545,15.2121,25.581,32.0152,32.4871,28.1238,-4.2977,23.4225,25.9085,24.257,25.2622,31.3389,13.1982,18.5561,21.1681,32.1348,18.7104,16.1504,16.9577,19.6886,17.303,17.8044,214.3056,26.0465,18.2124,17.8498,19.8129,25.7373,3.986,-9.3096,-36.4109,-90.8412,-278.6388,-517.54,-20877.67,-12118.63,-9783.187,-3545.182,,-7624.783,-9524.479,-61588.67,-21023.95,-21490.07,-4704.602,-4346.358
asset-turnover,0.0853,0.0826,0.0815,0.081,0.0741,0.0775,0.0673,0.067,0.063,0.0677,0.0647,0.0627,0.0601,0.0578,0.0548,0.0535,0.0507,0.0483,0.136,0.1427,0.1427,0.1442,0.1677,0.1332,0.1313,0.1315,0.1262,0.1226,0.1174,0.1118,0.1213,0.1632,0.1564,0.1574,0.1439,0.1541,0.1502,0.1415,0.1407,0.1407,0.1859,0.1791,0.1653,0.1621,0.1778,0.1571,0.1254,0.1013,0.0689,0.0329,0.0205,0.0006,0.0012,0.0016,0.0032,,0.0016,,0.0002,,0.0005,,0.0013
inventory-turnover,0.1651,0.2006,0.1779,0.2049,0.2094,0.2057,0.2007,0.3141,0.356,0.2039,0.1742,0.1823,0.1956,0.1819,0.2007,0.1987,0.2285,0.2219,0.3977,0.281,0.3703,0.2735,0.2611,0.5024,0.4882,0.3496,0.3463,0.3507,-0.2242,0.3359,0.3043,0.3538,0.2984,0.2891,0.2584,0.3253,0.273,0.2376,0.252,0.3153,0.2901,0.2267,0.2018,0.1367,0.18,0.1486,0.1652,0.103,0.0669,0.0714,0.0273,,,,,,,,,,,,
