,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
current-ratio,2.7916,3.4219,2.3174,3.5109,3.4091,3.07,3.0946,5.0421,7.7873,9.2664,10.0433,30.5286,0.0151,,
long-term-debt-capital,0.8546,0.5535,0.9556,0.6752,0.3755,0.4232,0.5362,0.258,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,
roe,-408.9942,-85.3419,-1730.816,-151.135,-88.7572,-103.2898,-127.8936,-50.8248,-25.1923,-15.9723,-12.9965,-4.3441,91.5328,220.6642,
return-on-tangible-equity,-408.9951,-85.3419,-1730.827,-151.1351,-88.7572,-103.2898,-127.8937,-50.8248,-25.1923,-15.9725,-12.9965,-4.3441,91.528,220.6303,
roa,-38.3518,-27.0671,-43.3665,-35.0241,-39.1102,-40.2558,-40.5144,-30.2782,-21.9697,-14.27,-11.6986,-4.1652,-1739.95,-3622.434,
roi,-59.4763,-38.1083,-76.8791,-49.0879,-55.4268,-59.5804,-59.3131,-37.7141,-25.1923,-15.9725,-12.9965,-4.3441,91.528,220.6303,
book-value-per-share,0.1925,0.8878,0.0601,0.6601,1.225,0.927,0.6185,1.3478,1.951,2.3993,2.7669,3.0883,-0.8668,-0.1972,
operating-cash-flow-per-share,-1.522,-0.8737,-3.3491,-2.5287,-1.6332,-0.7069,-1.97,-1.3796,-0.8638,-0.4482,-0.3703,-0.1387,-0.0162,0.0,
free-cash-flow-per-share,-1.528,-0.8755,-3.3676,-2.5393,-1.6391,-0.71,-1.9801,-1.3859,-0.8664,-0.4498,-0.39,-0.1454,-0.0162,0.0,
