,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
current-ratio,7.3665,6.3027,3.4156,3.7651,3.883,4.0392,1.6688,1.805,2.0513,3.0536,1.6074,2.2016,2.5716,2.2426,1.7456,2.2127,2.5211,1.8833,2.3279,2.4031,2.5632,2.4928,2.6158,3.195,3.9753,3.8678,3.2275,3.6706,3.614,3.5038,2.4275,2.8005,2.2391,2.6229,2.6779,3.3544,3.2916,3.7138,1.3532,1.3216,,,,
long-term-debt-capital,0.1995,0.2095,0.338,0.0017,0.0026,0.0047,0.023,0.0301,,,0.0625,0.0443,0.0416,0.0528,0.0695,0.0542,,,,0.0619,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.2592,0.2737,0.5363,0.0017,0.0026,0.0047,0.0235,0.031,,,0.0667,0.0463,0.0434,0.0558,0.0747,0.0573,,,,0.0659,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,76.8694,77.4982,71.8219,85.1071,77.6289,80.7136,72.7603,83.6157,60.1763,63.371,62.3385,77.0589,81.466,86.1205,68.8719,77.751,92.5177,79.229,78.5819,75.0053,79.4968,67.6865,64.3201,49.979,87.4715,47.9352,50.6576,26.959,75.7147,74.5559,59.3975,60.9871,70.0799,72.7269,62.4605,72.7416,68.4174,75.1838,79.6965,80.2872,76.9814,82.2273,80.134,
operating-margin,1.1823,-53.7625,-33.62,-4.0079,-12.4277,-28.3498,-33.5209,4.0466,-100.5208,-61.2448,-93.79,-52.6632,9.536,14.0545,-87.3062,-19.2716,32.6993,-94.6826,-81.3327,3.1781,-56.9459,-135.6316,-90.4156,-103.4439,-233.6799,-178.5202,-83.8777,-199.0395,-8.185,-23.3926,-23.285,-14.6385,-7.0098,-20.3109,-10.8881,-1.05,-9.0731,-13.2802,-4.2802,-19.6468,-27.3851,-13.043,-29.0726,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,1.5338,-52.691,-32.9397,-3.0246,-11.7255,-27.6703,-33.4425,4.2307,-100.9215,-61.0998,-93.2882,-53.0143,9.6638,13.8295,-87.081,-19.3924,32.5729,-96.2114,-81.6417,2.8398,-57.6686,-135.7078,-91.9565,-103.5069,-234.0096,-180.9148,-84.3829,-198.5845,-8.1242,-23.7549,-23.4231,-15.2953,-8.0163,-19.977,-10.6754,-1.4558,-8.9772,-15.7639,-5.5642,-21.4952,-30.7746,-14.6734,-31.1128,
net-profit-margin,1.5658,-52.8208,-32.959,-2.8691,-11.7314,-27.589,-33.4283,4.4655,-102.4239,-60.6939,-93.5893,-52.7636,9.6638,13.992,-87.2186,-17.7181,30.9982,-89.0661,-81.8182,2.4311,-61.0546,-129.0563,-90.1188,-103.0344,-234.8973,-180.7428,-83.8167,-196.3979,-8.7658,-24.091,-24.0558,-15.8148,-8.2387,-19.3437,-11.1845,-1.6571,-10.0764,-16.1193,-5.3268,-21.3755,-30.6949,-14.887,-31.391,
asset-turnover,0.1498,0.0839,0.1541,0.2027,0.2156,0.1782,0.3155,0.4051,0.2264,0.2078,0.2602,0.2797,0.3861,0.4342,0.204,0.2595,0.3924,0.1705,0.1641,0.2949,0.1668,0.1452,0.1264,0.1619,0.0594,0.0922,0.1226,0.0791,0.2213,0.1947,0.2313,0.2464,0.2301,0.1914,0.2147,0.211,0.1831,0.1704,0.3066,0.2447,,,,
inventory-turnover,12.7632,3.85,6.9368,4.0628,4.5675,2.5203,3.1559,3.4353,4.6832,4.7022,2.6708,2.7721,2.5613,1.9229,2.4378,2.5988,1.9204,1.2913,1.4677,2.5427,0.7885,1.0815,1.2342,3.2038,0.2351,2.726,3.36,4.4386,2.3178,1.3875,2.6261,2.9115,1.9004,1.6972,3.6135,2.8846,2.6388,2.7918,1.7919,1.6467,,,,
receiveable-turnover,1.4959,0.8706,1.0727,1.1931,1.8206,1.3661,1.5647,1.8408,1.2628,1.3262,1.4813,1.6828,1.2428,4.791,1.8373,1.581,1.2787,2.1539,2.1145,3.6669,2.4197,2.2317,1.4416,1.7595,1.4669,4.3834,1.549,1.0486,1.5938,2.8199,1.6787,1.7706,1.7222,2.3045,2.741,1.9442,1.7631,3.3585,3.9171,3.345,,,,
days-sales-in-receivables,60.1643,103.3769,83.9011,75.4313,49.4347,65.8812,57.5175,48.8905,71.268,67.8631,60.7565,53.4818,72.4176,18.7852,48.9845,56.9267,70.3822,41.7847,42.564,24.5437,37.1949,40.3288,62.43,51.1518,61.3543,20.532,58.103,85.8254,56.4682,31.9158,53.6138,50.8309,52.258,39.0535,32.8343,46.2906,51.0464,26.7978,22.9763,26.9057,,,,
roe,0.3346,-6.5938,-10.0293,-0.8187,-3.6295,-7.1102,-31.1521,3.9516,-46.2883,-20.4981,-63.8699,-27.5407,6.2924,11.377,-43.2818,-8.9733,23.1423,-31.3432,-25.7298,1.3112,-18.0982,-28.911,-17.4319,-23.6555,-18.2058,-21.1952,-13.6024,-19.8101,-2.4829,-5.966,-7.7806,-5.1582,-2.5753,-4.7197,-3.2137,-0.4601,-2.6236,-3.7835,0.9497,3.5769,,,,
return-on-tangible-equity,0.3455,-6.8177,-10.7069,-0.8687,-3.8578,-7.5778,-39.6889,4.5527,-54.2465,-22.9231,-88.3991,-33.1694,7.4398,14.6206,-63.9582,-12.2014,32.8662,-57.2588,-42.673,2.0434,-30.5416,-46.5521,-25.8999,-34.2131,-24.8778,-28.0217,-17.3657,-24.9562,-3.039,-7.3951,-9.6648,-6.3814,-3.1935,-5.9124,-4.058,-0.5884,-2.723,-3.9301,-4.342,-16.8993,,,,
roa,0.2346,-4.4328,-5.079,-0.5815,-2.5293,-4.9173,-10.5469,1.8089,-23.1877,-12.6145,-24.3544,-14.7554,3.7314,6.075,-17.7963,-4.5983,12.1651,-15.1876,-13.428,0.7169,-10.1849,-18.741,-11.3923,-16.6774,-13.9412,-16.672,-10.2764,-15.5444,-1.9397,-4.6902,-5.5646,-3.8971,-1.896,-3.7022,-2.4013,-0.3496,-1.845,-2.7465,-1.633,-5.2314,,,,
roi,0.2678,-5.2126,-6.6398,-0.8173,-3.6201,-7.0768,-30.437,3.8326,-46.2883,-20.4981,-59.8764,-26.3211,6.0305,10.7758,-40.2726,-8.4873,23.1423,-31.3432,-25.7298,1.2301,-18.0982,-28.9109,-17.4318,-23.6555,-18.2058,-21.1952,-13.6024,-19.8101,-2.4829,-5.966,-7.7806,-5.1582,-2.5753,-4.7197,-3.2137,-0.4601,-2.6236,-3.7835,-3.8548,-14.8764,,,,
book-value-per-share,1.7557,1.7032,0.9389,1.0415,1.0155,0.9817,0.308,0.5075,0.457,0.634,0.2792,0.463,0.5541,0.478,0.395,0.5671,0.5784,0.4248,0.5422,0.665,0.638,0.7547,0.9459,1.0817,1.3351,1.5614,1.8604,2.0811,2.4765,2.4963,2.6656,2.8528,2.9619,2.9741,3.0362,3.0825,3.0427,3.0497,1.042,13.0438,,,,
operating-cash-flow-per-share,-0.1449,-0.1439,-0.0526,-0.27,-0.2495,-0.23,-0.0865,-0.1894,-0.3402,-0.2441,-0.0864,-0.0458,-0.1667,0.0045,0.0055,-0.011,-0.1852,-0.2041,-0.0992,0.0084,-0.121,-0.1669,-0.0625,-0.6016,-0.5011,-0.2775,-0.0921,-0.3234,-0.1928,-0.0907,0.0164,-0.0137,0.067,-0.0096,0.2075,-0.6661,-0.4694,-0.7046,-4.4307,-3.3095,-5.9181,-3.6219,-3.2259,
free-cash-flow-per-share,-0.1989,-0.1668,-0.0608,-0.323,-0.2882,-0.2579,-0.0868,-0.2107,-0.3556,-0.2585,-0.0922,-0.0666,-0.1845,-0.0063,-0.0005,-0.0409,-0.1921,-0.2086,-0.1004,0.0049,-0.1236,-0.1649,-0.06,-0.6261,-0.5089,-0.2943,-0.0934,-0.4032,-0.2637,-0.161,-0.042,-0.3147,-0.1505,-0.1269,0.1821,-0.9497,-0.608,-0.8248,-4.9171,-7.3389,-8.3918,-5.3509,-3.7425,
