,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
current-ratio,2.28,2.0299,1.8945,1.9257,2.0682,1.9494,4.4809,4.8221,5.6235,6.4753,7.0303,8.1519,11.8614,11.9235,12.3366,12.4981,9.6909,16.3787,18.2869,4.2606,,,,,,
long-term-debt-capital,0.5956,0.5985,0.5937,0.5828,0.5765,0.5792,0.236,0.2403,0.2371,0.2454,0.2529,0.257,0.2509,0.2463,0.2566,0.265,0.2738,0.2893,0.3005,1.0301,,,,,,
debt-equity-ratio,1.5037,1.5227,1.4944,1.4154,1.3776,1.3929,0.383,0.3869,0.3742,0.3824,0.3893,0.39,0.371,0.3561,0.3703,0.381,0.398,0.4314,0.4568,-36.52,,,,,,
gross-margin,74.2029,73.8064,74.4294,73.6653,75.0207,74.4663,63.8931,67.604,66.8284,66.3604,64.6511,59.8316,66.2585,65.1007,59.1621,64.9198,63.5934,71.4312,65.9832,69.2075,67.928,71.3749,66.2388,,,
operating-margin,13.2602,13.0854,4.049,3.1934,11.1434,-1.5386,-22.4624,4.0962,11.9822,8.045,5.8316,-1.5776,8.5951,21.6653,3.2117,21.7641,17.8961,39.1063,27.0717,26.8111,26.8982,38.4788,28.246,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,3.595,2.9023,-6.909,-9.0805,-0.3162,-11.9609,-24.1949,3.8196,11.555,7.7601,5.7624,-1.4642,8.7446,21.8962,3.9062,21.8429,17.6543,38.6897,25.9022,25.6456,26.7284,38.4312,28.233,,,
net-profit-margin,3.9777,2.8049,-5.7206,-8.0843,-0.5788,-6.8496,-18.1489,14.7907,6.8776,4.8274,3.2953,0.6629,7.4,13.066,2.295,13.2788,9.5914,22.2168,14.6946,15.0126,15.8924,23.406,17.1918,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.2532,1.3009,1.164,1.1881,1.2053,1.2032,1.0282,1.1233,1.3822,1.068,0.9472,0.9537,1.1452,1.1832,1.1352,1.2095,0.9062,1.3526,1.4264,1.7723,,,,,,
days-sales-in-receivables,71.8165,69.1829,77.3182,75.7527,74.6676,74.7982,87.5316,80.1236,65.1126,84.2677,95.0175,94.3673,78.5903,76.0637,79.2788,74.4136,99.3201,66.5408,63.0941,50.7813,,,,,,
roe,1.0152,0.6812,-1.2417,-1.6144,-0.1202,-1.5082,-2.6646,2.7146,1.2638,0.834,0.5473,0.0996,1.0715,2.111,0.3151,2.1711,1.4116,3.8825,2.1287,-164.1818,,,,,,
return-on-tangible-equity,-0.8795,-0.5681,1.0303,1.3625,0.1058,1.2679,-4.6586,4.735,2.2036,1.4582,0.9557,0.1722,1.4494,2.8318,0.4278,2.9742,1.9575,4.3253,2.3838,-17.3202,,,,,,
roa,0.3521,0.2338,-0.4308,-0.5735,-0.044,-0.5495,-1.7256,1.7535,0.8155,0.538,0.3544,0.0647,0.7249,1.4331,0.2117,1.442,0.9089,2.5717,1.392,3.9405,,,,,,
roi,0.4106,0.2735,-0.5045,-0.6736,-0.0509,-0.6347,-2.0358,2.0622,0.9642,0.6293,0.4089,0.074,0.8027,1.5912,0.2342,1.5957,1.0252,2.7593,1.4891,4.9411,,,,,,
book-value-per-share,4.3484,4.3195,4.3711,4.4711,4.6053,4.5479,4.3704,4.466,4.4696,4.4915,4.5428,4.6159,4.8839,5.0501,4.9264,4.8721,4.7588,4.5568,4.3785,-0.0616,,,,,,
operating-cash-flow-per-share,0.4856,0.2688,0.0998,0.6218,0.4277,0.1367,0.0493,0.6845,0.5713,0.2874,0.0161,0.615,0.4527,0.2122,0.0939,0.4556,0.2908,0.1304,0.0059,0.6822,0.3705,0.2357,0.0449,,,
free-cash-flow-per-share,0.3913,0.2115,0.0742,0.4464,0.2923,0.0248,-0.0199,0.4564,0.4475,0.2232,-0.0044,0.4867,0.3784,0.1581,0.0673,0.4125,0.2608,0.1146,-0.0038,0.6228,0.3235,0.2116,0.0331,,,
