,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31
current-ratio,6.4572,6.4805,6.6068,3.3131,3.6352,3.9987,2.5491,3.0164,3.919,1.7757,,,,,,
long-term-debt-capital,0.0428,0.0389,0.0372,0.0158,,,,,,4.3837,,,,,,
debt-equity-ratio,0.0447,0.0404,0.0386,0.0161,,,,,,-1.2955,,,,,,
gross-margin,88.3582,78.2782,98.5081,72.6488,53.5159,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
operating-margin,-158.0198,-145.3856,15.9978,-706.6587,-337.8619,-346.1765,-177.2679,-98.2017,-162.5984,-344.6351,-1039.974,,,,,
ebit-margin,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-151.4692,-139.5898,16.6766,-691.9387,-329.2864,-337.4925,-173.1763,-94.5131,-157.1876,-356.3627,-1047.85,,,,,
net-profit-margin,-152.725,-140.1908,16.5961,-691.9387,-330.4974,-338.6606,-173.1763,-90.8659,-178.0436,-356.3627,-1047.85,,,,,
asset-turnover,0.0538,0.0613,0.3571,0.0279,0.0508,0.0464,0.0678,0.0807,0.0342,0.046,,,,,,
inventory-turnover,0.2779,0.6979,,32.8118,,,,,,,,,,,,
receiveable-turnover,1.936,2.896,15.9525,2.2182,30.2532,5.5602,,4.0067,19.812,,,,,,,
days-sales-in-receivables,46.4881,31.0773,5.6418,40.5737,2.9749,16.1864,,22.4627,4.5427,,,,,,,
roe,-9.6772,-10.1245,6.9914,-25.4973,-22.5972,-21.3654,-20.2509,-11.7426,-8.9146,11.1262,,,,,,
return-on-tangible-equity,-13.0719,-13.2053,9.0204,-37.5683,-26.4476,-21.4923,-20.4171,-11.8287,-8.9714,24.161,,,,,,
roa,-8.2204,-8.5974,5.9267,-19.3169,-16.773,-15.7077,-11.7351,-7.3314,-6.0954,-16.4048,,,,,,
roi,-9.2629,-9.7309,6.7314,-25.0944,-22.5972,-21.3654,-20.2509,-11.7426,-8.9146,-83.0166,,,,,,
book-value-per-share,3.4669,3.9673,4.1978,3.0972,3.2172,3.3894,2.19,2.5221,2.9732,,,,,,,
operating-cash-flow-per-share,0.1622,0.5369,0.8349,-2.4936,-1.5384,-0.8662,-0.2516,-1.1959,-0.3193,,,,,,,
free-cash-flow-per-share,0.147,0.5219,0.824,-2.5073,-1.5398,-0.8663,-0.2516,-1.1962,-0.3195,,,,,,,
