,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
current-ratio,5.7917,7.3493,7.3541,6.7529,6.4936,5.9916,6.6651,6.7428,6.2027,6.1773,6.9795,7.0714,5.2295,5.0957,5.1564,5.2171,5.011,4.3623,4.4942,4.9396,4.3621,3.7146,3.9902,1.7438,,,,,
long-term-debt-capital,0.0147,0.0132,0.0151,,,,,,,,,,,,,,0.0006,0.0012,0.0019,0.0027,0.0034,0.0541,0.037,0.0874,,,,,
debt-equity-ratio,0.0213,0.0194,0.0217,,,,,,,,,,0.0005,0.0011,0.0017,0.0024,0.003,0.0036,0.0044,0.0052,0.0058,0.121,0.0852,0.1892,,,,,
gross-margin,47.2042,49.6868,49.2328,50.3519,51.2252,49.8468,47.7249,48.2167,48.0516,49.2304,49.0362,48.5497,46.1725,48.0419,49.4987,49.5426,47.5134,47.2916,47.4727,47.4483,49.8384,49.7286,50.5141,51.5636,48.7536,54.8544,51.5463,,
operating-margin,8.8349,12.0173,5.3857,5.5183,10.9097,14.4193,11.0056,8.1364,12.0701,13.2515,10.6114,12.1354,9.9169,14.6957,7.6229,8.5892,9.1079,12.1397,7.4603,4.918,12.1355,13.0392,6.5544,2.7932,4.48,11.8669,4.0198,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,9.5389,13.5401,6.7316,6.7294,11.8574,14.0336,12.2541,9.0834,12.7727,14.2949,11.1981,11.4727,10.0125,14.7378,7.909,8.2011,9.0196,12.0693,7.164,4.5917,11.8191,12.4239,6.199,1.2145,4.1311,10.1057,4.8327,,
net-profit-margin,7.4792,10.0531,5.8779,11.6086,17.244,15.025,13.6089,-0.95,10.6302,13.0035,11.2991,10.3439,9.6395,13.7299,5.8643,9.5386,6.6114,7.8562,4.6575,3.2695,7.2568,7.5215,-0.4189,111.178,-5.4457,,-6.306,,
asset-turnover,0.2063,0.2503,0.2324,0.2302,0.2668,0.2923,0.2636,0.2319,0.2558,0.2552,0.2306,0.2376,0.2794,0.2985,0.2553,0.2507,0.259,0.2801,0.2273,0.2079,0.2143,0.2089,0.1744,0.2398,,,,,
inventory-turnover,1.4219,2.0767,1.5889,1.587,1.5178,1.7794,1.7994,1.7531,2.1276,2.0448,1.9165,1.8241,1.7755,2.2656,2.1129,2.3599,2.2874,2.4932,2.2753,2.0092,2.0112,2.5043,2.5145,2.2575,,,,,
receiveable-turnover,2.0833,2.0429,2.0463,2.1798,2.6032,2.4233,2.2156,1.9473,1.9021,1.7663,1.6672,1.6267,1.7371,1.8774,1.6594,1.836,1.769,1.636,1.3533,1.3557,1.6274,1.9427,1.3068,1.9153,,,,,
days-sales-in-receivables,43.2017,44.0556,43.9813,41.2874,34.5735,37.1401,40.6219,46.2184,47.3168,50.9548,53.9811,55.3281,51.8101,47.9383,54.2357,49.0209,50.8752,55.0131,66.5054,66.3857,55.302,46.3281,68.8681,46.9902,,,,,
roe,2.0,3.0438,1.6471,3.2359,5.6416,5.4738,4.3672,-0.2669,3.3161,4.013,3.0772,2.8887,3.3611,5.0792,1.8243,2.8787,2.0751,2.7041,1.2826,1.2857,1.8726,2.0629,0.823,-35.0868,,,,,
return-on-tangible-equity,2.9796,3.0935,1.6764,3.2998,5.7682,5.6083,4.4928,-0.2755,3.3768,4.0905,3.0806,2.8925,3.3668,5.0856,1.827,2.8836,2.0787,2.7091,1.2853,1.2886,1.8771,2.0688,0.8256,39.1752,,,,,
roa,1.5432,2.5163,1.3658,2.6723,4.6014,4.3922,3.5874,-0.2203,2.7194,3.3189,2.606,2.4574,2.6931,4.0988,1.497,2.3916,1.7121,2.2004,1.0589,1.0843,1.5552,1.5715,0.6553,26.6648,,,,,
roi,1.9706,3.0037,1.6223,3.2359,5.6416,5.4738,4.3672,-0.2669,3.3161,4.013,3.0772,2.8887,3.3611,5.0792,1.8243,2.8787,2.0738,2.7007,1.2801,1.2822,1.8662,1.9514,0.7925,35.6152,,,,,
book-value-per-share,15.599,15.2183,14.6776,14.2534,13.5453,12.5179,11.6115,10.8239,10.6122,10.0327,9.3767,8.9303,7.71,7.3498,6.9522,6.7747,6.6331,6.6121,6.3565,6.1992,6.1781,6.0753,5.9445,200.3523,,,,,
operating-cash-flow-per-share,1.4061,0.7425,-0.0809,2.6639,2.1025,1.4781,0.549,2.7625,2.1586,1.3782,0.6122,1.4711,1.2204,0.8,0.2292,1.8428,1.2319,0.6652,0.2948,0.8703,0.5624,0.405,-0.1409,0.5974,41.4368,25.0985,9.9007,,
free-cash-flow-per-share,1.3036,0.6543,-0.1223,2.3066,1.783,1.2763,0.4559,2.6295,2.0639,1.3338,0.5848,1.3896,1.1504,0.7416,0.195,1.7362,0.7614,0.2898,0.2679,0.7843,0.51,0.3751,-0.1588,0.4629,32.1516,20.1314,8.4081,,
