,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31
current-ratio,0.936,0.901,0.933,1.0031,1.0614,1.0844,2.2289,2.2503,2.5342,2.9529,3.2864,1.5144,0.973,0.7425,0.8587,0.5448,0.6691,0.7796,0.8268,0.8758,0.9607,0.8774,0.8815,0.955,,,,0.674,2.2366,2.3889,2.4557,0.8134,2.294,2.3384,2.1716,1.9463,1.9457,2.0044,,,,,
long-term-debt-capital,0.6449,0.6772,0.6742,0.6238,0.6367,0.6273,,,0.0012,0.0019,0.0037,-0.0885,0.0052,0.1891,0.1422,1.9733,3.2399,1.9922,1.9471,1.8137,1.6909,2.1108,2.3682,1.7799,,,,-0.4878,,,,-1.3578,,,,,,,,,,,
debt-equity-ratio,2.122,2.4877,2.4406,1.9772,1.9382,1.8381,0.1475,0.1266,0.082,0.0475,0.0629,-6.9024,1.3785,2.935,2.4804,-2.9768,-3.0072,-3.2068,-3.3885,-3.7756,-4.5142,-4.0179,-4.4928,-6.4487,,,,-3.1925,,,,-5.387,,,,,,,,,,,
gross-margin,19.6879,16.5763,14.0268,15.291,12.4201,8.658,5.8384,9.3371,9.2532,3.0181,6.9045,41.5254,62.2311,-418.3908,87.1948,43.3165,-186.1129,-93.6247,-284.614,7.508,50.0028,18.6961,-246.5906,50.2164,-159.2084,86.6654,-68.8142,39.3877,20.6885,19.1447,17.6199,25.2236,22.3831,25.632,20.8736,22.5415,20.2949,22.3107,18.7776,20.6295,21.2821,18.0758,
operating-margin,7.8353,4.2034,2.6821,1.4834,-2.3163,-8.5137,-7.332,-2.6372,-4.1396,-10.2616,-9.7814,25.9887,48.9243,-801.1494,79.1312,15.9029,-346.1873,-191.338,-454.4891,-66.5248,16.2477,-46.1077,-652.8464,11.8744,-332.2757,79.4732,-150.8115,30.4566,2.8723,-0.5526,0.9238,8.5346,5.5863,7.2059,0.2449,5.4297,2.8285,4.8939,0.9306,100.0,5.1921,2.3225,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,6.1753,-5.5254,-1.0149,-2.5865,-6.3099,-11.3035,-7.1962,-2.5659,-4.1396,-10.2616,-9.6663,25.9888,49.004,-801.1494,79.1596,16.1269,-345.7266,-191.0256,-454.4435,-66.4194,16.3579,-46.0195,-652.075,12.0712,-332.0194,79.4884,-150.5949,30.4346,2.8718,-0.5526,0.9242,8.5354,5.5886,7.2091,0.2504,5.4326,2.8373,4.8952,0.937,5.7383,5.1215,2.3536,
net-profit-margin,0.664,-1.7627,0.0725,-0.3423,-7.2684,-1.3949,-15.8181,-28.6529,-2.9221,-6.7404,-9.5512,12.3352,29.8008,-468.9655,47.5298,7.9105,-208.1177,-119.031,-277.5043,-37.1945,10.5273,-28.485,-422.1151,7.615,-204.8359,50.1413,-93.9908,19.2435,1.2347,-0.2442,0.5884,5.068,3.3213,4.6588,0.0977,3.2512,1.804,2.5799,0.2493,1.6854,-2.8057,4.6554,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,3.5269,4.1491,4.3177,2.6992,3.6081,2.5603,3.7866,5.9449,4.7938,4.2298,2.5188,18.3103,14.0948,1.3232,39.5198,6.7002,3.0839,6.5302,2.4213,10.6931,10.6271,4.3756,0.9055,3.415,,,,-24.8002,1.6169,1.876,2.2563,15.1935,2.0265,1.9678,1.7237,3.0815,2.7833,3.208,,,,,
days-sales-in-receivables,25.5179,21.6915,20.8445,33.3435,24.9441,35.1515,23.7678,15.139,18.7744,21.2777,35.7307,4.9153,6.3853,68.0172,2.2773,13.4324,29.1838,13.7822,37.1698,8.4166,8.4689,20.5684,99.3929,26.3547,,,,-3.629,55.6608,47.9756,39.8889,5.9236,44.4106,45.7361,52.2148,29.2064,32.336,28.0549,,,,,
roe,62.1623,-118.182,5.2632,-90.4759,-133.9998,-12.2363,-92.8286,-120.3593,-4.8064,-8.3024,-9.0909,-106.5042,-150.1225,70.9331,-781.9514,-2.5798,14.7512,13.8203,17.8592,12.4088,-7.5139,11.915,41.9678,-7.4592,,,,52.2481,1.0677,-0.2215,0.5846,-12.995,3.4878,4.4602,0.1009,3.8733,2.405,3.5438,,,,,
return-on-tangible-equity,-5.0328,2.5743,-0.0947,2.5839,5.9371,1.3075,-10.6393,-18.0512,-1.3867,-2.5671,-3.1063,-106.5042,26.25,-38.5816,121.4813,-2.5798,14.7508,13.817,17.8425,12.3947,-7.5,11.8889,41.8452,-7.4091,,,,52.1146,1.0738,-0.2228,0.588,-12.9103,3.5126,4.4946,0.1018,3.9136,2.4351,3.5915,,,,,
roa,1.0207,-0.5694,0.022,-0.7059,-1.7457,-0.3851,-6.7575,-11.9643,-1.0158,-1.9602,-2.366,3.1559,8.306,-8.277,31.8397,1.1956,-6.7159,-5.6639,-6.8114,-3.9543,1.9553,-3.6283,-10.7675,1.2522,,,,-22.1412,0.6422,-0.1368,0.3656,2.7675,2.0921,2.7309,0.059,2.105,1.3094,1.9944,,,,,
roi,1.369,-0.753,0.03,-0.9988,-2.2805,-0.4863,-10.6393,-18.0512,-1.3851,-2.5621,-3.0947,-115.9293,26.1126,-31.2843,104.2121,2.5109,-33.0407,-13.7122,-16.9146,-10.0967,5.1913,-13.2353,-57.4218,5.8171,,,,77.7352,1.0677,-0.2215,0.5846,-30.64,3.4878,4.4602,0.1009,3.8733,2.405,3.5438,,,,,
book-value-per-share,2.114,1.9921,1.9684,1.9422,1.9368,2.0215,2.0126,2.1329,2.4841,2.4883,2.5301,-0.1153,1.3338,0.9863,1.246,-1.9803,-2.1618,-1.942,-1.7389,-1.4498,-1.2974,-1.4571,-1.3477,-0.8917,,,,-2.4689,2.6155,2.6259,2.5717,-1.0278,2.123,1.968,1.6565,1.505,1.305,1.2144,,,,,
operating-cash-flow-per-share,0.2614,0.3966,0.6475,0.1692,-0.055,-0.1951,-0.0935,0.2048,-0.0421,-0.2235,-0.2752,-0.8676,-0.6782,-0.5281,0.0111,-0.2459,0.0666,-0.1999,-0.1485,-0.8065,-0.3275,-0.7654,-0.2124,0.562,0.4702,0.2853,0.0637,0.2958,0.2159,0.062,0.1412,0.115,0.0262,-0.2817,-0.4569,0.3276,0.0719,-0.0252,-0.2272,0.3413,0.0424,-0.2508,
free-cash-flow-per-share,0.0012,0.1054,0.5127,-0.1405,-0.2393,-0.3365,-0.1257,-0.1244,-0.3365,-0.4499,-0.366,-0.9934,-0.78,-0.5995,-0.0101,-0.4659,-0.1217,-0.287,-0.184,-0.8696,-0.3605,-0.7826,-0.2247,0.5426,0.4584,0.2773,0.0617,0.1889,0.0282,-0.0404,0.0966,0.0422,-0.0623,-0.3488,-0.477,0.1737,-0.0272,-0.0792,-0.2637,0.2619,-0.0954,-0.3149,
