,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31
current-ratio,1.0281,0.8865,1.0174,0.9925,0.9709,1.0411,1.0862,1.2265,1.2694,1.1489,1.1765,1.1198,1.0089,1.021,0.9518,0.8893,1.1279,1.0351,1.1992,1.1242,1.2555,,,,,,
long-term-debt-capital,0.5062,0.4972,0.5179,0.4918,0.4968,0.5023,0.5014,0.4953,0.4984,0.5597,0.5836,0.6171,0.6405,0.6128,0.6492,0.6846,0.5991,0.6288,0.5033,0.5124,0.667,,,,,,
debt-equity-ratio,1.0518,1.0756,1.0888,0.99,1.0151,1.0278,1.022,0.9951,1.0103,1.3383,1.4544,1.651,1.9002,1.6368,1.8735,2.308,1.4946,1.6946,1.0245,1.0613,2.0049,,,,,,
gross-margin,22.3745,21.3655,20.7509,23.7163,21.7688,20.9845,20.4667,22.392,22.6685,24.5637,25.4617,26.4836,25.5024,24.8487,23.467,24.3097,28.2637,26.4951,27.8606,24.3451,26.1888,25.4631,23.9661,,,,
operating-margin,5.8998,4.9822,2.3964,6.9376,3.5713,2.8644,0.9625,1.395,-10.8093,2.6206,9.0993,10.7863,10.0554,9.9225,7.8695,9.8522,12.6636,10.6552,10.484,5.6318,7.6146,2.7549,5.4652,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,5.9451,2.8776,-1.7505,5.2019,0.1425,2.7605,-3.171,-1.7342,-14.8206,0.0926,7.4118,10.5738,8.5273,8.3451,5.9118,9.0582,11.5098,7.0061,9.8887,-11.5808,5.0137,-1.8506,0.0214,,,,
net-profit-margin,5.0058,0.9678,-2.6813,3.987,-0.9323,1.2643,-2.3224,-1.3975,-17.9974,0.8665,5.5475,9.2326,6.9759,7.6075,4.2134,7.6091,10.7995,6.9142,8.1757,-16.2229,4.1624,5.3132,-0.6286,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.9088,0.9063,0.916,0.9115,1.1098,1.0423,1.0643,1.0597,0.8563,1.0443,1.1012,1.0538,1.1276,1.1224,1.1391,1.3519,1.0586,1.2209,1.1339,1.3192,1.2557,,,,,,
days-sales-in-receivables,99.0274,99.3085,98.2563,98.7416,81.0928,86.3492,84.5632,84.9265,105.1092,86.1799,81.7324,85.4073,79.8145,80.1881,79.0119,66.5725,85.014,73.7166,79.3745,68.2224,71.6711,,,,,,
roe,2.0547,0.3999,-1.0571,1.599,-0.3669,0.4804,-0.8445,-0.4978,-4.8904,0.9589,6.3161,12.4359,10.4372,10.5333,6.9052,14.099,11.8967,8.318,6.1758,-12.6922,4.2779,,,,,,
return-on-tangible-equity,-2.3959,-0.4405,1.1527,-1.7494,0.3836,-0.5145,0.9298,0.5887,5.6196,-1.1475,-6.5656,-10.257,-6.5831,-7.6464,-3.9192,-6.2831,-9.5312,-5.2461,-7.7605,14.022,-2.7123,,,,,,
roa,0.7987,0.1527,-0.4061,0.6295,-0.1442,0.189,-0.339,-0.2065,-2.0282,0.2536,1.6404,2.9096,2.1968,2.4282,1.417,2.531,2.902,1.9182,1.9785,-4.0101,0.954,,,,,,
roi,1.0147,0.2011,-0.5096,0.8126,-0.1846,0.2391,-0.421,-0.2512,-2.4531,0.4222,2.6303,4.7618,3.7517,4.0785,2.4224,4.4463,4.7694,3.0874,3.0673,-6.1885,1.4247,,,,,,
book-value-per-share,27.6273,27.2946,27.357,27.6298,27.4457,27.439,28.0072,28.9419,29.038,6.5235,6.2017,5.6074,4.8873,5.2894,4.6675,4.0362,5.6274,4.9841,6.6764,6.4051,2.8271,,,,,,
operating-cash-flow-per-share,1.5038,0.7968,-0.1287,2.8982,1.8542,0.6266,-0.4498,2.6465,1.2592,1.7796,1.3733,1.9689,1.7119,0.7913,-0.0116,3.4041,2.4015,1.5757,0.6914,2.4661,2.2342,1.5406,0.6014,,,,
free-cash-flow-per-share,1.0216,0.529,-0.2395,2.3768,1.4371,0.3133,-0.6536,2.0606,0.9362,1.4908,1.1815,1.4051,1.4091,0.5864,-0.097,3.0531,2.2047,1.4489,0.6142,1.9868,1.8964,1.2927,0.5123,,,,
