,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
current-ratio,13.419,20.4644,24.0919,17.8645,17.1106,14.2367,3.4015,3.3716,,,,
long-term-debt-capital,0.1435,0.138,0.134,0.1319,0.2015,0.1764,1.2604,0.9254,,,,
debt-equity-ratio,0.1675,0.1601,0.1548,0.152,0.2524,0.2408,-4.9789,12.4039,,,,
gross-margin,83.434,82.8416,82.4369,80.7174,81.1016,80.7826,77.1559,81.1088,78.4761,77.2261,77.4212,
operating-margin,-41.4678,-45.3416,-54.0123,-29.5731,-35.6136,-51.5359,-51.7327,-38.6261,-50.1857,-72.5588,-77.8554,
ebit-margin,,,,,,,,,,,,
pre-tax-profit-margin,-39.5312,-42.4246,-50.8677,-28.8544,-35.9507,-53.5381,-64.7381,-42.6936,-55.3294,-78.7157,-84.5951,
net-profit-margin,-39.5312,-42.4246,-50.8677,-28.8544,-35.9507,-53.5381,-64.7381,-42.6936,-55.3294,-78.7157,-84.5951,
asset-turnover,0.1139,0.0972,0.0857,0.0828,0.0999,0.0817,0.3605,0.3968,,,,
inventory-turnover,0.7393,0.8689,0.9189,1.1972,0.8023,0.5924,0.6759,0.5125,,,,
receiveable-turnover,1.8991,1.9051,2.3096,2.4837,2.4129,2.4372,2.9032,2.5809,,,,
days-sales-in-receivables,47.39,47.241,38.9686,36.2359,37.2989,36.9281,31.0008,34.872,,,,
roe,-5.6465,-5.0168,-5.2511,-2.9134,-4.7736,-5.709,5.2411,3.6093,,,,
return-on-tangible-equity,-5.6465,-5.0168,-5.2511,-2.9134,-4.7736,-5.709,131.7325,-320.3467,,,,
roa,-4.501,-4.1225,-4.3596,-2.388,-3.5901,-4.3736,-23.3396,-16.9423,,,,
roi,-4.8363,-4.3244,-4.5473,-2.529,-3.8116,-4.7018,-34.297,-23.8995,,,,
book-value-per-share,6.076,6.38,6.6977,7.0079,4.5957,4.8038,-3.5787,1.0432,,,,
operating-cash-flow-per-share,-1.1182,-1.003,-0.4668,-1.2822,-0.7539,-0.9268,-4.9868,-13.4163,-10.635,-8.162,-4.6667,
free-cash-flow-per-share,-1.2142,-1.0549,-0.4785,-1.2993,-0.7567,-0.9311,-4.9922,-13.7664,-10.9325,-8.3585,-4.846,
