,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31
current-ratio,8.9641,14.6411,19.6593,23.2801,33.2136,35.9179,38.0315,23.5903,22.6521,25.3321,36.0668,27.3807,29.9283,33.4294,32.908,31.5587,9.4024,10.4768,19.6387,11.8596,11.732,14.5096,14.9618,13.2705,12.3014,9.8923,14.1169,7.4285,6.5564,6.2763,7.1263,6.1597,8.002,12.6675,7.7492,11.0531,9.6685,3.1127,4.313,1.3621,2.0821,2.8135,3.2218,3.0001,3.2581,1.5502,1.9136,2.5934,3.4129,3.6077,4.4256,5.5563,1.7778,,,
long-term-debt-capital,0.0069,0.0022,0.0022,,0.0,0.0002,0.0003,0.0004,0.0005,0.0006,0.0006,0.0008,0.0001,0.0003,0.0004,0.0005,0.0007,0.0014,0.0015,0.0019,,,,0.0004,0.0007,0.0009,0.0013,0.0048,0.0053,0.0097,0.0095,0.0032,0.0032,0.0033,,,,,,0.2898,,,,,,,,,0.0998,0.1091,0.099,0.1011,0.6806,,,
debt-equity-ratio,0.0105,0.0059,0.0066,0.0005,0.0006,0.0007,0.0008,0.0009,0.0011,0.0013,0.0015,0.0016,0.0007,0.0008,0.0009,0.001,0.0012,0.0023,0.0023,0.0033,0.0009,0.0013,0.0018,0.0023,0.0027,0.003,0.0031,0.0097,0.0096,0.0162,0.0148,0.0052,0.0049,0.0048,,0.0093,0.0294,0.1714,0.1478,3.2133,0.5305,0.3342,0.2808,0.2497,0.2316,0.9057,0.6397,0.3047,0.2538,0.2405,0.1998,0.1879,3.3448,,,
gross-margin,,,,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
operating-margin,,,,,,,,,,,,,,,,52.2269,50.2099,-4105.204,,,,,,,,,,-9537.285,,,-369.3049,-20075.81,-16364.06,-20135.71,-15616.92,-311.7706,-4221.765,-3378.075,-7504.054,-11025.0,11644.44,85771.43,2263.823,666.8224,-26420.0,-1681.658,-966.5073,-1634.86,-729.0,-690.1255,-539.6774,456.7507,-428.679,-174.5731,-244.3049,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,,,,,,,,,,,,,,,,53.6609,77.6434,-4075.667,,,,,,,,,,-9494.913,,,-367.256,-19975.8,-16309.37,-20089.29,-15589.23,-311.3716,-4245.294,-3413.904,-7617.567,-11210.0,11835.18,87014.28,2294.881,677.4922,-26860.0,-1718.342,-960.1276,-1574.3,-691.2222,-654.6443,-507.8065,440.729,-428.5117,-177.4342,-249.7443,
net-profit-margin,,,,,,,,,,,,,,,,53.6609,77.6434,-4075.668,,,,,,,,,,-9494.91,,,-367.2559,-19975.8,-16309.37,-20089.29,-15589.23,-311.3716,-4245.294,-3413.903,-7617.567,-11210.0,11835.18,87014.28,2294.88,677.4922,-26660.0,-1705.779,-956.6189,-1751.908,-654.8889,-640.4184,-494.8387,441.2242,-545.4013,-234.3332,-296.3738,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,,,,,,,,,,,62.4328,89.4709,0.4897,,,,,,,,,,0.426,,,146.4118,0.6019,0.6882,0.1543,0.6989,8.1504,1.8681,1.0,0.8916,0.9231,,,,,,1.0786,3.6034,2.8897,11.3924,39.8333,1.5672,-2.7915,1.9607,,,
days-sales-in-receivables,,,,,,,,,,,,,,,,1.4416,1.0059,183.7975,,,,,,,,,,211.2711,,,0.6147,149.5161,130.7813,583.3928,128.7692,11.0424,48.1765,90.0,100.9459,97.5,,,,,,83.4422,24.9761,31.145,7.9,2.2594,57.4258,-32.2412,45.903,,,
roe,-9.0154,-8.3862,-7.6159,-6.2407,-5.6626,-5.8389,-6.7003,-7.1501,-5.5933,-6.2175,-5.2706,-1.1088,-5.1669,-4.4109,-4.1516,3.7702,6.1104,-11.9778,-7.2417,-15.0527,-13.0992,-12.4287,-11.6202,-8.7279,-8.4659,-11.2713,-6.0195,-15.551,-18.6777,-21.5894,-14.2933,-17.4515,-12.6991,-12.2277,-24.6557,-12.3516,-12.924,-50.6185,-30.5082,-658.1193,-88.5917,-46.3758,-35.9284,-34.7668,-20.1135,-67.856,-36.8134,-31.9668,-21.1081,-23.0096,-19.0285,-20.6966,4.5128,,,
return-on-tangible-equity,-9.0155,-8.3862,-7.6159,-6.2407,-5.6626,-5.8389,-6.7003,-7.1501,-5.5933,-6.2175,-5.2706,-1.1088,-5.1669,-4.4109,-4.1516,3.7702,6.1104,-11.9778,-7.2417,-15.0527,-13.0992,-12.4287,-11.6202,-8.7279,-8.4659,-11.2713,-6.0195,-15.551,-18.6777,-21.5894,-14.2933,-17.4515,-12.6991,-12.2277,-24.6557,-12.3516,-12.924,-50.6185,-30.5082,-658.1212,-88.5916,-46.3758,-35.9284,-34.7668,-20.1135,-67.8561,-36.8134,-31.9668,-21.1081,-23.0096,-19.0285,-20.6966,-175.8076,,,
roa,-8.2859,-7.8212,-7.2176,-5.9746,-5.4928,-5.6802,-6.5242,-6.8727,-5.3651,-5.9809,-5.1231,-1.0701,-4.9929,-4.2773,-4.024,3.6493,5.4762,-10.8903,-6.894,-13.7724,-11.9988,-11.5822,-10.8716,-8.2196,-7.9058,-10.4437,-5.7026,-13.7422,-16.0797,-18.0547,-12.3591,-14.9885,-11.181,-10.94,-20.2895,-10.7204,-11.1086,-29.2938,-20.86,-57.635,-36.787,-26.1147,-22.4778,-22.5591,-14.18,-26.8064,-18.012,-19.3225,-13.484,-14.6744,-12.9023,-14.601,-26.3847,,,
roi,-8.9529,-8.3678,-7.5989,-6.2407,-5.6624,-5.8378,-6.6983,-7.1472,-5.5905,-6.2139,-5.2673,-1.1079,-5.1661,-4.4097,-4.15,3.7682,6.1063,-11.9608,-7.2308,-15.0235,-13.0992,-12.4287,-11.6202,-8.7247,-8.4602,-11.2608,-6.0116,-15.4764,-18.5785,-21.3796,-14.1581,-17.3954,-12.6583,-12.1879,-24.6557,-12.3516,-12.924,-50.6185,-30.5082,-467.408,-88.5916,-46.3758,-35.9284,-34.7668,-20.1135,-67.8561,-36.8134,-31.9668,-19.0025,-20.4998,-17.1446,-18.6045,-56.3436,,,
book-value-per-share,1.5528,1.6683,1.7946,1.9177,2.024,2.1255,2.2211,2.3534,2.5079,2.6511,2.7965,2.9217,2.9354,3.0674,3.1826,3.2907,3.1477,2.0499,2.2627,1.3849,1.1931,1.2883,1.4303,1.5803,1.7008,1.8306,2.0195,0.9048,1.0271,0.7377,0.9054,1.0169,1.1785,1.3196,0.7037,0.8658,0.9575,0.3272,0.4796,0.0383,0.2706,0.4963,0.7089,0.9478,1.2561,0.6389,1.0418,1.3774,1.7873,2.1325,2.5933,3.0492,,,,
operating-cash-flow-per-share,-0.3458,-0.2292,-0.1278,-0.448,-0.363,-0.2695,-0.1746,-0.4336,-0.2856,-0.1657,-0.0424,-0.4804,-0.3548,-0.2424,-0.1184,0.0444,0.1514,-0.2907,-0.1558,-0.5645,-0.3973,-0.28,-0.138,-0.5707,-0.4104,-0.2735,-0.1534,-0.6291,-0.4467,-0.2976,-0.1609,-0.5624,-0.3746,-0.2822,-0.1408,-0.4164,-0.3815,-0.2982,-0.1881,-0.8409,-0.6493,-0.4804,-0.269,-0.9441,-0.8137,-0.7596,-0.3895,-1.9211,-1.4125,-0.8994,-0.4631,-2.0172,-29.0603,-20.0723,-10.6857,
free-cash-flow-per-share,-0.3471,-0.2298,-0.1283,-0.4517,-0.3664,-0.2721,-0.1759,-0.4381,-0.2895,-0.1681,-0.044,-0.4987,-0.3677,-0.2516,-0.1213,0.0388,0.147,-0.2934,-0.1564,-0.5741,-0.4005,-0.2825,-0.1403,-0.575,-0.4129,-0.2759,-0.1551,-0.638,-0.4551,-0.3057,-0.1676,-0.5738,-0.3831,-0.2906,-0.1409,-0.4192,-0.3847,-0.3023,-0.1886,-0.8424,-0.6509,-0.482,-0.2703,-0.947,-0.8146,-0.7603,-0.3899,-2.0007,-1.4647,-0.9263,-0.4693,-2.0583,-29.751,-20.0918,-10.6857,
