,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30
current-ratio,1.7103,1.7195,2.5263,3.0247,3.0133,2.6768,1.9131,1.8237,1.2298,3.4039,4.6795,6.3125,3.1224,3.9455,4.8672,6.8907,10.0534,11.0266,12.1443,3.3613,5.4531,6.5733,10.4561,5.0021,5.7514,6.227,6.3896,6.8648,1.2797,2.6913,5.3477,91.4191,0.1201,0.5326,0.0784,,,,,1.0608,,1.0693,,0.0325,0.032,,,,
long-term-debt-capital,0.8725,0.8436,0.8033,0.8157,0.725,0.7585,0.458,0.4763,,,,,,,,,,,,,,,,,,,,,,,,,-0.8638,,,,,,,,,,,,,,,,
debt-equity-ratio,6.987,5.5011,4.1344,4.4274,2.6366,3.1403,0.8451,0.9095,,,,,,,,,,,,,,,,,,,,,,,,,-0.4635,,,,,,,,,,,,,,,,
gross-margin,83.3706,82.7204,91.9398,85.4261,85.553,82.6048,90.4038,81.2754,74.8889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-margin,-25.6389,-47.8125,9.9407,-26.102,-18.0124,-81.6357,-35.1705,-294.1781,-1274.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-29.9634,-69.4078,-10.182,-43.1829,-22.6748,-87.3304,-36.6002,-296.5475,-1270.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-profit-margin,-29.9634,-69.4078,-10.182,-43.1829,-22.6748,-87.3304,-36.6002,-296.5475,-1270.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asset-turnover,0.2429,0.2248,0.299,0.2743,0.2714,0.223,0.3921,0.1305,0.0334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory-turnover,3.0006,2.858,3.0281,3.9463,3.1949,3.5681,2.3279,1.9941,17.1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.0731,2.1273,1.2233,3.4217,3.1711,2.3786,4.0785,2.2345,1.5622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,43.4125,42.3068,73.572,26.3027,28.3814,37.837,22.067,40.2768,57.6107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,-98.2825,-171.8983,-23.204,-89.4712,-30.9301,-115.7602,-42.3715,-120.2166,-97.4887,-64.8017,-43.5296,-34.6295,-72.1694,-52.4068,-43.0282,-29.9616,-24.6744,-23.5441,-17.2356,-40.5714,-25.313,-23.2515,-9.9574,-18.9863,-15.0728,-11.8197,-9.9595,-16.9988,-287.2411,-52.6199,-27.7637,-18.1111,107.3464,,177.4874,,-315.7616,,,,,,,103.3547,182.2692,,-207.3408,,-31.48
return-on-tangible-equity,69.5801,181.116,-20171.23,303.8412,-2741.457,548.4966,-241.3261,-1295.291,-259.089,-64.8017,-43.5296,-34.6295,-72.1694,-52.4068,-43.0282,-29.9616,-24.6744,-23.5441,-17.2356,-40.5714,-25.313,-23.2515,-9.9574,-18.9863,-15.0728,-11.8197,-9.9595,-16.9988,-287.2412,-52.6199,-27.7637,-18.1111,107.3464,,177.4876,,-315.7619,,,,,,,103.3548,182.2692,,-207.3407,,-31.48
roa,-7.2766,-15.6026,-3.0442,-11.8454,-6.155,-19.4776,-14.3511,-38.712,-42.4397,-45.0367,-33.6366,-28.7436,-49.0789,-38.9702,-34.5911,-25.7349,-22.2414,-21.3963,-15.8049,-29.1771,-20.8331,-19.8079,-8.9869,-15.2778,-12.4082,-9.884,-8.3534,-14.4451,-70.8519,-33.2025,-22.3885,-17.7757,-904.9882,,,,-315.7619,,,-137.5415,,-172.7124,,,,-147.3156,-207.3407,,-31.48
roi,-12.5352,-26.8856,-4.5651,-16.4851,-8.5053,-27.9596,-22.9644,-62.958,-97.4889,-64.8017,-43.5296,-34.6295,-72.1694,-52.4068,-43.0282,-29.9616,-24.6744,-23.5441,-17.2356,-40.5714,-25.313,-23.2515,-9.9574,-18.9863,-15.0728,-11.8197,-9.9595,-16.9988,-287.2413,-52.6199,-27.7637,-18.1111,200.0691,,177.4876,,-315.7619,,,,,,,103.3547,182.2692,,-207.3407,,-31.48
book-value-per-share,0.4411,0.562,1.127,0.8951,1.2043,1.0108,1.5215,1.4178,2.1176,3.2406,4.5286,5.6977,2.8043,3.9109,5.0763,6.3451,7.5512,8.53,9.4838,3.8316,4.7016,5.5462,6.6003,2.897,3.303,3.7321,4.1245,4.4952,0.4492,1.3991,2.1255,2.7132,-0.0809,-0.0005,-0.0007,,0.0007,0.0006,0.0,0.0,0.0,0.0001,-0.0001,-0.0007,-0.0007,0.0006,0.0007,,0.0029
operating-cash-flow-per-share,0.535,0.7275,-0.4192,-0.6353,-0.8189,-0.6317,-0.1659,-4.64,-3.6777,-2.2155,-0.9759,-4.2556,-3.0996,-2.0262,-1.0785,-4.8082,-3.7593,-2.6298,-1.5836,-2.5725,-1.9504,-1.1428,-0.5766,-1.9182,-1.4458,-1.0271,-0.6445,-2.0258,-0.9582,-0.5768,-0.139,-0.2354,-0.0458,-0.01,-0.001,-0.0018,-0.0017,-0.0031,-0.0023,-0.0056,-0.0053,-0.0034,-0.0026,-0.0039,-0.0032,-0.0025,-0.0015,,
free-cash-flow-per-share,0.535,0.7275,-0.4192,-0.6514,-0.8333,-0.6382,-0.1669,-4.6516,-3.6854,-2.219,-0.9793,-4.4744,-3.3066,-2.2313,-1.0799,-4.845,-3.794,-2.66,-1.603,-2.6155,-1.9724,-1.1606,-0.5839,-1.9401,-1.4611,-1.0396,-0.6508,-2.0747,-0.9918,-0.6099,-0.1601,-0.3249,-0.0466,-0.0108,-0.001,-0.0018,-0.0017,-0.0031,-0.0023,-0.0056,-0.0053,-0.0034,-0.0026,-0.0039,-0.0032,-0.0025,-0.0015,,
