,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
current-ratio,5.729,6.9851,10.3068,13.9542,18.9507,18.5734,6.269,,,,,
long-term-debt-capital,0.0743,0.062,0.0068,,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,
roe,-34.6755,-29.8467,-17.5112,-13.1106,-11.0788,-8.8723,24.4477,,,,,
return-on-tangible-equity,-34.6755,-29.8467,-17.5112,-13.1106,-11.0788,-8.8723,24.4478,,,,,
roa,-27.543,-24.6037,-15.7031,-12.1292,-10.4858,-8.3898,-19.0136,,,,,
roi,-32.0998,-27.9968,-17.3918,-13.1106,-11.0788,-8.8723,24.4477,,,,,
book-value-per-share,2.1609,2.7986,3.533,4.0944,4.5787,5.0441,-3.0484,,,,,
operating-cash-flow-per-share,-1.499,-0.7455,-2.1104,-1.4127,-0.9725,-0.585,-3.1663,-1.7105,-1.1621,-3.3451,,
free-cash-flow-per-share,-1.5877,-0.8017,-2.3441,-1.5962,-1.0949,-0.6191,-3.3326,-1.8245,-1.1789,-3.4265,,
