,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-03-31,2015-03-31
current-ratio,3.0549,2.1398,2.0013,2.4002,2.1988,1.7142,1.6328,1.3153,,,1.0261,,,
long-term-debt-capital,0.5607,0.2329,0.0965,0.0693,0.0682,0.072,0.0035,0.0038,,,0.9488,,,
debt-equity-ratio,1.341,0.3193,0.1208,0.0752,0.0746,0.0798,0.0357,0.0381,,,36.5926,,,
gross-margin,15.9749,22.0581,12.8708,24.4357,42.2604,18.7182,31.7201,24.3826,31.2941,18.0041,30.1497,,,
operating-margin,6.4502,11.3255,-3.4544,1.8798,33.9335,5.8286,18.3192,16.8852,21.8787,4.9886,18.3751,,,
ebit-margin,,,,,,,,,,,,,,
pre-tax-profit-margin,9.2409,11.4367,-4.0293,-2.7396,31.9148,7.6544,18.5167,30.4085,20.2712,2.5855,22.9833,,,
net-profit-margin,2.3736,2.7261,0.1459,-2.9046,5.4618,2.1718,1.7434,22.5335,5.7862,2.4532,5.0971,,,
asset-turnover,,,,,,,,,,,,,,
receiveable-turnover,2.1388,1.2993,1.2806,1.855,2.379,3.5512,2.3468,5.9897,,,14.2702,,,
days-sales-in-receivables,42.08,69.2668,70.2811,48.5166,37.8312,25.3432,38.35,15.0259,,,6.3068,,,
roe,5.5881,5.7305,-1.3434,-1.0693,20.8643,4.4994,9.2192,25.1694,,,-109.6296,,,
return-on-tangible-equity,-6.7486,-8.0608,2.833,2.13,-40.5555,-7.169,-13.3672,-31.9852,,,-360.7318,,,
roa,1.4314,1.8764,-0.4704,-0.3784,6.9986,1.5393,3.0134,8.4225,,,56.8013,,,
roi,2.455,4.3962,-1.2139,-0.9952,19.4421,4.1753,9.1872,25.0749,,,222.4628,,,
book-value-per-share,5.5186,5.3723,5.2857,5.2503,5.6057,5.3231,5.2214,5.0823,,,,,,
operating-cash-flow-per-share,0.2669,-0.58,-0.1042,0.6725,0.8301,0.3544,0.1243,1.8115,1.2781,0.8692,0.742,,,
free-cash-flow-per-share,0.2455,-0.5899,-0.1069,0.6416,0.8075,0.3364,0.1116,1.7389,1.2208,0.836,0.7307,,,
