,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31
current-ratio,4.3897,4.1712,4.0471,3.5969,4.0638,4.3837,4.267,3.8547,2.803,2.009,1.9555,3.0349,3.2377,3.2031,2.8435,2.1505,2.0808,2.1094,2.2701,3.1906,3.3597,3.1357,2.8589,2.3724,2.357,2.3331,2.2859,2.5503,,,,,
long-term-debt-capital,0.7119,0.7329,0.7395,0.7468,0.7525,0.7143,0.715,0.735,0.7104,0.6805,0.6946,0.7488,0.7365,0.7651,0.7899,0.8036,0.7201,0.7296,0.7131,0.7305,0.7239,0.7395,0.7682,0.7911,0.8079,0.8156,0.8341,0.1119,,,,,
debt-equity-ratio,2.4705,2.7437,2.839,2.9529,3.0411,2.5,2.5084,2.7732,2.8242,2.6168,2.7327,2.9807,2.7954,3.2597,3.7641,4.462,2.8979,3.0341,2.7931,2.7158,2.6292,2.848,3.3285,3.8015,4.2171,4.4374,5.0359,0.144,,,,,
gross-margin,69.7601,69.9418,64.3986,65.2174,68.0405,68.4099,67.2767,68.6986,67.706,65.327,64.013,63.3516,66.9621,66.9702,66.5232,61.0675,65.3213,63.6596,64.2468,62.803,64.1322,64.3351,65.4512,62.8389,65.0952,62.6571,63.1193,63.1803,64.7694,65.4479,62.4642,,
operating-margin,33.3333,29.4118,26.1856,26.7263,28.2432,30.8834,30.5271,29.4521,30.6607,27.1868,27.3761,18.0893,26.8332,27.4834,28.5714,5.416,22.4876,-2.2979,20.8711,11.7424,19.6694,17.2712,20.6928,10.0479,16.7724,16.7864,17.6147,6.9728,20.9029,23.0347,16.3324,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,33.3333,29.4118,26.1856,26.7263,28.2432,30.8834,30.5271,29.4521,30.6607,27.1868,27.3761,18.0893,26.8332,27.4834,28.5714,5.416,22.4876,-2.2979,20.8711,11.7424,19.6694,17.2712,20.6928,10.0479,16.7724,16.7864,17.6147,6.2925,20.9029,23.0347,16.3324,,
net-profit-margin,27.3359,23.9819,21.4433,22.0588,23.446,27.1378,25.7687,5.5479,22.1232,19.4642,19.3339,12.0595,19.2587,18.5431,17.5559,1.7268,15.5684,-3.1489,14.9728,9.5455,13.719,11.7444,14.1294,8.3732,11.8767,11.4901,12.844,-0.8503,15.8979,15.8135,10.6017,,
asset-turnover,0.1405,0.1408,0.1337,0.1451,0.1415,0.1645,0.1572,0.17,0.145,0.1627,0.1609,0.1669,0.1609,0.1607,0.1559,0.161,0.1816,0.1781,0.1714,0.2004,0.1854,0.1776,0.1713,0.1912,0.1762,0.1779,0.1775,0.1878,,,,,
inventory-turnover,0.3329,0.3312,0.3806,0.3911,0.3282,0.3148,0.3102,0.3203,0.2919,0.2937,0.2886,0.3116,0.2623,0.2616,0.2663,0.3381,0.3001,0.3013,0.2927,0.3809,0.3127,0.3091,0.288,0.3604,0.2984,0.3309,0.3589,0.3219,,,,,
