,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
current-ratio,7.6112,5.4287,3.1039,3.2825,4.1137,3.027,3.3619,4.5273,,,,,
long-term-debt-capital,0.0526,0.0917,0.1812,0.1566,0.1372,,,0.0619,,,,,
debt-equity-ratio,0.0561,0.1019,0.2235,0.1856,0.1591,0.143,0.1426,0.1424,,,,,
gross-margin,47.0624,51.2042,48.6909,47.8809,52.8279,45.9678,42.1752,43.7092,44.7332,41.8377,44.2113,,
operating-margin,-68.5426,-77.6743,-75.845,-86.5496,-72.3444,-84.5887,-95.24,-108.3017,-111.3882,-124.0936,-113.4507,,
ebit-margin,,,,,,,,,,,,,
pre-tax-profit-margin,-66.883,-77.8664,-76.0558,-85.5843,-72.2972,-84.9589,-95.7585,-112.1414,-115.3471,-127.2204,-119.7265,,
net-profit-margin,-66.0466,-78.0364,-76.2341,-85.8141,-72.2972,-84.9589,-95.7585,-112.0352,-135.0192,-148.6093,-140.4459,,
asset-turnover,0.0851,0.1237,0.1893,0.1609,0.1488,0.1111,0.0899,0.0718,,,,,
inventory-turnover,0.7088,0.7463,0.8176,0.9536,0.9295,0.8513,0.8156,1.0437,,,,,
receiveable-turnover,1.2543,1.4819,1.6893,1.6014,2.2786,2.4102,1.6136,1.1768,,,,,
days-sales-in-receivables,71.7519,60.7314,53.2763,56.1993,39.4977,37.3412,55.7758,76.4775,,,,,
roe,-7.2448,-14.1321,-27.488,-22.7298,-16.0565,-13.8091,-12.1387,-11.2076,,,,,
return-on-tangible-equity,-8.7304,-14.7976,-30.6262,-24.9512,-17.4546,-14.9275,-13.0514,-11.2076,,,,,
roa,-5.6225,-9.6547,-14.4302,-13.8055,-10.7553,-9.4417,-8.6063,-8.0432,,,,,
roi,-6.8637,-12.8365,-22.507,-19.1711,-13.8528,-13.8091,-12.1387,-10.5139,,,,,
book-value-per-share,4.8711,3.0025,1.5213,1.8358,2.1529,2.4191,2.7187,3.0343,,,,,
operating-cash-flow-per-share,-0.8131,-0.5523,-0.2387,-1.3059,-0.9339,-0.6382,-0.4618,-2.8583,-7.1527,-4.228,-1.693,,
free-cash-flow-per-share,-1.2001,-0.9757,-0.5026,-1.3742,-0.9972,-0.6697,-0.4823,-3.0044,-7.473,-4.5023,-1.7638,,
