,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
current-ratio,0.4171,3.8581,1.0975,3.1754,4.5861,1.2646,0.3958,0.6035,0.1052,0.1198,1.9658,23.118,,0.0034,0.0064,0.8912,0.9472,0.3378,0.0346,,
long-term-debt-capital,0.0931,0.1048,0.0994,0.0816,0.0731,,,,,,,,,,,,,,,,
debt-equity-ratio,0.1163,0.1363,0.239,0.0948,0.1043,0.1466,0.348,0.2794,1.0276,0.8423,0.0314,0.0274,,-0.8429,-0.7781,-6.5921,,-1.2721,-0.8694,,
gross-margin,13.8898,19.9866,3.5216,16.1058,28.542,26.8788,26.3448,32.5005,28.2548,23.3931,-50.2293,86.3627,89.7302,,,,,,,,
operating-margin,-1429.05,-1086.68,-1571.386,-790.002,-575.4295,-244.5618,-426.9774,-732.8779,-207.2512,-103.727,-743.5703,-8.7546,63.6223,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-1130.97,-1110.464,-1585.327,-798.8531,-581.1931,-270.8796,-503.7036,-739.3758,-223.8869,-114.8784,-828.7316,-8.591,63.6348,,,,,,,,
net-profit-margin,-1006.794,-1090.05,-1550.448,-769.622,-567.0261,-260.9176,-481.168,-555.9136,-223.8869,-114.8784,-828.7316,-16.1578,63.6348,,,,,,,,
asset-turnover,0.0359,0.0293,0.0223,0.0257,0.0279,0.0347,0.0266,0.0252,0.038,0.0446,0.0106,0.0782,,,,,,,,,
inventory-turnover,,24.6008,16.0129,,10.7734,16.452,22.4304,80.7522,,,,,,,,,,,,,
receiveable-turnover,1.6326,3.0679,4.788,6.602,1.0332,1.9208,6.8399,6.5586,1.4228,1.4381,0.9441,4.1263,,,,,,,,,
days-sales-in-receivables,55.1265,29.3357,18.7969,13.6322,87.1107,46.8556,13.158,13.7224,63.2546,62.5846,95.3319,21.8115,,,,,,,,,
roe,-75.4167,-51.9635,-49.6942,-24.4736,-18.9474,-12.93,-26.6739,-32.277,-29.2256,-15.3715,-17.7466,-1.3203,,149.1279,246.8086,51.907,,32.3129,130.4107,,
return-on-tangible-equity,-75.4167,-59.5792,-57.0858,-27.5473,-21.1811,-14.9753,-35.9587,-41.2023,-29.2256,-15.3715,-17.7466,-1.3203,,149.1279,246.8086,51.907,,32.3129,130.4107,,
roa,-40.6229,-32.56,-35.3909,-20.5608,-16.1921,-9.3873,-13.3905,-18.6208,-8.5127,-5.1226,-8.7539,-1.2632,,,,-6.3338,-121.0163,-63.3333,,,
roi,-68.3949,-46.5178,-44.757,-22.4764,-17.5628,-12.93,-26.6739,-32.277,-29.2256,-15.3715,-17.7466,-1.3203,,149.1279,246.8086,51.907,,32.3129,130.4106,,
book-value-per-share,0.0758,0.1129,0.1228,0.1535,0.1737,0.1423,0.0834,0.104,0.0376,0.0433,0.0479,0.0575,0.0,-0.0044,-0.0034,-0.0003,-0.0001,-0.0025,-0.0008,,
operating-cash-flow-per-share,-0.0703,-0.0521,-0.0193,-0.0611,-0.0488,-0.0306,-0.006,-0.0206,-0.0116,-0.0093,-0.0066,0.0003,0.0066,0.007,-0.0014,-0.0048,-0.0147,-0.0014,-0.0006,,
free-cash-flow-per-share,-0.0755,-0.0542,-0.0205,-0.0681,-0.0549,-0.033,-0.0061,-0.0214,-0.0123,-0.0097,-0.0066,0.0003,0.0066,0.007,-0.0014,-0.0048,-0.0147,-0.0014,-0.0006,,
