,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
current-ratio,0.835,1.6006,2.914,1.7625,1.3895,0.7097,0.3762,0.5364,0.7643,0.586,1.1783,1.9931,2.3967,2.5234,4.5677,4.7879,5.1932,6.6104,7.7341,5.2667,7.4437,5.9478,5.9547,2.9648,3.991,8.2647,8.9905,12.1239,18.5902,7.9339,9.9006,4.9669,7.0778,4.2435,9.1951,4.8265,9.6942,14.6574,9.7934,18.5406,7.6874,9.7597,,,,1.4643,6.6603,,,
long-term-debt-capital,0.8346,0.7013,0.5182,0.3943,0.0588,0.0223,0.0246,0.1937,0.2162,0.2958,0.3526,0.0063,0.0131,0.0338,0.0302,0.037,0.07,0.0711,0.0751,0.1063,0.108,0.1485,0.0622,0.1342,0.0849,0.0556,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,5.6813,2.4426,1.1243,0.7773,0.0683,0.0295,0.0252,0.2638,0.2759,0.42,0.547,0.0779,0.0508,0.0906,0.0655,0.0706,0.1258,0.1219,0.1117,0.1705,0.1544,0.2029,0.0719,0.155,0.1434,0.0848,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,49.3438,62.4288,66.1423,46.9671,68.6685,79.0106,95.1977,99.11,82.508,78.1699,106.4942,81.3642,67.2949,63.664,60.8826,45.2403,73.231,47.9017,44.4862,58.6991,34.1936,42.3156,96.0396,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
operating-margin,-777.5359,-2005.047,-600.3896,-1167.04,-725.0446,-521.0695,-170.52,79.4988,-288.4887,-478.5802,-442.9458,-546.099,-4956.985,-2228.138,-1320.868,-3230.734,-897.9539,-1041.658,-1221.303,-558.8558,-1031.097,-1011.68,-11019.8,-3984.337,-3321.831,-1876.119,-1437.019,-924.3803,-435.1551,-823.973,-596.7772,-766.8882,-1469.026,-291.4983,-36.8807,-389.694,-1020.972,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-1115.146,-2373.596,-833.5978,-1249.208,-1946.997,-537.528,-206.9192,48.3414,-345.9164,-523.1638,-463.3987,693.1788,-4930.155,-1749.697,-1900.748,3013.962,-935.6352,-1086.592,-1279.073,-596.0031,-1090.839,-1034.119,-11184.16,-4043.374,-3335.915,-1882.089,-1435.665,-922.8057,-434.3464,-822.6366,-595.8417,-765.3864,-1466.688,-290.8007,-36.75,-389.0756,-1019.366,,,,,,,,,,,,,
net-profit-margin,-876.3625,-1759.254,-718.3429,-1152.935,-1887.656,-521.5178,237.3892,-1.6906,-304.1158,-473.2047,-444.3145,708.4262,-4801.108,-1584.008,-1755.871,-85.1315,-934.1859,-1068.373,-1065.79,-596.0031,-1090.839,-1034.119,-11184.16,-4043.374,-3335.915,-1882.09,-1435.665,-922.8057,-434.3464,-822.6366,-595.8416,-765.3864,-1466.688,-290.8007,-36.75,-389.0756,-1019.366,,,,,,,,,,,,,
asset-turnover,0.011,0.0101,0.0111,0.007,0.0086,0.0143,0.0473,0.2717,0.0121,0.0141,0.01,0.008,0.0026,0.0036,0.0039,0.0034,0.0088,0.0074,0.0056,0.0123,0.007,0.0108,0.0011,0.0022,0.0182,0.011,0.018,0.017,0.0243,0.0296,0.028,0.0277,0.019,0.0421,0.09,0.0527,0.0238,,,,,,,,,,,,,
inventory-turnover,0.4948,0.5053,0.8095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.642,0.8081,1.5896,1.5192,1.4839,1.0991,5.1979,37.8838,1.2136,1.3401,1.3464,0.9144,0.3493,0.3453,0.5107,1.7733,1.3062,1.2462,1.0902,1.2941,1.3455,1.4855,0.2563,2.27,1.531,0.9995,1.5322,1.5626,2.451,1.5154,2.0887,2.814,0.914,33.7296,2.08,3.2663,1.0,,,,,,,,,,,,,
days-sales-in-receivables,140.1899,111.3755,56.6186,59.24,60.6517,81.8876,17.3147,2.3757,74.1608,67.1584,66.845,98.4262,257.6275,260.6174,176.2304,50.7525,68.9003,72.2211,82.5564,69.5455,66.8903,60.584,351.0891,39.6477,58.7839,90.0423,58.7382,57.5948,36.7191,59.3907,43.0893,31.983,98.4689,2.6683,43.2694,27.5539,90.0,,,,,,,,,,,,,
roe,-131.5457,-124.0584,-25.8868,-22.5684,-28.832,-13.9277,23.328,1.4205,-15.3219,-38.3264,-20.7198,21.7163,-32.8852,-19.4317,-18.8728,-1.4164,-12.0082,-10.438,-7.8234,-10.7128,-10.8351,-17.0634,-16.9079,-10.8683,-82.1034,-24.4279,-28.3106,-16.8936,-11.0933,-26.6153,-18.1049,-24.7406,-31.3353,-15.2917,-3.6995,-25.4827,-26.8887,-22.6072,-21.4308,-6.0404,-9.5973,,-4.4156,-2.8211,,-242.1772,-39.8946,,,
return-on-tangible-equity,148.1127,-1046.785,-52.1916,-43.4465,-49.3864,-25.3723,49.536,-18.9094,102.1273,73.7711,90.4653,32.6016,-40.0949,-26.7866,-22.8514,-1.7022,-14.6794,-22.9059,-10.5896,-49.4281,-38.7194,-425.148,-119.5724,-178.0935,-83.3861,-24.6427,-28.3106,-16.8936,-11.0932,-26.6153,-18.1049,-24.7406,-31.3353,-15.2917,-3.6995,-25.4827,-26.8887,-22.6072,-21.4308,-6.0404,-9.5973,,-4.4156,-2.8211,,-242.1788,-39.8946,,,
roa,-12.2385,-24.0419,-8.607,-8.5811,-16.5316,-7.679,11.167,0.3238,-3.8306,-6.8949,-4.4631,5.6415,-12.655,-6.3142,-7.7431,-0.6391,-8.2505,-7.9523,-6.0089,-7.3034,-7.6632,-11.1383,-12.2011,-8.8356,-60.8184,-20.675,-25.8719,-15.7286,-10.5761,-24.3287,-16.6809,-21.2133,-27.9168,-12.2395,-3.3067,-20.5075,-24.2689,-21.1363,-19.3017,-5.7192,-8.3488,,,-2.8199,,-76.7884,-33.9047,,,
roi,-21.7549,-37.0581,-12.4734,-13.6697,-27.1374,-13.6167,22.7541,1.1453,-12.0086,-26.9909,-13.4145,21.5799,-32.453,-18.7747,-18.3022,-1.3639,-11.1677,-9.6957,-7.2357,-9.5737,-9.6655,-14.5292,-15.8563,-9.41,-75.133,-23.0688,-28.3106,-16.8936,-11.0932,-26.6153,-18.1049,-24.7406,-31.3353,-15.2917,-3.6995,-25.4827,-26.8887,-22.6072,-21.4308,-6.0404,-9.5973,,-4.4156,-2.8211,,-242.1789,-39.8946,,,
book-value-per-share,0.4453,0.9657,1.6969,1.8808,2.2321,2.6461,2.4922,1.3027,1.2568,1.2205,1.7,1.259,2.0662,2.3175,3.7314,3.8866,2.5075,2.7575,3.0044,2.488,2.7345,2.5658,2.9012,1.8737,0.4292,0.0307,0.5162,0.0245,0.0284,0.013,0.016,0.0114,0.0139,0.0179,0.0203,0.0078,0.0095,0.0118,0.0142,0.0171,0.023,0.0301,-0.0012,0.0395,0.0,0.0001,0.0023,,,
operating-cash-flow-per-share,-0.6881,-0.3624,-1.0529,-0.5707,-0.4583,-0.2821,-1.4092,-0.7066,-0.5926,-0.4306,-1.4084,-0.8179,-0.696,-0.5317,-1.1398,-0.694,-0.208,-0.2444,-1.0782,-0.7398,-0.6121,-0.3958,-1.0959,-0.6564,-0.4684,-0.2016,-0.3329,-0.2063,-0.1309,-0.0031,-0.0111,-0.0089,,-0.0017,-0.007,-0.0062,-0.0055,-0.0032,-0.0048,-0.0013,0.0002,-0.0002,,,-0.0028,-0.0006,-0.1042,-0.0832,-0.0082,-0.032
free-cash-flow-per-share,-0.8733,-0.5445,-1.2526,-0.6199,-0.4862,-0.2874,-1.5651,-0.8285,-0.6891,-0.5124,-1.5446,-0.8733,-0.7439,-0.5474,-1.2402,-0.7463,-0.2217,-0.2538,-1.1003,-0.755,-0.6199,-0.3999,-1.1238,-0.6818,-0.4817,-0.2143,-0.381,-0.2474,-0.1585,-0.0039,-0.0153,-0.0122,,-0.0023,-0.0072,-0.0064,-0.0057,-0.0034,-0.0051,-0.0015,0.0002,-0.0002,,,-0.0028,-0.0006,-0.1042,-0.0832,-0.0082,-0.032
