,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,6.9311,6.0072,6.7479,5.7524,5.7324,5.4099,5.8199,5.8494,6.4651,6.4727,5.9897,5.6174,6.2683,6.0282,7.8331,7.8304,8.8783,7.6536,7.8809,8.2088,6.696,6.3935,6.3595,5.8158,5.5057,5.8476,4.91,5.2318,5.3499,5.6504,5.3992,5.9194,5.3848,5.5297,5.444,6.5619,9.2526,8.9077,8.6274,6.993,8.4036,8.0186,7.6652,6.1925,6.5737,5.7566,6.172,5.4928,6.4805,5.5062,4.4512,3.9163,4.5099,4.8294,3.9284,3.545,1.8485,1.8678
long-term-debt-capital,0.2868,0.1876,0.1956,0.2039,0.2095,0.2156,0.2209,0.2282,0.2343,0.2347,0.244,0.247,0.2481,0.2507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0149,0.0188,0.0194,0.0201,0.0221,0.031,0.0991,0.1701
debt-equity-ratio,0.4021,0.264,0.2746,0.2861,0.2929,0.3006,0.3096,0.3222,0.3328,0.333,0.3477,0.3506,0.35,0.3523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,0.0013,,,,0.0151,0.0191,0.0198,0.024,0.0275,0.0387,0.2118,0.3439
gross-margin,58.3382,58.3864,61.3287,60.113,61.7778,61.2372,61.2245,61.6335,62.1181,61.8513,62.0372,62.0197,64.9541,65.4948,66.9699,63.2978,62.9222,63.0925,60.8939,60.8263,61.9376,63.0171,62.524,63.0571,65.0229,65.0439,63.4958,63.3374,65.411,62.55,61.2402,58.3288,63.2952,63.2188,63.0706,60.0298,64.1994,64.6643,60.0254,58.4089,60.9911,63.0228,68.0722,61.209,64.3734,58.2499,64.2657,59.2509,64.849,58.6963,61.3231,57.9372,61.5243,58.6446,60.8238,58.4186,61.7049,57.3208
operating-margin,13.3443,19.5729,20.4953,13.3898,16.8835,13.6012,15.418,17.7214,8.584,26.2097,21.545,18.9263,27.1213,29.5675,28.8083,28.1742,29.8689,30.5209,26.3866,25.6318,27.815,31.2483,25.9544,27.1047,33.3256,32.2712,28.866,27.7166,30.0895,31.3872,24.4666,24.3438,25.2946,26.6982,24.3942,23.8639,28.8744,29.2966,32.3998,30.8165,32.7694,33.0679,35.4533,31.3091,33.2618,29.6229,33.0694,26.6628,31.8785,27.5721,28.0571,23.9232,25.9301,24.6781,24.7712,23.7928,22.4539,21.9455
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,13.3733,18.4027,20.3497,12.9529,16.6612,12.7969,14.6472,17.3733,7.87,26.2171,20.6349,18.6221,26.4502,28.8574,29.0479,27.9128,29.676,30.1232,25.1869,26.073,27.2812,31.2044,25.4722,26.6656,33.0114,32.8552,29.1636,27.9213,30.1968,31.3131,25.2676,24.4427,25.4494,27.0513,24.9846,24.3957,28.9335,29.746,32.1949,31.0214,33.2479,33.5487,35.7857,32.2358,34.7133,30.8615,34.1773,28.1541,33.1015,28.7437,29.5508,25.1972,27.495,25.6296,25.261,23.493,21.6947,21.557
net-profit-margin,10.4851,14.118,15.7459,10.2335,13.1917,9.3674,12.0536,11.5218,0.4787,17.2046,13.4141,11.6835,17.2782,17.7354,18.8571,17.9889,18.8823,19.5363,16.456,17.5234,18.7135,20.5449,16.5781,18.688,21.5653,21.6841,18.6854,19.7158,20.5034,20.3772,16.4142,16.5835,17.0678,17.6819,16.1689,14.9751,18.9739,19.1993,21.0119,21.0311,22.2333,21.7879,23.55,21.0665,23.4759,20.1357,22.0285,19.8975,29.614,18.3523,19.4046,16.7051,18.2899,16.7056,15.9065,15.3262,13.7603,13.4932
asset-turnover,0.1502,0.1979,0.206,0.2112,0.2037,0.2218,0.2075,0.199,0.2045,0.2149,0.1872,0.1865,0.1987,0.1984,0.253,0.2568,0.2688,0.2891,0.2706,0.2639,0.2641,0.2814,0.2562,0.277,0.2755,0.2848,0.2883,0.2694,0.2639,0.2985,0.2582,0.2602,0.2536,0.2612,0.2386,0.2298,0.2268,0.2049,0.2744,0.2722,0.2577,0.2285,0.2347,0.2491,0.2341,0.2576,0.2507,0.2441,0.2368,0.2639,0.2349,0.2377,0.2315,0.258,0.2244,0.2262,0.3151,0.2964
inventory-turnover,0.466,0.5117,0.4753,0.5044,0.4379,0.4997,0.4645,0.4595,0.4641,0.4873,0.3975,0.3962,0.409,0.4218,0.4017,0.4823,0.5321,0.5757,0.5454,0.5153,0.4779,0.4862,0.4456,0.5192,0.4799,0.5105,0.5469,0.5032,0.4377,0.5516,0.4615,0.5158,0.4315,0.4684,0.4793,0.4998,0.4515,0.3863,0.6341,0.7585,0.6856,0.523,0.4387,0.7094,0.5601,0.7108,0.6035,0.7263,0.5558,0.7027,0.5718,0.7093,0.5675,0.6479,0.5276,0.6197,0.5785,0.5868
