,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
current-ratio,2.4583,2.1942,1.9893,2.9555,2.6753,2.2898,1.9602,1.7684,1.6042,2.0333,1.8918,1.8904,1.6011,2.0659,2.1323,1.9694,1.7462,1.5797,1.5363,1.3929,1.2191,1.1658,1.3401,2.3243,2.1736,2.1752,2.3169,2.3484,2.4021,4.391,4.5834,4.7082,4.8313,5.2331,5.2329,4.4815,5.9394,6.1441,5.7801,5.3145,6.999,7.8832,6.32,6.7309,4.3088,5.8347,5.2024,3.4479,,,
long-term-debt-capital,0.3367,0.35,0.3639,0.384,0.3971,0.4173,0.4346,0.4432,0.4274,0.1348,0.141,0.1475,0.2042,0.2901,0.2123,0.225,0.2389,0.2529,0.2652,0.2681,0.2152,0.2209,0.1349,0.007,0.0077,,,,,,,,,,,,,,,,,,,,,0.0002,0.0101,-0.0656,,,
debt-equity-ratio,0.5444,0.5698,0.5978,0.6452,0.681,0.7412,0.7946,0.8204,0.7699,0.169,0.1758,0.1832,0.3937,0.4266,0.2881,0.3106,0.3361,0.3626,0.387,0.3885,0.2899,0.2995,0.1716,0.0098,0.0106,,,,,,,,,,,,,,,,0.0003,0.0005,0.0006,,0.0014,0.0029,0.0216,-0.1039,,,
gross-margin,62.3042,62.8248,62.2991,61.7222,62.7289,64.8727,61.4291,59.3233,60.5618,61.8745,58.8912,61.2265,61.947,62.4924,62.9667,60.4267,60.556,59.6559,58.0707,56.1909,54.9208,55.3646,58.2423,62.8153,60.3439,60.7276,60.2906,57.3016,60.6435,60.9326,57.7186,62.0893,53.9433,58.852,59.8459,58.268,56.567,62.945,63.072,60.8733,64.5201,68.6572,66.8589,69.368,67.9275,66.4826,62.6164,63.7349,65.4165,65.8247,65.8553
operating-margin,13.4773,14.0542,12.6756,14.072,17.3737,10.9738,7.1283,-7.9701,-1.4403,7.5487,4.166,6.2846,9.3601,9.721,9.3215,7.393,6.9116,5.7685,1.0798,-1.6081,1.1273,-0.9402,-9.9456,0.6827,-8.8944,-6.9711,-6.2743,-15.9685,-11.5606,-6.0765,-13.2409,-185.0283,-26.8288,-9.6027,-4.6737,-16.006,-27.3012,-6.7692,-17.0826,-46.5718,-17.7145,5.5117,-3.7654,18.6012,4.5928,8.6469,-2.6863,8.0102,7.4769,-5.7983,-19.8265
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,10.5588,11.7233,9.2442,12.4958,14.7181,8.824,5.1791,-10.5981,-3.7014,5.1541,-1.199,5.2542,8.1727,8.5194,8.4519,6.5335,6.0126,4.7889,0.1819,-3.0788,0.4477,-9.3505,-18.7477,0.6464,-9.1987,-7.1611,-6.4378,-16.0987,-11.5422,-5.9344,-13.0671,-184.8902,-26.701,-9.4889,-4.5648,-15.8805,-27.1775,-6.7065,-17.07,-46.5417,-17.6845,5.6162,-3.4351,19.458,5.6273,9.5569,-2.2464,8.7381,8.8066,-6.3379,-28.4141
net-profit-margin,7.4427,7.4238,11.2379,10.0316,15.9989,10.3039,6.3304,-16.9964,-2.8202,2.9693,0.3507,74.9634,7.9069,8.9161,8.4231,6.0889,5.6976,4.8447,-0.1589,-3.789,-0.0673,-9.3505,-11.092,0.0695,-9.274,-7.1611,-6.4378,-14.5165,-11.5422,-4.3643,-13.0671,-185.7863,-26.701,-9.5015,-4.5648,-16.7939,-27.1775,-6.7065,-17.07,-47.743,-16.2628,4.09,-2.0213,20.1173,3.1611,5.5624,-11.5344,-2.7835,-4.5543,-19.8978,-32.7603
asset-turnover,0.1646,0.1683,0.1575,0.1766,0.1742,0.1848,0.179,0.1749,0.1556,0.285,0.2732,0.2712,0.3211,0.3373,0.3773,0.3768,0.3554,0.3735,0.3707,0.351,0.3651,0.3602,0.3461,0.3781,0.3594,0.3569,0.364,0.3328,0.2867,0.3006,0.2969,0.282,0.1814,0.2078,0.2209,0.1831,0.1781,0.1989,0.1963,0.1978,0.1973,0.2232,0.2096,0.2077,0.1899,0.192,0.1645,0.2324,,,
inventory-turnover,6.5663,6.8847,4.3771,5.4154,4.2427,4.6192,5.7371,6.9989,5.2504,5.3778,5.3139,4.0419,5.299,5.6926,6.2873,7.7839,6.1115,5.6391,6.0265,7.4528,7.5948,6.4098,5.2249,4.8199,3.7024,3.4233,4.1286,4.4202,4.6169,5.6591,7.8483,5.0543,7.0698,8.8078,9.3764,8.193,,,,,,,,,,,,,,,
