,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
current-ratio,46.7145,52.1941,60.8249,66.4029,64.646,35.142,12.4201,2.5241,1.1988,1.846,4.3386,2.1578,2.5706,3.1905,6.3403,7.69,3.3084,4.5671,0.013,0.0344,,,,
long-term-debt-capital,0.0015,0.0018,0.002,,,,,,,,0.3298,,,,0.3524,0.1978,,,-0.0541,-0.0606,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,,
roe,-2.0216,-2.6613,-1.6716,-1.7599,-2.185,-4.7534,-4.889,-30.3402,-273.9945,-78.5078,-69.2015,-45.3535,-37.226,-28.8828,-62.169,-58.3492,-35.6921,-45.2183,20.5158,-6.2363,,,,
return-on-tangible-equity,-2.0216,-2.6613,-1.6716,-1.7599,-2.185,-4.7534,-4.889,-30.3402,-273.994,-78.5078,-69.2014,-45.3535,-37.226,-28.8827,-62.169,-58.3492,-35.6921,-45.2183,20.5158,-6.2363,,,,
roa,-1.9754,-2.6058,-1.6409,-1.7333,-2.1513,-4.6183,-4.4966,-18.4666,-51.5142,-36.115,-34.4627,-25.0949,-23.3141,-19.9083,-28.118,-32.9745,-24.9131,-35.3174,-206.2387,45.348,,,,
roi,-2.0185,-2.6566,-1.6682,-1.7599,-2.185,-4.7534,-4.889,-30.3402,-273.994,-78.5078,-46.3802,-45.3535,-37.226,-28.8827,-40.2598,-46.8068,-35.6921,-45.2183,21.6267,-6.6141,,,,
book-value-per-share,3.9234,3.9953,4.0897,4.1503,4.2373,2.3142,1.426,0.3759,0.0781,0.2379,0.3154,0.3862,0.5136,0.6633,0.5958,0.901,1.3565,1.7779,-4.6398,-3.6881,,,,
operating-cash-flow-per-share,-0.1806,-0.1336,-0.0439,-0.3257,-0.2625,-0.2004,-0.117,-0.5681,-0.3936,-0.3102,-0.1467,-0.6801,-0.4532,-0.348,-0.3023,-1.3737,-0.6071,-0.2771,-0.1009,-0.3797,-0.2546,-0.1281,-0.0365,
free-cash-flow-per-share,-0.1806,-0.1336,-0.0439,-0.3257,-0.2625,-0.2004,-0.117,-0.5681,-0.3936,-0.3102,-0.1467,-0.6801,-0.4532,-0.348,-0.3023,-1.3737,-0.6071,-0.2771,-0.1009,-0.3797,-0.2546,-0.1281,-0.0365,
