,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
total-current-assets,573.765,527.009,488.671,315.727,286.92,269.527,470.919,230.879,217.81,210.982,166.089,141.653,110.842,243.651,94.851,97.675,129.876,69.72,145.068,57.749,61.105,66.68,73.206,78.094,10.754,,,,,14.64
net-property-plant-equipment,13.868,12.128,11.456,11.813,9.688,9.401,8.921,7.088,6.085,3.861,3.36,3.105,3.05,2.508,2.51,2.31,2.293,1.804,1.375,0.899,0.744,0.571,0.34,0.307,0.339,,,,,7.78
long-term-investments,73.995,120.966,172.472,236.108,276.228,299.971,120.089,139.198,163.052,190.242,237.865,273.34,197.57,77.666,86.357,96.891,69.632,91.284,22.628,,,,,,,,,,,
goodwill-intangible-assets-total,14.027,13.522,12.737,11.969,11.677,11.531,11.316,11.148,11.043,10.865,10.886,10.362,10.565,10.353,10.14,9.971,9.617,9.691,9.509,9.116,8.957,9.058,8.899,8.814,9.013,0.0,0.0,,0.0,7.25
other-long-term-assets,10.187,10.726,11.265,0.311,0.311,0.265,0.265,0.265,0.265,0.214,0.103,0.103,0.103,0.103,0.103,0.063,0.063,0.064,0.059,0.059,0.06,0.058,0.05,0.1,0.1,,,,,0.09
total-long-term-assets,112.479,157.744,208.332,261.005,298.666,321.93,141.353,159.323,180.445,205.182,252.214,286.91,211.288,90.63,99.11,109.235,81.605,102.843,33.571,10.074,9.761,9.687,9.289,9.221,9.452,,,,,15.12
total-assets,686.244,684.753,697.003,576.732,585.586,591.457,612.272,390.202,398.255,416.164,418.303,428.563,322.13,334.281,193.961,206.91,211.481,172.563,178.639,67.823,70.866,76.367,82.495,87.315,20.206,0.0,0.0,0.0,0.0,22.37
total-current-liabilities,64.312,63.712,73.321,53.853,52.027,71.156,73.431,72.65,100.326,107.431,106.875,106.286,110.666,115.953,34.255,43.429,56.576,8.408,6.877,6.196,9.93,5.946,6.827,7.479,8.627,,,,,26.19
long-term-debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,11.695,12.95,14.117,1.198,1.286,1.122,1.177,1.088,7.39,7.368,7.68,8.323,9.044,9.731,0.893,1.049,1.59,2.087,2.46,2.337,1.227,4.905,5.603,6.303,7.007,,,,,7.11
total-liabilities,76.007,76.662,87.438,55.051,53.313,72.278,74.608,73.738,107.716,114.799,114.555,114.609,119.71,125.684,35.148,44.478,58.166,10.495,9.337,8.533,11.157,10.851,12.43,13.782,15.634,0.0,0.0,,0.0,33.31
common-stock-net,0.567,0.565,0.564,0.563,0.562,0.558,0.556,0.47,0.47,0.468,0.467,0.466,0.411,0.409,0.407,0.405,0.405,0.405,0.404,0.314,0.314,0.314,0.314,0.314,0.001,0.0,0.0,,0.0,0.001
retained-earnings-accumulated-deficit,-269.49,-259.266,-243.232,-323.277,-305.078,-308.229,-282.361,-252.868,-275.443,-259.88,-252.996,-237.96,-228.895,-220.818,-267.983,-261.585,-269.342,-259.305,-250.437,-243.993,-242.644,-236.366,-231.322,-227.571,-223.868,,,,,-158.71
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,610.237,608.091,609.565,521.681,532.273,519.179,537.664,316.464,290.539,301.365,303.748,313.954,202.42,208.597,158.813,162.432,153.315,162.068,169.302,59.29,59.709,65.516,70.065,73.533,4.572,0.0,0.0,,0.0,-10.93
total-liabilities-share-holders-equity,686.244,684.753,697.003,576.732,585.586,591.457,612.272,390.202,398.255,416.164,418.303,428.563,322.13,334.281,193.961,206.91,211.481,172.563,178.639,67.823,70.866,76.367,82.495,87.315,20.206,0.0,0.0,,0.0,22.37
