,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,0.28
total-current-assets,295.935,307.137,303.693,324.977,298.829,317.629,337.72,354.83,229.053,245.919,261.078,281.306,292.702,302.904,65.937,77.626,,,,10.13
net-property-plant-equipment,17.206,16.694,16.669,17.061,16.935,16.58,16.01,15.272,13.56,12.578,11.418,10.628,5.492,4.421,4.228,2.708,,,,0.31
long-term-investments,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,23.626,23.871,24.001,5.277,5.469,5.569,5.815,6.133,6.557,6.478,6.767,7.035,3.275,3.299,5.375,1.805,,,,0.25
total-long-term-assets,50.7,45.304,40.67,22.338,22.404,22.149,21.825,21.405,20.117,19.056,18.185,17.663,8.767,7.72,9.603,4.513,,,,0.56
total-assets,346.635,352.441,344.363,347.315,321.233,339.778,359.545,376.235,249.17,264.975,279.263,298.969,301.469,310.624,75.54,82.139,0.0,0.0,0.0,10.69
total-current-liabilities,37.519,38.463,39.234,40.572,25.915,25.169,25.583,31.359,25.786,26.371,24.91,30.73,22.633,21.617,10.96,10.695,,,,2.35
long-term-debt,14.142,14.604,15.132,,,,,,,,,,,,,,,,,
other-non-current-liabilities,,,,0.013,0.052,0.092,0.131,0.168,0.201,0.234,0.378,0.293,0.306,0.363,0.349,0.323,,,,0.77
total-long-term-liabilities,33.464,37.112,40.791,28.823,32.048,35.273,38.463,44.279,47.537,51.019,54.47,58.402,60.712,65.405,91.722,92.645,,,,0.77
total-liabilities,70.983,75.575,80.025,69.395,57.963,60.442,64.046,75.638,73.323,77.39,79.38,89.132,83.345,87.022,102.682,103.34,0.0,0.0,0.0,3.12
common-stock-net,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,,0.0,0.0,0.0,0.65
retained-earnings-accumulated-deficit,-272.602,-248.968,-223.285,-201.025,-181.959,-159.257,-137.038,-121.113,-97.15,-81.794,-66.201,-53.57,-43.007,-35.525,-28.625,-21.936,,,,-9.53
comprehensive-income,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,275.652,276.866,264.338,277.92,263.27,279.336,295.499,300.597,175.847,187.585,199.883,209.837,218.124,223.602,-27.142,-21.201,0.0,0.0,0.0,7.56
total-liabilities-share-holders-equity,346.635,352.441,344.363,347.315,321.233,339.778,359.545,376.235,249.17,264.975,279.263,298.969,301.469,310.624,75.54,82.139,0.0,0.0,0.0,10.69
