,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
cash-on-hand,240.149,280.449,313.056,337.79,375.185,138.676,105.937,129.78,154.6,65.176,82.676,84.732,95.66,92.365,41.853,42.008,,,,87.75
notes-loans-receivable,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,3.7
total-current-assets,246.531,287.211,317.472,342.273,379.818,172.412,134.747,133.109,157.846,68.889,85.717,87.283,99.92,112.924,63.038,77.259,,,,106.7
net-property-plant-equipment,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,9.733,10.463,11.12,1.49,1.496,1.497,1.237,1.51,1.76,1.76,1.76,0.991,1.004,0.554,0.553,0.553,,,,0.87
total-long-term-assets,12.592,13.277,13.813,2.935,2.291,2.307,2.066,2.228,2.534,2.431,2.463,1.81,1.903,1.496,1.547,1.695,,,,30.97
total-assets,259.123,300.488,331.285,345.208,382.109,174.719,136.813,135.337,160.38,71.32,88.18,89.093,101.823,114.42,64.585,78.954,0.0,0.0,0.0,125.6
total-current-liabilities,74.562,67.709,61.205,55.92,62.867,55.734,51.366,47.617,49.603,51.344,51.192,59.631,60.071,60.001,58.645,60.82,,,,58.09
long-term-debt,74.923,79.897,79.558,79.219,78.881,78.591,16.977,18.385,19.833,19.792,19.753,,,,,,,,,
other-non-current-liabilities,6.198,7.594,8.472,0.524,0.531,1.039,0.046,0.053,0.007,0.029,0.051,0.072,0.094,0.116,0.137,0.249,,,,0.98
total-long-term-liabilities,251.984,266.252,274.69,274.129,281.697,286.859,228.148,234.693,243.199,250.284,257.293,244.51,254.041,266.563,278.949,291.29,,,,341.75
total-liabilities,326.546,333.961,335.895,330.049,344.564,342.593,279.514,282.31,292.802,301.628,308.485,304.141,314.112,326.564,337.594,352.11,0.0,0.0,0.0,399.85
common-stock-net,0.031,0.03,0.03,0.03,0.03,0.026,0.027,0.027,0.026,0.023,0.023,0.023,0.023,0.023,0.016,0.016,0.0,0.0,0.0,0.01
retained-earnings-accumulated-deficit,-523.551,-483.857,-449.477,-420.323,-394.758,-363.913,-335.688,-337.143,-320.463,-308.153,-296.565,-289.354,-285.218,-284.321,-283.385,-283.127,,,,-281.67
comprehensive-income,,,,,,,-0.002,-0.002,-0.015,-0.015,-0.015,-0.015,-0.081,-0.081,-0.081,-0.081,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-0.3
total-share-holder-equity,-67.423,-33.473,-4.61,15.159,37.545,-167.874,-142.701,-146.973,-132.422,-230.308,-220.305,-215.048,-212.289,-212.144,-273.009,-273.156,0.0,0.0,0.0,-274.24
total-liabilities-share-holders-equity,259.123,300.488,331.285,345.208,382.109,174.719,136.813,135.337,160.38,71.32,88.18,89.093,101.823,114.42,64.585,78.954,0.0,0.0,0.0,125.6
