,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
cash-on-hand,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,0.59
total-current-assets,274.079,298.769,190.502,221.685,245.8663,261.5824,120.4049,131.604,,,,11.98
net-property-plant-equipment,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,1.274,1.274,1.274,1.772,1.79,1.79,1.7726,1.772,,,,0.27
total-long-term-assets,42.68,42.387,42.524,37.409,22.5305,8.7324,8.6732,5.926,,,,0.27
total-assets,316.759,341.156,233.026,259.094,268.3968,270.3148,129.0782,137.53,0.0,0.0,0.0,14.21
total-current-liabilities,,,,,,,,,,,,
other-non-current-liabilities,9.888,10.326,10.592,9.47,7.3187,2.8933,1.5524,0.291,,,,
total-long-term-liabilities,40.255,40.923,41.115,40.22,37.0627,32.6408,31.3988,30.36,,,,0.34
total-liabilities,58.937,56.414,58.762,62.739,55.6367,43.5163,40.8409,39.222,0.0,0.0,0.0,6.71
common-stock-net,0.004,0.004,0.003,0.003,0.0037,0.0037,0.0003,,0.0,0.0,0.0,0.0002
retained-earnings-accumulated-deficit,-175.507,-145.88,-119.61,-95.758,-78.3944,-63.5987,-50.7036,-40.181,,,,-10.19
comprehensive-income,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,257.822,284.742,174.264,196.355,212.7602,226.7984,88.2373,98.308,0.0,0.0,0.0,7.5
total-liabilities-share-holders-equity,316.759,341.156,233.026,259.094,268.3968,270.3148,129.0782,137.53,0.0,0.0,0.0,14.21
