,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,2.232,9.099,7.047,9.412,11.86,9.459,12.03,10.341,12.646,13.102,11.444,19.271,15.656,14.854,9.936,12.089,13.185,12.663,12.886,13.705,15.014,14.256,16.776,17.204,18.556,18.252,18.293,,,,13.16,
other-current-assets,28.202,5.113,6.323,11.825,1.286,3.933,0.827,5.206,,,,1.335,,,,3.811,3.203,,0.547,2.098,,,,2.113,,,,,,,,,,,,,,,,2.78,
total-current-assets,292.274,475.782,510.589,532.73,547.272,285.125,281.327,304.703,70.73,78.814,98.818,119.914,135.275,149.519,163.053,184.503,200.624,125.33,55.183,77.978,90.59,116.501,80.985,92.879,37.374,35.488,46.737,61.725,71.361,44.333,61.675,80.424,96.42,31.801,50.372,74.19,,,,60.85,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,108.734,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,9.576,9.96,10.577,3.997,3.38,1.04,1.509,3.931,3.56,1.995,1.076,1.147,3.47,4.502,5.861,3.331,2.664,2.579,2.646,2.832,5.821,5.837,6.685,6.614,4.316,4.496,4.921,5.4,6.273,6.472,6.297,5.626,5.795,4.583,4.645,4.644,,,,0.71,
total-long-term-assets,128.092,128.835,129.943,115.601,112.358,110.053,110.53,112.91,112.515,111.188,110.52,111.591,120.562,121.895,123.554,121.319,120.939,121.367,125.061,124.857,16.436,16.797,18.995,19.625,17.259,17.91,18.833,18.961,19.946,20.563,20.605,20.216,20.463,19.592,19.807,20.078,,,,15.88,
total-assets,420.366,604.617,640.532,648.331,659.63,395.178,391.857,417.613,183.245,190.002,209.338,231.505,255.837,271.414,286.607,305.822,321.563,246.697,180.244,202.835,107.026,133.298,99.98,112.504,54.633,53.398,65.57,80.686,91.307,64.896,82.28,100.64,116.883,51.393,70.179,94.268,0.0,0.0,0.0,74.56,0.0
total-current-liabilities,97.441,66.187,55.973,58.375,55.343,41.405,23.076,20.983,26.089,21.983,18.344,20.31,14.125,14.134,20.722,29.986,35.026,38.997,44.972,44.237,39.343,54.791,70.782,58.78,34.291,33.395,36.183,32.654,45.794,36.821,36.6,43.367,35.766,31.862,32.817,35.564,,,,18.75,
long-term-debt,11.095,11.186,11.355,,,,,,13.89,15.757,17.625,18.824,21.845,21.602,14.4,15.899,17.487,18.998,19.996,21.703,2.375,2.292,19.313,28.802,28.719,28.638,28.557,28.481,28.413,36.12,39.157,42.07,44.87,19.547,18.061,19.934,,,,8.77,
other-non-current-liabilities,35.7,35.7,48.4,49.73,48.082,56.482,77.584,77.684,66.223,55.355,54.822,54.19,55.539,55.296,53.969,52.588,52.416,52.629,53.138,54.053,0.315,0.331,7.466,6.496,5.512,7.452,5.826,5.078,3.811,6.963,6.245,5.891,1.077,0.545,0.42,0.66,,,,,
total-long-term-liabilities,72.333,72.715,87.68,67.155,65.507,73.907,95.009,95.109,97.538,88.537,89.872,90.439,99.795,100.335,92.026,93.076,96.723,99.62,100.979,103.319,10.148,10.189,26.779,35.298,34.231,36.09,34.383,33.559,32.224,43.083,45.402,47.961,50.951,26.673,26.64,29.97,,,,28.79,
total-liabilities,169.774,138.902,143.653,125.53,120.85,115.312,118.085,116.092,123.627,110.52,108.216,110.749,113.92,114.469,112.748,123.062,131.749,138.617,145.951,147.556,49.491,64.98,97.561,94.078,68.522,69.485,70.566,66.213,78.018,79.904,82.002,91.328,86.717,58.535,59.457,65.534,0.0,0.0,0.0,47.55,0.0
common-stock-net,0.044,0.042,0.042,0.042,0.042,0.036,0.035,0.035,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.019,0.153,0.019,0.141,0.141,0.14,0.139,0.108,0.101,0.101,0.101,0.101,0.066,0.065,0.065,0.064,0.034,0.034,0.034,0.0,0.0,0.0,0.001,0.0
retained-earnings-accumulated-deficit,-1059.397,-768.919,-731.156,-695.954,-673.521,-631.257,-602.22,-572.04,-532.332,-489.538,-466.53,-445.223,-421.731,-404.734,-385.905,-375.516,-366.674,-352.058,-424.521,-401.66,-381.139,-368.314,-431.179,-410.247,-374.631,-363.78,-350.446,-329.391,-328.748,-309.466,-292.297,-282.005,-258.301,-236.263,-217.085,-198.102,,,,-124.53,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,250.592,465.715,496.879,522.801,538.78,279.866,273.772,301.521,59.618,79.482,101.122,120.756,141.917,156.945,173.859,182.76,189.814,108.08,34.293,55.279,57.535,68.318,2.419,18.426,-13.889,-16.087,-4.996,14.473,13.289,-15.008,0.278,9.312,30.166,-7.142,10.722,28.734,0.0,0.0,0.0,27.01,0.0
total-liabilities-share-holders-equity,420.366,604.617,640.532,648.331,659.63,395.178,391.857,417.613,183.245,190.002,209.338,231.505,255.837,271.414,286.607,305.822,321.563,246.697,180.244,202.835,107.026,133.298,99.98,112.504,54.633,53.398,65.57,80.686,91.307,64.896,82.28,100.64,116.883,51.393,70.179,94.268,0.0,0.0,0.0,74.56,0.0
