,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
cash-on-hand,,,,,,,,,,,
other-current-assets,,0.122,0.122,0.622,0.122,0.122,,,,,
total-current-assets,329.762,366.648,385.834,414.41,412.488,182.817,,,,,6.887
net-property-plant-equipment,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,50.032,29.486,31.059,1.903,1.102,1.102,,,,,
total-long-term-assets,102.51,71.384,55.636,64.699,40.31,24.716,,,,,1.005
total-assets,432.272,438.032,441.47,479.109,452.798,207.533,0.0,0.0,0.0,0.0,7.989
total-current-liabilities,33.543,21.225,20.7,20.004,16.009,14.908,,,,,2.852
long-term-debt,90.948,72.559,48.484,65.788,25.451,19.568,,,,,2.991
other-non-current-liabilities,0.438,0.604,0.65,0.309,0.187,0.223,,,,,
total-long-term-liabilities,91.386,73.163,49.134,66.097,25.782,22.558,,,,,3.058
total-liabilities,124.929,94.388,69.834,86.101,41.791,37.466,0.0,,0.0,0.0,6.046
common-stock-net,0.08,0.08,0.08,0.079,0.079,0.015,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-268.268,-221.253,-181.863,-150.082,-122.899,-105.333,,,,,-17.132
comprehensive-income,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,307.343,343.644,371.636,393.008,411.007,170.067,0.0,,0.0,0.0,1.943
total-liabilities-share-holders-equity,432.272,438.032,441.47,479.109,452.798,207.533,0.0,,0.0,0.0,0.0
