,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,
inventory,44.4,44.0,43.8,43.4,44.36,45.7,48.101,44.951,44.523,29.68,29.343,28.777,26.867,25.931,26.552,25.591,24.747,,,,,4.56,
other-current-assets,,,,,,,,38.502,4.571,7.971,10.874,,9.288,8.901,13.984,13.984,14.054,,,,,9.42,
total-current-assets,517.9,529.0,535.3,588.3,463.318,472.799,490.579,563.225,573.659,352.311,350.077,361.955,328.728,316.95,394.886,310.957,288.003,,,,,82.51,
net-property-plant-equipment,408.2,400.1,400.1,426.3,420.013,411.88,400.385,398.536,388.697,205.744,204.669,204.253,199.602,196.772,191.653,184.55,173.813,,,,,37.99,
long-term-investments,93.0,93.4,78.5,78.5,80.785,78.133,75.194,74.282,64.427,34.488,35.114,34.98,34.274,34.715,34.475,34.103,33.877,,,,,,
goodwill-intangible-assets-total,3458.2,3455.9,3447.3,3437.1,3428.213,3437.717,3445.213,3405.746,3326.816,1612.829,1602.257,1603.227,1580.043,1562.338,1469.157,1461.495,1383.187,0.0,0.0,,0.0,366.49,0.0
other-long-term-assets,344.1,313.0,318.8,36.9,39.675,51.481,52.694,48.665,39.048,385.949,16.289,16.75,15.845,13.829,20.356,19.233,7.826,,,,,0.52,
total-long-term-assets,4399.6,4361.9,4345.6,4088.0,4095.346,4110.931,4104.305,4059.548,4028.195,2319.176,1939.656,1943.003,1919.997,1896.573,1807.454,1793.486,1603.519,,,,,409.36,
total-assets,4917.5,4890.9,4880.9,4676.3,4558.664,4583.73,4594.884,4622.773,4601.854,2671.487,2289.733,2304.958,2248.725,2213.523,2202.34,2104.443,1891.522,0.0,0.0,0.0,0.0,474.7,0.0
total-current-liabilities,381.5,368.8,359.6,349.3,295.586,296.766,285.752,303.005,275.012,186.002,196.456,186.725,178.654,182.437,183.781,181.289,176.177,,,,,42.45,
long-term-debt,2403.0,2397.4,2384.6,2270.9,2118.567,2122.629,2122.447,2130.556,2144.862,1795.265,1396.042,1414.421,1357.824,1325.778,1328.739,1228.112,1370.991,,,,,418.55,
other-non-current-liabilities,426.3,387.1,370.0,271.3,247.311,246.269,233.524,222.48,204.547,198.452,198.24,76.266,212.472,209.03,214.558,213.676,83.778,,,,,12.04,
total-long-term-liabilities,3143.8,3100.5,3069.2,2868.8,2683.419,2689.846,2669.614,2652.352,2620.825,2169.969,1773.671,1793.559,1752.594,1717.475,1726.325,1625.227,1698.099,,,,,446.6,
total-liabilities,3525.3,3469.3,3428.8,3218.1,2979.005,2986.612,2955.366,2955.357,2895.837,2355.971,1970.127,1980.284,1931.248,1899.912,1910.106,1806.516,1874.276,0.0,0.0,,0.0,489.07,0.0
common-stock-net,0.5,0.5,0.5,0.5,0.489,0.489,0.489,0.487,0.488,0.488,0.488,0.485,0.485,0.485,0.485,0.482,0.339,0.0,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-284.6,-268.9,-249.1,-247.0,-99.28,-78.299,-58.837,-41.316,-9.14,-318.576,-314.105,-311.351,-328.213,-325.875,-327.994,-320.804,-337.543,,,,,-163.33,
comprehensive-income,-57.5,-50.7,-33.9,-22.4,-1.389,,,,,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,89.24,0.0
total-share-holder-equity,1392.2,1421.6,1452.1,1458.2,1579.659,1597.118,1639.518,1667.416,1706.017,315.516,319.606,324.674,317.477,313.611,292.234,297.927,17.246,0.0,0.0,,0.0,-14.37,0.0
total-liabilities-share-holders-equity,4917.5,4890.9,4880.9,4676.3,4558.664,4583.73,4594.884,4622.773,4601.854,2671.487,2289.733,2304.958,2248.725,2213.523,2202.34,2104.443,1891.522,0.0,0.0,,0.0,474.7,0.0
