,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
cash-on-hand,,,,,,,,,
inventory,598.0,556.0,594.0,564.0,,,,534.664,
other-current-assets,77.0,61.0,59.0,49.0,,,,97.74,
total-current-assets,1244.0,1172.0,1219.0,1086.0,,,,1076.926,
net-property-plant-equipment,,,,,,,,,
goodwill-intangible-assets-total,1835.0,2819.0,2833.0,958.0,,0.0,0.0,1012.695,0.0
other-long-term-assets,75.0,60.0,62.0,,,,,62.845,
total-long-term-assets,2084.0,3018.0,3050.0,1147.0,,,,1203.7,
total-assets,3328.0,4190.0,4269.0,2233.0,0.0,0.0,0.0,2217.02,0.0
total-current-liabilities,751.0,674.0,670.0,573.0,,,,511.586,
long-term-debt,1141.0,1154.0,1167.0,24.0,,,,23.529,
other-non-current-liabilities,86.0,74.0,70.0,35.0,,,,39.204,
total-long-term-liabilities,1248.0,1269.0,1305.0,167.0,,,,448.195,
total-liabilities,1999.0,1943.0,1975.0,740.0,,0.0,0.0,959.781,0.0
common-stock-net,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-939.0,-33.0,-21.0,,,,,,
comprehensive-income,-102.0,-78.0,-82.0,-83.0,,,,,
other-share-holders-equity,,,,1576.0,,0.0,0.0,1257.239,0.0
total-share-holder-equity,1329.0,2247.0,2294.0,1493.0,,0.0,0.0,1257.239,0.0
total-liabilities-share-holders-equity,3328.0,4190.0,4269.0,2233.0,,0.0,0.0,2217.02,0.0
