,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,
total-current-assets,220.568,249.905,277.116,207.922,215.884,242.882,273.418,285.211,156.267,174.353,197.453,192.695,208.679,218.557,238.49,253.963,143.497,137.256,155.689,172.731,190.91,206.558,91.172,4.814,,,,5.4,30.11
net-property-plant-equipment,14.917,15.263,15.378,14.449,13.493,12.196,10.064,9.25,11.5,11.255,11.205,10.585,17.385,17.658,19.714,19.708,19.254,19.134,19.39,19.274,17.394,16.324,15.15,14.315,,,,13.33,13.04
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,30.327,30.724,31.981,3.977,3.674,4.045,1.298,1.238,1.416,1.468,0.796,1.08,0.793,0.794,0.796,0.4,0.406,0.774,0.643,0.464,0.618,0.435,0.59,3.516,,,,1.03,
total-long-term-assets,45.244,45.987,47.359,18.426,17.167,16.241,11.362,10.488,12.916,12.723,12.001,11.665,18.178,18.452,20.51,21.859,22.017,33.96,20.033,19.738,18.012,16.759,15.74,17.831,,,,14.36,13.04
total-assets,265.812,295.892,324.475,226.348,233.051,259.123,284.78,295.699,169.183,187.076,209.454,204.36,226.857,237.009,259.0,275.822,165.514,171.216,175.722,192.469,208.922,223.317,106.912,22.645,0.0,0.0,0.0,13.42,39.92
total-current-liabilities,34.154,44.696,34.07,31.97,31.808,28.324,22.996,20.902,21.476,21.976,24.042,19.647,17.516,11.918,12.488,12.037,11.739,10.157,6.427,10.236,14.747,18.765,22.609,47.561,,,,117.93,8.85
long-term-debt,26.778,27.661,28.517,,,,,,,,0.983,1.872,2.836,3.659,4.486,5.346,6.176,6.973,0.513,0.598,0.938,0.703,0.4,2.632,,,,10.995,18.43
other-non-current-liabilities,2.892,2.824,2.845,2.753,2.763,2.717,2.647,2.613,2.233,2.189,2.182,2.122,2.109,1.942,1.428,1.414,1.481,1.494,1.583,1.541,1.647,1.714,1.637,1.61,,,,2.38,
total-long-term-liabilities,80.377,62.654,69.302,48.756,19.145,20.944,25.143,5.952,5.651,5.686,6.741,7.642,8.626,9.315,9.66,10.533,11.419,12.218,5.837,5.864,6.261,6.044,5.616,8.651,,,,16.765,18.9
total-liabilities,114.531,107.35,103.372,80.726,50.953,49.268,48.139,26.854,27.127,27.662,30.783,27.289,26.142,21.233,22.148,22.57,23.158,22.375,12.264,16.1,21.008,24.809,28.225,56.212,0.0,0.0,0.0,134.71,99.97
common-stock-net,0.044,0.044,0.044,0.037,0.037,0.037,0.037,0.037,0.031,0.03,0.03,0.029,0.029,0.028,0.028,0.028,0.024,0.024,0.024,0.024,0.024,0.023,0.019,,0.0,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-798.878,-757.469,-720.079,-684.775,-644.158,-611.284,-577.204,-542.167,-506.261,-475.61,-448.736,-421.543,-394.741,-376.762,-352.161,-332.273,-310.179,-291.004,-274.199,-258.797,-244.585,-230.608,-217.306,-195.88,,,,-218.32,-160.06
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,151.281,188.542,221.103,145.622,182.098,209.855,236.641,268.845,142.056,159.414,178.671,177.071,200.715,215.776,236.852,253.252,142.356,148.841,163.458,176.369,187.914,198.508,78.687,-33.567,0.0,0.0,0.0,-121.29,-60.04
total-liabilities-share-holders-equity,265.812,295.892,324.475,226.348,233.051,259.123,284.78,295.699,169.183,187.076,209.454,204.36,226.857,237.009,259.0,275.822,165.514,171.216,175.722,192.469,208.922,223.317,106.912,22.645,0.0,0.0,0.0,13.42,0.0
