,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-10-31,2012-09-30,2012-07-31,2012-06-30,2012-04-30,2012-03-31,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
cash-on-hand,121.916,137.818,150.859,166.478,180.604,197.404,193.601,109.161,121.32,135.218,63.946,77.763,90.153,102.438,116.663,132.424,39.031,48.261,58.452,66.678,71.932,79.012,38.562,41.989,44.4128,27.1728,29.2567,12.0688,13.1958,,14.2633,,0.213,,0.513,0.585,0.7759,0.3723,0.4253,0.2225,0.2833,0.1661,0.1089,0.4705,0.8621,0.9789,0.9869,1.0814,1.2331,1.2768,0.8786,1.0271,1.3937,1.8012,2.1018,2.5367,3.0043,3.5168,4.1838,4.9221,5.5643,5.8984,6.4241
notes-loans-receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2667,0.1333,0.1333
inventory,7.881,8.298,8.599,7.746,9.406,11.317,10.127,8.063,7.341,5.72,4.357,,,,,,,,,,,,,,,,,,,,0.0103,,0.0303,,0.0303,0.0303,0.0303,0.0305,0.0329,0.0329,0.0326,0.0343,0.036,0.0435,0.0534,0.0694,0.0789,0.0973,0.0973,0.0989,0.1001,0.1082,0.1079,0.0291,0.0293,0.0227,0.0259,0.025,0.0256,0.0272,0.0272,0.0241,0.0328
other-current-assets,0.793,0.805,0.712,0.576,0.494,0.643,0.804,0.468,0.46,0.496,0.468,0.183,0.102,1.232,1.224,0.012,,,0.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,134.395,150.174,164.0,177.64,192.884,212.608,207.135,120.488,131.28,143.273,70.349,78.448,91.681,105.403,120.276,134.151,40.92,49.433,59.664,67.098,72.698,79.668,39.571,42.143,44.634,28.1133,30.1423,12.849,13.9685,,15.0424,,0.8681,,1.1803,1.3867,1.4228,0.8633,0.9126,0.9388,0.7511,0.258,0.2105,0.5299,0.9432,1.0862,1.1403,1.1939,1.376,1.4104,1.0092,1.1486,1.5316,1.8828,2.2792,2.5815,3.0842,3.7797,4.444,5.1987,6.1306,6.1943,6.7307
net-property-plant-equipment,8.566,7.624,7.242,7.303,7.412,5.443,5.851,4.89,4.69,4.844,3.912,4.258,4.802,4.96,5.218,5.016,3.676,3.752,3.508,2.536,2.27,1.933,1.624,1.047,1.039,0.93,0.7769,0.1478,0.0733,,0.004,,0.002,,0.0025,0.003,0.0035,0.0041,0.0047,0.0053,0.0045,0.0071,0.0097,0.012,0.0147,0.0203,0.026,0.0317,0.0374,0.0494,0.0615,0.0917,0.1068,0.1252,0.1437,0.162,0.1803,0.2005,0.2206,0.2354,0.2308,0.2465,0.2014
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.497,,1.4865,,1.4143,,1.3945,1.3771,1.3045,1.3248,1.3175,1.2238,1.2085,1.2236,1.1994,1.1902,1.1038,1.0722,1.0554,1.0935,1.0673,1.093,1.1004,1.1399,1.0276,1.0303,1.0095,0.9935,0.8714,0.8824,0.8637,0.8399,0.7676,0.7447,0.7528
goodwill-intangible-assets-total,,,0.108,,0.119,0.124,0.129,0.134,0.137,0.14,0.143,0.146,0.149,0.152,0.154,0.157,0.159,0.162,0.165,0.167,0.185,0.203,0.222,0.241,0.2599,0.2883,0.3099,0.3193,0.3254,,0.6809,,2.6514,,2.6907,2.7382,2.788,2.8234,2.8606,2.9202,2.9676,3.017,3.0697,3.1201,3.1697,3.2037,3.2461,3.2875,3.3467,3.371,3.3998,3.4465,3.4721,3.5321,3.5922,3.6522,3.7123,3.7015,3.7606,3.8198,3.879,3.9292,3.9745
other-long-term-assets,4.317,0.846,0.835,0.322,0.241,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-assets,12.883,8.47,8.185,7.625,7.772,5.645,5.98,5.024,4.827,4.984,4.055,4.404,4.951,5.112,5.372,5.173,3.835,3.914,3.673,2.703,2.455,2.136,1.846,1.288,1.2989,1.2183,1.0867,0.4671,1.8957,,2.1714,,4.811,,4.8331,4.8649,4.8415,5.4957,5.5242,5.4789,5.5179,4.2477,4.2789,4.3224,4.2882,4.2962,4.3275,4.4128,4.4514,4.5134,4.5616,4.6781,4.6065,4.6877,4.7455,4.8077,4.764,4.7843,4.8449,4.8951,4.8775,5.1871,5.1953
total-assets,147.278,158.644,172.185,185.265,200.656,218.253,213.115,125.512,136.107,148.257,74.404,82.852,96.632,110.515,125.648,139.324,44.755,53.347,63.337,69.801,75.153,81.804,41.417,43.431,45.933,29.3316,31.2291,13.3161,15.8642,0.0,17.2137,0.0,5.6791,0.0,6.0134,6.2516,6.2643,6.359,6.4368,6.4177,6.269,4.5057,4.4894,4.8522,5.2314,5.3825,5.4679,5.6067,5.8275,5.9237,5.5707,5.8268,6.1381,6.5704,7.0247,7.3892,7.8482,8.564,9.2889,10.0938,11.0081,11.3814,11.9261
total-current-liabilities,6.128,7.512,6.467,7.763,5.47,7.842,7.453,6.787,6.183,6.223,5.249,4.036,4.449,4.474,4.987,5.306,3.568,2.997,3.501,2.783,2.063,2.25,1.707,1.137,0.4119,1.8072,1.136,1.2481,1.4387,,1.3917,,0.1873,,0.231,0.198,0.0693,0.1326,0.119,0.1144,0.0757,0.1322,0.1339,0.1516,0.1581,0.2713,0.2141,0.21,0.2722,0.2224,0.3395,0.2568,0.1553,0.1882,0.2124,0.1695,0.1625,0.2721,0.2829,0.321,0.4971,0.2343,0.2234
long-term-debt,130.902,125.092,122.704,120.074,117.754,115.499,99.162,,,,,,,,,,,,,0.013,0.05,0.087,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
