,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,346.0,339.0,329.0,322.0,299.0,277.0,274.0,259.0,284.0,275.0,271.0,235.0,99.641,94.709,89.923,83.0,87.365,85.676,88.666,92.088,94.394,94.033,92.42,89.541,80.773,78.087,72.809,74.082,,,,129.69,
total-current-assets,3995.0,3978.0,3999.0,3874.0,3696.0,3587.0,3724.0,3554.0,3492.0,3259.0,3117.0,3337.0,2643.132,2436.598,2437.156,2412.0,2520.179,2219.842,2098.823,2146.083,1938.603,1864.707,1947.82,1945.688,1717.186,1673.86,1439.497,1509.994,,,,1365.47,
net-property-plant-equipment,451.0,458.0,437.0,434.0,417.0,415.0,432.0,440.0,428.0,430.0,410.0,406.0,184.189,189.63,189.011,188.0,194.744,176.773,179.49,190.297,190.863,196.382,195.852,199.578,197.393,196.749,190.166,193.999,,,,408.37,
long-term-investments,143.0,152.0,137.0,142.0,134.0,110.0,101.0,78.0,75.0,70.0,72.0,82.0,68.386,65.192,85.544,85.0,77.187,71.703,69.161,66.011,68.46,67.423,66.7,63.276,61.431,58.122,57.582,55.099,,,,33.88,
goodwill-intangible-assets-total,17465.0,17638.0,17668.0,17751.0,17897.0,18141.0,18621.0,18441.0,18165.0,17751.0,17313.0,17117.0,1038.257,1069.395,1081.911,1088.0,1098.433,726.827,733.526,744.677,756.886,692.832,698.613,707.68,722.65,566.993,571.572,575.2419,0.0,0.0,0.0,547.45,0.0
other-long-term-assets,730.0,740.0,765.0,239.0,258.0,265.0,244.0,235.0,192.0,178.0,179.0,177.0,99.02,97.125,94.467,110.0,108.677,111.945,120.016,112.913,120.625,123.606,119.477,117.711,110.927,111.302,135.489,127.506,,,,112.14,
total-long-term-assets,18897.0,19090.0,19110.0,18675.0,18802.0,19039.0,19511.0,19303.0,18953.0,18523.0,18066.0,17871.0,1485.67,1526.2,1545.783,1514.0,1513.557,1121.942,1137.828,1149.87,1168.112,1113.93,1114.072,1121.109,1124.835,974.307,987.208,989.1589,,,,1180.01,
total-assets,22892.0,23068.0,23109.0,22549.0,22498.0,22626.0,23235.0,22857.0,22445.0,21782.0,21183.0,21208.0,4128.802,3962.798,3982.939,3926.0,4033.736,3341.784,3236.651,3295.953,3106.715,2978.637,3061.892,3066.797,2842.021,2648.167,2426.705,2499.153,0.0,0.0,0.0,2322.91,0.0
total-current-liabilities,3576.0,3495.0,3502.0,3534.0,3380.0,3166.0,3199.0,3156.0,2853.0,2660.0,2596.0,2705.0,1619.948,1600.288,1578.138,1594.0,1523.975,1353.808,1320.697,1471.9,1426.78,1353.06,1376.476,1482.247,1334.383,1238.727,1221.988,1308.997,,,,1192.13,
long-term-debt,11837.0,11697.0,11588.0,10907.0,10518.0,10627.0,10342.0,10122.0,9651.0,8858.0,8254.0,7108.0,2387.114,2397.834,2408.555,2419.0,2430.034,2440.972,2288.229,2282.612,2022.595,2026.909,2031.247,2035.586,2042.029,2045.142,2354.763,2366.268,,,,1951.7,
other-non-current-liabilities,431.0,424.0,412.0,418.0,406.0,406.0,413.0,440.0,420.0,421.0,393.0,402.0,190.565,180.69,187.338,183.0,170.097,190.757,181.085,183.656,167.994,186.379,178.129,178.908,160.975,153.824,156.249,171.316,,,,138.8,
total-long-term-liabilities,12922.0,12792.0,12742.0,12061.0,11658.0,11846.0,11583.0,11457.0,12085.0,11348.0,10787.0,9643.0,2590.781,2591.211,2610.742,2668.0,2689.687,2689.654,2528.261,2528.065,2216.167,2247.187,2244.941,2252.035,2219.61,2207.328,2527.012,2549.2,,,,2100.36,
total-liabilities,16498.0,16287.0,16244.0,15595.0,15038.0,15012.0,14782.0,14613.0,14938.0,14008.0,13383.0,12348.0,4210.729,4191.499,4188.88,4262.0,4213.662,4043.462,3848.958,3999.965,3642.947,3600.247,3621.417,3734.282,3553.993,3446.055,3749.0,3858.197,0.0,0.0,0.0,3292.51,0.0
common-stock-net,10990.0,10964.0,10927.0,10901.0,10876.0,10836.0,10797.0,10782.0,10761.0,10721.0,10656.0,10602.0,48.762,1.193,25.915,9.0,239.588,28.52,178.966,143.828,368.01,346.085,495.917,478.144,510.102,505.074,9.227,4.554,0.0,0.0,0.0,1.16,0.0
retained-earnings-accumulated-deficit,982.0,925.0,865.0,807.0,726.0,665.0,605.0,538.0,-166.0,-255.0,-325.0,-399.0,-221.218,-320.385,-354.967,-462.0,-550.148,-661.434,-702.4,-788.798,-877.224,-969.878,-1054.998,-1145.181,-1218.177,-1284.946,-1323.463,-1371.772,,,,-994.41,
comprehensive-income,-377.0,-215.0,-262.0,-224.0,-220.0,-104.0,254.0,49.0,-79.0,-233.0,-444.0,-570.0,-140.976,-139.094,-105.758,-111.0,-95.461,-68.842,-88.953,-59.091,-27.045,2.244,-0.393,-0.376,-3.892,-18.186,-8.387,7.695,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,23.65,0.0
total-share-holder-equity,6394.0,6781.0,6865.0,6954.0,7460.0,7614.0,8453.0,8244.0,7507.0,7774.0,7800.0,8860.0,-81.927,-228.701,-205.941,-336.0,-179.926,-701.678,-612.307,-704.012,-536.232,-621.61,-559.525,-667.485,-711.972,-797.888,-1322.295,-1359.044,0.0,0.0,0.0,-969.59,0.0
total-liabilities-share-holders-equity,22892.0,23068.0,23109.0,22549.0,22498.0,22626.0,23235.0,22857.0,22445.0,21782.0,21183.0,21208.0,4128.802,3962.798,3982.939,3926.0,4033.736,3341.784,3236.651,3295.953,3106.715,2978.637,3061.892,3066.797,2842.021,2648.167,2426.705,2499.153,0.0,0.0,0.0,2322.91,0.0
