,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
cash-on-hand,,,,,,,,,,,,
inventory,26.387,26.54,23.752,24.845,15.365,13.223,12.652,13.173,,,,4.8
other-current-assets,,,,,,4.27,3.87,,,,,0.59
total-current-assets,97.936,84.177,91.716,99.435,104.787,45.342,41.576,39.382,,,,12.52
net-property-plant-equipment,,,,,,,,,,,,
goodwill-intangible-assets-total,3.358,3.546,3.713,3.91,3.435,3.59,3.74,3.866,0.0,0.0,0.0,2.35
other-long-term-assets,0.312,0.37,0.325,0.315,0.358,1.15,0.34,0.347,,,,1.46
total-long-term-assets,20.32,20.624,17.24,17.138,16.685,22.2,21.106,17.713,,,,18.6
total-assets,118.256,104.801,108.956,116.573,121.472,63.323,59.016,57.095,0.0,0.0,0.0,29.56
total-current-liabilities,20.346,21.386,16.558,16.447,14.851,18.772,20.898,57.435,,,,54.57
long-term-debt,47.77,24.053,23.19,22.322,21.486,20.682,19.908,,,,,
other-non-current-liabilities,6.336,5.575,8.178,8.319,8.148,21.5,26.97,4.673,,,,1.43
total-long-term-liabilities,54.106,29.628,31.368,30.641,29.634,42.182,46.878,4.673,,,,1.43
total-liabilities,74.452,51.014,47.926,47.088,44.485,60.952,67.776,62.108,0.0,0.0,0.0,56.0
common-stock-net,147.208,146.433,146.285,145.709,144.612,57.65,43.03,41.267,0.0,0.0,0.0,7.12
retained-earnings-accumulated-deficit,-121.569,-108.794,-99.754,-88.975,-78.461,-79.767,-74.407,-67.877,,,,-32.98
comprehensive-income,1.021,0.362,0.516,0.449,0.799,,,0.076,,,,
other-share-holders-equity,,,,,,0.6,0.07,,0.0,0.0,0.0,0.0
total-share-holder-equity,43.804,53.787,61.03,69.485,76.987,2.371,-8.76,-5.013,0.0,0.0,0.0,-26.44
total-liabilities-share-holders-equity,118.256,104.801,108.956,116.573,121.472,63.32,59.02,57.095,0.0,0.0,0.0,29.56
