,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,327.597,340.775,365.167,162.481,182.466,200.245,220.631,171.79,128.191,144.726,161.08,178.786,193.021,205.477,205.698,195.894,108.613,,,8.358,,,,0.13
net-property-plant-equipment,15.292,14.493,13.146,12.771,12.527,12.244,11.458,10.283,10.558,10.674,10.134,7.893,4.253,3.603,3.558,3.234,3.277,,,2.804,,,,
long-term-investments,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0
other-long-term-assets,31.307,32.044,31.756,1.149,1.271,1.314,1.617,1.304,1.206,1.534,1.876,1.527,2.294,0.735,0.735,0.321,1.623,,,0.335,,,,0.01
total-long-term-assets,48.623,47.817,46.182,14.548,14.598,14.418,14.395,12.687,12.724,13.688,14.01,10.78,8.963,4.338,14.282,33.563,57.822,,,3.139,,,,0.01
total-assets,376.22,388.592,411.349,177.029,197.064,214.663,235.026,184.477,140.915,158.414,175.09,189.566,201.984,209.815,219.98,229.457,166.435,0.0,0.0,11.497,0.0,0.0,0.0,0.14
total-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,32.799,33.606,34.396,6.711,1.003,1.006,1.008,1.012,1.015,1.019,1.023,0.025,0.029,0.034,0.04,0.044,0.052,,,0.255,,,,
total-long-term-liabilities,187.892,201.042,251.879,98.91,101.449,103.596,105.793,34.529,34.768,41.287,41.329,39.842,33.473,34.351,33.306,36.452,41.35,,,7.874,,,,
total-liabilities,268.064,270.188,310.655,130.583,131.476,132.691,136.733,50.426,55.709,53.123,52.393,53.644,52.86,54.111,56.383,60.383,64.716,0.0,0.0,10.348,0.0,,,3.98
common-stock-net,0.037,0.037,0.037,0.032,0.032,0.032,0.032,0.032,0.026,0.026,0.026,0.026,0.025,0.025,0.025,0.025,0.001,0.0,0.0,0.001,0.0,,,0.0
retained-earnings-accumulated-deficit,-300.074,-285.068,-296.221,-269.051,-246.52,-226.231,-200.689,-160.713,-148.884,-125.538,-106.663,-90.015,-75.342,-66.345,-57.01,-49.822,-47.178,,,-20.831,,,,-3.83
comprehensive-income,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0
total-share-holder-equity,108.156,118.404,100.694,46.446,65.588,81.972,98.293,134.051,85.206,105.291,122.697,135.922,149.124,155.704,163.597,169.074,101.719,0.0,0.0,1.149,0.0,,,-3.83
total-liabilities-share-holders-equity,376.22,388.592,411.349,177.029,197.064,214.663,235.026,184.477,140.915,158.414,175.09,189.566,201.984,209.815,219.98,229.457,166.435,0.0,0.0,11.497,0.0,,,0.14
