,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
cash-on-hand,156.947,131.388,125.604,129.027,113.581,86.505,71.878,14.179,12.538,27.794,44.01,55.538,36.078,56.318,70.426,73.106,83.751,99.746,118.383,69.282,81.8769,96.3052,112.8237,131.53,17.7778,32.3616,,,,,8.707
notes-loans-receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2249
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,246.598,213.156,186.028,187.885,162.671,128.343,114.343,64.156,55.992,65.133,79.934,92.092,70.986,90.881,102.567,106.984,110.923,124.059,139.15,90.751,101.0496,114.4226,128.3592,148.989,33.8348,46.6788,,,,,9.7817
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,0.885,0.967,1.048,1.13,1.212,1.294,1.375,1.457,1.539,1.62,1.704,1.784,1.865,1.947,2.029,2.11,2.192,2.274,2.355,2.441,2.4592,2.5386,2.6179,2.697,2.7772,2.8559,0.0,,0.0,0.0,
other-long-term-assets,17.092,18.208,10.44,0.128,0.141,10.145,10.121,10.102,10.16,10.126,10.149,0.107,0.113,0.12,0.107,0.105,0.515,0.676,0.692,0.691,0.7109,0.5798,0.5981,0.643,2.3656,0.6545,,,,,
total-long-term-assets,46.049,41.925,28.67,18.409,18.935,29.651,30.356,31.19,31.985,33.41,32.78,20.3,19.348,18.309,18.075,17.741,17.595,17.275,15.975,15.713,15.5151,15.5945,14.0297,13.226,14.7379,12.5478,,,,,4.196
total-assets,292.647,255.081,214.698,206.294,181.606,157.994,144.699,95.346,87.977,98.543,112.714,112.392,90.334,109.19,120.642,124.725,128.518,141.334,155.125,106.464,116.5647,130.0171,142.3889,162.215,48.5727,59.2266,0.0,0.0,0.0,0.0,13.9777
total-current-liabilities,100.266,84.214,76.68,66.288,58.55,42.507,43.711,36.085,29.411,30.839,29.215,31.476,34.82,27.065,24.824,26.52,22.32,18.485,18.77,18.094,15.656,13.2107,13.1355,14.599,20.0186,17.4674,,,,,16.6577
long-term-debt,15.258,16.608,10.685,,,77.1,76.405,76.541,75.596,74.677,73.763,78.96,44.681,44.398,44.106,29.275,29.499,29.479,29.459,29.44,29.4156,29.3924,29.4449,29.397,29.3483,29.2916,,,,,
other-non-current-liabilities,10.129,8.914,6.371,4.932,3.599,8.132,8.247,7.181,6.786,6.955,7.628,5.274,3.445,3.447,3.299,2.719,2.55,2.534,2.102,1.658,1.1561,0.8619,0.7287,0.795,0.2526,1.4079,,,,,
total-long-term-liabilities,25.387,25.522,17.056,8.731,7.627,89.482,89.14,88.409,86.524,85.983,85.367,86.843,50.317,50.052,49.874,34.737,34.964,35.097,34.107,33.798,33.4255,33.2589,31.9928,32.079,31.3643,32.6078,,,,,0.6847
total-liabilities,125.653,109.736,93.736,75.019,66.177,131.989,132.851,124.494,115.935,116.822,114.582,118.319,85.137,77.117,74.698,61.257,57.284,53.582,52.877,51.892,49.0814,46.4696,45.1284,46.678,51.3829,50.0752,0.0,,0.0,0.0,17.3423
common-stock-net,0.059,0.058,0.058,0.057,0.057,0.053,0.047,0.01,0.055,0.05,0.05,0.003,0.031,0.031,0.03,0.03,0.03,0.03,0.03,0.024,0.0235,0.0235,0.023,0.023,0.0002,0.0004,0.0,,0.0,0.0,0.0002
retained-earnings-accumulated-deficit,-627.48,-624.579,-623.067,-600.075,-603.763,-569.517,-510.157,-477.613,-466.207,-450.173,-428.372,-404.58,-389.757,-359.942,-341.617,-321.133,-309.043,-289.457,-269.923,-248.715,-230.2489,-210.3495,-191.1529,-169.191,-145.5775,-132.5166,,,,,-72.7296
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,
total-share-holder-equity,166.994,145.345,120.962,131.275,115.429,26.005,11.848,-29.148,-27.958,-18.279,-1.868,-5.927,5.197,32.073,45.944,63.468,71.234,87.752,102.248,54.572,67.4833,83.5475,97.2606,115.537,-2.8102,9.1514,0.0,,0.0,0.0,-3.3647
total-liabilities-share-holders-equity,292.647,255.081,214.698,206.294,181.606,157.994,144.699,95.346,87.977,98.543,112.714,112.392,90.334,109.19,120.642,124.725,128.518,141.334,155.125,106.464,116.5647,130.0171,142.3889,162.215,48.5727,59.2266,0.0,,0.0,0.0,13.9777
