,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-03-31,2005-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,341.227,344.075,310.428,289.186,271.913,284.157,290.492,318.673,296.871,309.003,310.323,316.723,318.838,361.68,380.646,358.34,350.652,354.329,347.966,346.739,335.787,364.47,359.681,350.361,334.244,335.935,353.57,272.003,285.528,316.258,332.278,328.152,331.223,285.722,236.517,230.964,226.818,238.723,228.523,224.31,185.867,192.502,187.591,206.003,206.886,222.365,229.696,253.637,255.752,270.565,254.403,66.208,,,
net-property-plant-equipment,16.682,17.122,20.265,21.103,23.126,23.698,24.462,22.601,21.672,23.062,23.353,24.967,26.579,27.878,29.061,29.55,29.482,31.829,29.856,30.83,32.733,34.391,34.539,35.569,34.728,34.733,35.325,37.209,39.536,37.458,39.668,40.825,41.963,44.823,16.514,16.59,17.065,14.684,13.242,12.502,14.061,15.066,14.83,16.158,16.846,17.14,18.145,28.117,27.382,23.937,24.657,23.44,,,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.359,14.254,48.757,57.252,57.887,44.487,37.988,37.014,23.963,,,,,,,,
goodwill-intangible-assets-total,58.3,58.449,58.527,58.514,58.552,58.676,58.878,58.803,58.792,58.776,59.388,61.346,63.466,65.459,67.535,69.479,71.541,73.618,75.572,77.556,79.595,81.608,83.608,85.657,87.819,91.264,93.47,95.706,98.466,109.034,110.022,114.052,117.81,120.513,4.689,4.754,4.818,4.883,4.947,5.012,5.077,5.163,5.227,5.292,5.356,5.421,5.486,5.55,5.615,5.679,5.747,5.812,,,
other-long-term-assets,47.538,18.535,16.914,17.27,15.54,12.196,13.487,13.86,16.617,15.417,23.117,11.517,12.017,12.02,11.124,13.804,7.863,5.497,8.513,10.22,9.263,11.82,10.948,11.307,13.301,11.848,12.418,7.957,10.912,7.987,8.006,6.062,5.91,2.468,1.816,1.727,1.815,1.681,1.63,1.622,1.498,1.47,1.34,1.402,1.381,1.34,1.284,1.249,1.274,1.406,1.35,1.688,,,
total-long-term-assets,122.52,94.106,95.706,96.887,97.218,94.57,96.827,95.264,97.081,97.461,106.524,98.44,103.895,107.353,109.374,114.985,111.15,112.444,115.693,120.826,123.85,130.718,131.391,134.842,138.917,139.994,143.508,143.632,152.489,156.912,160.451,163.884,168.812,170.062,25.212,25.456,26.764,24.461,29.452,36.207,71.762,81.884,84.584,79.548,74.413,72.639,64.166,56.855,64.54,61.544,66.639,77.515,,,
total-assets,463.747,438.181,406.134,386.073,369.131,378.727,387.319,413.937,393.952,406.464,416.847,415.163,422.733,469.033,490.02,473.325,461.802,466.773,463.659,467.565,459.637,495.188,491.072,485.203,473.161,475.929,497.078,415.635,438.017,473.17,492.729,492.036,500.035,455.784,261.729,256.42,253.582,263.184,257.975,260.517,257.629,274.386,272.175,285.551,281.299,295.004,293.862,310.492,320.292,332.109,321.042,143.723,0.0,0.0,0.0
total-current-liabilities,176.147,192.181,181.074,169.006,160.477,169.434,179.804,206.87,199.943,284.492,296.213,179.813,172.218,210.212,229.631,274.198,263.334,169.915,165.788,172.108,164.865,184.569,178.373,174.173,162.807,155.859,163.966,167.982,170.246,174.174,183.076,171.371,172.12,203.044,76.805,73.894,78.089,86.675,90.756,96.195,96.417,112.419,114.575,112.903,120.345,134.621,132.189,119.947,106.67,122.043,89.835,71.682,,,
