,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
inventory,8.76,9.953,8.741,7.817,9.229,8.544,7.902,1.813,1.401,1.52,1.495,1.316,1.576,1.214,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,2.335,,,,0.71
total-current-assets,249.785,244.563,233.843,237.512,218.977,216.293,207.713,133.484,118.896,120.615,136.466,158.575,95.369,116.45,135.551,96.883,106.326,113.632,46.827,4.496,,,,8.26
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,33.191,36.879,40.567,44.255,421.287,453.694,486.1,,1.877,1.925,1.973,2.103,2.273,2.5,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,9.423,9.772,9.99,0.204,0.205,0.139,0.853,0.258,0.268,0.392,0.402,0.301,0.311,0.097,0.097,0.097,0.097,0.097,0.097,0.08,,,,0.08
total-long-term-assets,54.193,57.018,60.519,53.733,427.531,457.036,488.565,2.084,3.777,3.9,3.382,3.442,3.356,3.273,0.792,0.835,0.724,0.542,0.565,0.594,,,,1.48
total-assets,303.978,301.581,294.362,291.245,646.508,673.329,696.278,135.568,122.673,124.515,139.848,162.017,98.725,119.723,136.343,97.718,107.05,114.174,47.392,5.09,0.0,0.0,0.0,9.03
total-current-liabilities,201.483,196.272,188.885,189.126,280.221,264.702,250.228,31.488,26.396,28.561,24.532,25.596,22.212,18.203,11.068,8.432,8.6,6.19,6.707,10.417,,,,2.61
long-term-debt,18.237,19.486,19.127,9.858,295.507,325.946,355.227,,,0.424,0.924,1.479,2.146,2.813,3.48,4.146,4.813,5.48,6.146,6.813,,,,0.64
other-non-current-liabilities,,,,0.676,,,,,0.008,0.017,0.025,0.034,0.042,0.051,0.059,0.068,0.076,0.085,0.093,0.101,,,,0.13
total-long-term-liabilities,18.237,19.486,19.127,10.534,295.507,325.946,355.227,,0.008,0.441,0.949,1.513,2.188,2.864,3.539,4.214,4.889,5.565,6.239,6.914,,,,0.82
total-liabilities,219.72,215.758,208.012,199.66,575.728,590.648,605.455,31.488,26.404,29.002,25.481,27.109,24.4,21.067,14.607,12.646,13.489,11.755,12.946,17.331,0.0,0.0,0.0,3.45
common-stock-net,0.034,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.031,0.03,0.029,0.029,0.024,0.024,0.024,0.021,0.02,0.02,0.001,0.001,0.0,0.0,0.0,0.001
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,84.258,85.823,86.35,91.585,70.78,82.681,90.823,104.08,96.269,95.513,114.367,134.908,74.325,98.656,121.736,85.072,93.561,102.419,34.446,-12.241,0.0,0.0,0.0,5.58
total-liabilities-share-holders-equity,303.978,301.581,294.362,291.245,646.508,673.329,696.278,135.568,122.673,124.515,139.848,162.017,98.725,119.723,136.343,97.718,107.05,114.174,47.392,5.09,0.0,0.0,0.0,9.03
