,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,144.5,133.9,129.6,121.4,121.2,107.8,92.3,91.1,300.5,296.2,273.4,80.7,298.7,310.3,308.4,303.2,323.6,323.9,293.0,283.1,294.7,,,,,301.7,
other-current-assets,,,,,,,650.4,632.5,,,,194.0,,,,,,,,,,,,,,60.4,
total-current-assets,546.5,572.5,660.0,713.6,737.2,876.5,1161.1,1160.7,681.0,654.8,614.4,593.5,605.6,609.7,706.6,676.0,666.0,653.1,703.1,683.6,596.1,,,,,593.7,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,990.0,940.8,946.9,951.8,960.6,903.3,909.2,913.6,1186.8,1190.7,1194.1,930.5,1208.6,1214.0,1024.2,1027.8,1032.4,1518.2,1523.9,1534.4,1545.3,0.0,0.0,,0.0,1610.9,0.0
other-long-term-assets,76.8,82.4,61.3,7.6,3.4,3.5,3.8,4.1,3.7,3.6,3.8,429.9,3.6,3.7,2.0,2.0,25.8,28.2,27.6,4.8,15.2,,,,,3.9,
total-long-term-assets,1261.2,1210.9,1174.0,1119.8,1107.3,1040.9,1041.8,1035.2,1467.9,1470.1,1472.0,1478.3,1489.4,1502.3,1313.1,1324.2,1340.3,1832.4,1833.3,1834.3,1853.3,,,,,2369.7,
total-assets,1807.7,1783.4,1834.0,1833.4,1844.5,1917.4,2202.9,2195.9,2148.9,2124.9,2086.4,2071.8,2095.0,2112.0,2019.7,2000.2,2006.3,2485.5,2536.4,2517.9,2449.4,0.0,0.0,0.0,0.0,2534.2,0.0
total-current-liabilities,218.1,187.0,238.4,264.3,265.5,352.8,360.6,389.8,319.4,321.8,310.0,324.4,310.7,304.9,309.3,315.2,326.8,324.0,341.0,356.0,277.9,,,,,359.1,
long-term-debt,310.4,313.3,305.6,247.7,247.6,247.4,542.0,541.1,580.4,579.9,579.4,579.0,589.4,624.0,578.5,578.1,585.9,585.8,631.4,622.6,,,,,,,
other-non-current-liabilities,11.8,5.6,5.5,19.8,30.1,29.6,30.2,31.8,31.9,30.0,29.9,30.5,30.0,30.2,28.2,27.8,52.6,53.9,52.2,20.2,92.5,,,,,119.4,
total-long-term-liabilities,322.7,319.5,315.5,271.9,278.8,278.0,590.5,590.7,648.8,646.3,645.5001,644.9,682.8,717.6,630.6,629.7,638.5,639.7,683.6,670.7,92.5,,,,,119.4,
total-liabilities,540.8,506.5,553.9,536.2,544.3,630.8,951.1,980.5,968.2,968.1,955.5,969.3,993.5,1022.5,939.9,944.9,965.3,963.7,1024.6,1026.7,370.4,0.0,0.0,,0.0,478.5,0.0
common-stock-net,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2100.1,0.0,0.0,,0.0,2045.6,0.0
retained-earnings-accumulated-deficit,-282.2,-270.7,-262.7,-242.4,-240.2,-244.4,-279.7,-299.9,-332.7,-349.3,-366.4,-379.2,-389.2,-398.3,-404.8,-419.0,-433.6,36.9,29.0,7.3,,,,,,,
comprehensive-income,-34.8,-31.1,-33.0,-33.7,-30.5,-32.1,-21.8,-31.3,-30.6,-34.3,-39.4,-50.1,-38.3,-38.1,-36.6,-43.2,-42.8,-28.9,-25.6,-19.1,-21.1,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,10.1,0.0
total-share-holder-equity,1266.9,1276.9,1280.1,1297.2,1300.2,1286.6,1251.8,1215.4,1180.7,1156.8,1130.9,1102.5,1101.5,1089.5,1079.8,1055.3,1041.0,1521.8,1511.8,1491.2,2079.0,0.0,0.0,,0.0,2055.7,0.0
total-liabilities-share-holders-equity,1807.7,1783.4,1834.0,1833.4,1844.5,1917.4,2202.9,2195.9,2148.9,2124.9,2086.4,2071.8,2095.0,2112.0,2019.7,2000.2,2006.3,2485.5,2536.4,2517.9,2449.4,0.0,0.0,,0.0,2534.2,0.0
