,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,1439.0,1404.0,1361.0,1391.0,1441.0,1420.0,1441.0,1427.0,1490.0,1498.0,1535.0,1502.0,1563.0,1525.0,1461.0,1467.0,1403.0,1417.0,1346.0,1289.0,1388.0,1336.0,1316.0,1293.0,1290.0,1257.0,1120.0,1345.0,,,,1063.0,
other-current-assets,322.0,306.0,255.0,271.0,315.0,288.0,229.0,228.0,357.0,353.0,265.0,248.0,235.0,257.0,236.0,201.0,264.0,235.0,213.0,205.0,204.0,207.0,205.0,219.0,228.0,227.0,188.0,201.0,,,,298.0,
total-current-assets,4618.0,4484.0,4379.0,4399.0,4076.0,4239.0,4267.0,4217.0,4894.0,3584.0,3383.0,3390.0,3364.0,3328.0,3307.0,3830.0,3450.0,3316.0,3110.0,3465.0,3353.0,3327.0,3222.0,3357.0,3083.0,3082.0,2942.0,2864.0,,,,2311.0,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,4485.0,4421.0,4511.0,4565.0,4657.0,2739.0,2812.0,2779.0,2848.0,2705.0,2729.0,2709.0,2779.0,2692.0,2669.0,2645.0,1842.0,1864.0,1904.0,1703.0,1739.0,1758.0,1769.0,1785.0,1795.0,1816.0,1840.0,1853.0,0.0,0.0,0.0,1917.0,0.0
other-long-term-assets,284.0,282.0,245.0,94.0,97.0,75.0,78.0,75.0,64.0,65.0,72.0,73.0,71.0,66.0,48.0,49.0,43.0,58.0,58.0,48.0,67.0,71.0,63.0,58.0,59.0,57.0,60.0,88.0,,,,97.0,
total-long-term-assets,6654.0,6502.0,6504.0,6378.0,6383.0,4364.0,4423.0,4369.0,4394.0,4218.0,4266.0,4259.0,4351.0,4190.0,4146.0,4083.0,3236.0,3282.0,3320.0,3123.0,3174.0,3195.0,3181.0,3201.0,3176.0,3179.0,3200.0,3398.0,,,,4306.0,
total-assets,11272.0,10986.0,10883.0,10777.0,10459.0,8603.0,8690.0,8586.0,9288.0,7802.0,7649.0,7649.0,7715.0,7518.0,7453.0,7913.0,6686.0,6598.0,6430.0,6588.0,6527.0,6522.0,6403.0,6558.0,6259.0,6261.0,6142.0,6262.0,0.0,0.0,0.0,5711.0,0.0
total-current-liabilities,1052.0,1075.0,1082.0,1223.0,1003.0,967.0,1000.0,1094.0,1746.0,1784.0,1730.0,1117.0,1039.0,1039.0,1163.0,1781.0,1658.0,1572.0,1370.0,1086.0,998.0,1061.0,1127.0,1415.0,1308.0,1321.0,1287.0,1123.0,,,,843.0,
