,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
cash-on-hand,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,0.21
total-current-assets,135.404,147.758,159.115,166.683,171.041,69.944,74.731,15.165,,,,12.365
net-property-plant-equipment,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,3.07,3.127,3.183,0.5,1.289,2.951,1.122,0.033,,,,0.01
total-long-term-assets,7.105,7.391,7.648,4.732,5.642,4.759,1.598,0.433,,,,0.416
total-assets,142.509,155.149,166.763,171.415,176.683,74.703,76.329,15.598,0.0,0.0,0.0,12.599
total-current-liabilities,7.882,7.75,8.818,7.925,5.514,5.638,3.136,0.897,,,,0.89
long-term-debt,,,,,,,,,,,,
total-long-term-liabilities,5.104,5.298,5.551,3.265,3.646,1.267,0.194,0.023,,,,0.173
total-liabilities,12.986,13.048,14.369,11.19,9.16,6.905,3.33,0.92,0.0,0.0,0.0,1.063
common-stock-net,208.578,206.69,204.645,203.544,0.024,0.002,0.002,0.001,0.0,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-79.253,-64.823,-52.396,-43.38,-34.885,-27.297,-21.729,-16.265,,,,-7.108
comprehensive-income,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,129.523,142.101,152.394,160.225,167.523,67.798,72.999,14.678,0.0,0.0,0.0,11.536
total-liabilities-share-holders-equity,142.509,155.149,166.763,171.415,176.683,74.703,76.329,15.598,0.0,0.0,0.0,12.59
