,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
cash-on-hand,,,,,,,,,,,
other-current-assets,1.098,1.16,0.991,0.489,0.894,0.661,,,,,0.74
total-current-assets,88.803,96.236,103.789,109.805,115.325,120.584,,,,,10.487
net-property-plant-equipment,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,4.211,4.318,4.421,0.282,0.282,0.282,,,,,0.07
total-long-term-assets,8.72,9.031,9.267,4.877,4.942,5.087,,,,,1.112
total-assets,97.523,105.267,113.056,114.682,120.267,125.671,0.0,0.0,0.0,0.0,11.424
total-current-liabilities,5.327,4.735,4.758,3.337,3.502,3.602,,,,,0.651
long-term-debt,5.699,5.929,6.153,,,,,,,,
other-non-current-liabilities,,,,,,,,,,,0.02
total-long-term-liabilities,5.699,5.929,6.153,2.548,2.638,2.728,,,,,0.02
total-liabilities,11.026,10.664,10.911,5.885,6.14,6.33,0.0,,0.0,0.0,0.676
common-stock-net,0.019,0.019,0.019,0.019,0.019,0.019,0.0,,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-74.703,-65.555,-56.837,-49.195,-43.413,-37.75,,,,,-17.511
comprehensive-income,-0.224,-0.156,-0.13,-0.203,-0.16,-0.12,,,,,
other-share-holders-equity,,,,,,,0.0,,0.0,0.0,-0.15
total-share-holder-equity,86.497,94.603,102.145,108.797,114.127,119.341,0.0,,0.0,0.0,10.748
total-liabilities-share-holders-equity,97.523,105.267,113.056,114.682,120.267,125.671,0.0,,0.0,0.0,11.42
