,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,1.2987,,0.6094,0.5566,0.7657,0.7043,0.7053,0.6052,0.2838,0.1253,0.1472,0.4315,0.2592,0.0637,0.1348,0.1775,0.2237,0.0596,0.1112,0.1571,0.3163,0.0621,0.085,0.0971,0.1015,0.0189,,,,
total-current-assets,165.322,183.46,200.806,222.502,239.8728,97.5292,113.2256,123.119,68.6518,77.6685,92.2217,53.5747,59.2548,64.103,59.0892,68.3685,66.5032,71.3328,96.3379,29.2164,18.0798,21.7478,23.8959,27.1249,32.3577,33.6674,37.0972,20.5488,23.6713,29.001,31.383,37.0376,53.3793,11.4656,14.1021,14.59,,,,0.08
net-property-plant-equipment,1.931,2.048,2.079,0.557,0.5158,0.6399,0.7315,0.86,0.5931,0.1319,0.1828,0.2147,0.1285,0.1137,0.1322,0.1486,0.1565,0.174,0.1732,0.1564,0.0341,0.0074,0.0084,0.0071,0.0076,0.0093,0.0056,0.0068,0.0081,0.0094,0.0072,0.0082,0.0092,0.0102,0.0112,,,,,0.02
long-term-investments,,,,,,2.2041,,3.347,1.0043,3.0088,,2.4358,7.9003,11.1674,23.3905,23.3921,31.1861,31.4371,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,41.638,41.638,41.638,41.638,41.6381,41.6381,41.6381,41.638,41.6381,41.6381,41.6381,41.6381,41.6381,41.6381,41.6381,41.6381,41.6381,41.6381,41.7374,41.7374,42.2801,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,14.454,14.365,14.724,3.348,0.9505,0.4067,0.4256,0.34,0.4258,0.3273,0.2416,0.2554,0.2053,0.1837,0.2043,0.1972,0.1701,0.1251,0.0989,0.115,,,,,,,,,,,,,,,,,,,,
total-long-term-assets,58.023,58.051,58.441,45.543,43.1045,44.8889,42.7952,46.185,43.6614,45.1061,42.0625,44.544,49.8722,53.1029,65.3651,65.376,73.1509,73.3744,42.0095,42.0088,42.3141,0.0074,0.0084,0.0071,0.0076,0.0093,0.0056,0.0068,0.0081,0.0094,0.0072,0.0082,0.0092,0.0582,0.0358,0.0266,,,,0.02
total-assets,223.345,241.511,259.247,268.045,282.9772,142.4181,156.0208,169.304,112.3131,122.7746,134.2842,98.1186,109.127,117.2059,124.4543,133.7445,139.654,144.7071,138.3474,71.2252,60.3939,21.7552,23.9043,27.132,32.3653,33.6768,37.1027,20.5556,23.6794,29.0103,31.3902,37.0458,53.3885,11.5238,14.1378,14.6166,0.0,0.0,0.0,0.16
total-current-liabilities,21.498,19.935,25.205,18.472,14.6097,13.1309,12.1799,13.492,12.219,11.9894,10.9566,7.121,7.4822,5.0449,3.5693,3.4029,2.6516,2.24,2.1284,1.054,1.049,1.4698,1.4624,2.6381,2.3177,2.5854,1.9766,2.7455,2.6812,3.3918,3.8529,2.5131,1.1834,0.7699,0.3104,1.7198,,,,12.35
long-term-debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,45.358,46.869,43.641,38.92,38.9343,40.1867,41.4597,42.692,52.9613,54.2503,55.4394,11.1197,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,12.1427,,,,,,,,,,,,,1.3197,1.2952,1.2707,,,,1.17
total-liabilities,66.856,66.804,68.846,57.392,53.544,53.3175,53.6396,56.184,65.1803,66.2396,66.396,18.2406,19.0823,16.6449,15.1693,15.0029,14.2516,13.84,13.7284,12.654,13.1917,1.4698,1.4624,2.6381,2.3177,2.5854,1.9766,2.7455,2.6812,3.3918,3.8529,2.5131,1.1834,2.0896,1.6056,2.9905,0.0,0.0,0.0,13.52
