,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-11-30,2012-09-30,2012-08-31,2012-06-30,2012-05-31,2012-03-31,2012-02-29,2011-12-31,2011-11-30,2011-09-30,2011-08-31,2011-06-30,2011-05-31,2011-03-31
cash-on-hand,407.023,425.9,447.646,471.541,478.813,255.686,264.056,300.63,303.873,295.981,248.161,255.873,274.303,221.514,222.345,229.604,235.277,133.608,126.3348,27.76,37.7922,43.4442,5.0408,6.1303,16.3672,0.2865,2.5035,0.0114,0.0039,,0.0039,,0.0039,,0.0039,0.0039,,,,,,
notes-loans-receivable,,,,,,,,,,,47.173,46.849,46.526,47.5,47.173,46.849,46.526,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,5.264,5.05,5.571,5.619,5.129,5.388,5.142,5.351,4.318,4.369,4.751,2.826,3.253,2.713,3.23,2.536,2.65,2.005,1.7184,0.801,0.6836,0.4967,0.3491,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,96.25,96.25,,,,,,,0.1179,0.1345,,,,,,,,,0.007,,,,,,
total-current-assets,439.718,457.015,475.513,495.678,502.989,278.917,286.803,325.807,325.339,319.658,322.398,332.352,342.59,300.157,297.739,301.932,299.954,244.737,233.5431,37.334,45.4446,53.397,6.4423,7.5012,16.8479,0.4044,2.6379,0.0332,0.0039,,0.0039,,0.0039,,0.0039,0.0039,,,,,,
net-property-plant-equipment,2.91,3.015,2.995,3.146,3.323,3.455,3.042,3.23,2.717,2.54,2.428,2.587,0.382,0.381,0.417,0.428,0.478,0.509,0.6186,0.671,0.6332,0.5113,0.2804,0.1274,0.0384,0.0286,0.0284,0.0238,,,,,,,,0.0025,,,,,,
long-term-investments,,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,0.337,,0.737,0.689,0.2442,0.2441,0.1775,0.1375,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,158.735,159.842,160.689,187.627,187.481,188.421,189.492,185.753,180.505,181.304,181.894,182.979,184.234,185.368,161.196,162.472,163.933,169.187,170.771,95.201,97.1559,98.9703,85.5197,12.5862,2.0509,2.1019,2.1468,2.1967,,,,,,0.0,,0.0,,0.0,,0.0,,
other-long-term-assets,12.453,12.702,13.471,7.709,7.393,5.351,6.457,5.556,7.101,3.628,3.661,7.364,1.974,1.859,1.859,1.859,2.006,2.016,2.0274,2.265,1.9613,1.9678,1.5621,0.04,2.25,,,,,,,,,,,,,,,,,
total-long-term-assets,174.098,190.559,192.155,213.482,213.197,212.227,213.991,194.539,195.171,187.472,187.983,192.93,189.83,233.814,209.361,210.332,211.676,180.403,182.4453,98.137,100.4873,102.1383,87.6063,12.9976,4.5169,2.2681,2.3127,2.358,,,,,,,,0.0025,,,,,,
total-assets,613.816,647.574,667.668,709.16,716.186,491.144,500.794,520.346,520.51,507.13,510.381,525.282,532.42,533.971,507.1,512.264,511.63,425.14,415.9884,135.471,145.9319,155.5353,94.0486,20.4989,21.3647,2.6725,4.9506,2.3913,0.0039,0.0,0.0039,0.0,0.0039,0.0,0.0039,0.0039,0.0,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,88.017,90.587,104.075,104.621,99.872,103.497,56.525,85.668,83.904,79.626,76.555,83.262,85.994,80.068,66.617,86.981,101.947,172.382,102.1652,107.539,49.1349,47.9847,113.4472,36.5649,30.9428,11.1299,1.215,5.7991,0.0687,,0.068,,0.0675,,0.067,0.067,,,,,,
long-term-debt,202.355,199.891,197.47,195.091,192.753,,45.238,45.077,44.911,44.747,44.583,44.422,44.257,44.092,43.929,43.766,43.747,43.593,84.243,43.288,83.2931,82.813,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,77.487,80.007,80.412,91.195,104.496,99.658,99.556,96.467,87.175,85.742,83.947,83.406,86.112,83.336,58.004,57.218,62.566,58.384,61.0132,21.754,23.5506,23.5296,13.3274,1.0,,,6.9573,,,,,,,,,,,,,,,
total-long-term-liabilities,279.842,279.898,277.882,286.286,297.249,99.658,144.794,141.544,132.086,131.675,132.891,134.253,138.831,139.531,121.251,125.312,118.671,101.977,145.2562,65.183,106.9849,106.4838,15.9936,3.6009,,,6.9573,,,,,,,,,,,,,,,
total-liabilities,367.859,370.485,381.957,390.907,397.121,203.155,201.319,227.212,215.99,211.301,209.446,217.515,224.825,219.599,187.868,212.293,220.618,274.359,247.4214,172.722,156.1197,154.4685,129.4408,40.1658,30.9428,11.1299,8.1723,5.7991,0.0687,,0.068,,0.0675,,0.067,0.067,,0.0,,0.0,,
