,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,36.695,32.243,29.408,27.388,23.876,21.669,21.833,21.046,21.095,20.463,20.596,19.578,17.43,16.961,17.897,15.205,15.92,15.781,16.456,16.714,16.925,14.995,14.186,13.255,13.082,11.654,11.265,10.859,10.13,9.127,8.297,8.003,7.25,7.811,9.118,8.375,6.91,6.14,6.252,6.498,6.495,7.0,7.165,6.959,8.103,9.65,10.26,9.589,8.14,7.33,7.1,6.08,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,2.67,,1.09,1.34,1.31,1.69,
total-current-assets,99.695,98.159,95.418,94.017,86.81,92.364,84.008,80.311,75.642,68.089,62.504,59.027,68.235,62.422,59.742,58.184,53.977,50.309,47.797,48.588,49.434,53.002,40.335,41.725,39.038,38.835,38.728,39.131,42.191,40.668,39.618,39.687,42.892,41.616,41.07,42.911,44.156,41.194,39.838,39.55,38.593,35.986,33.042,37.116,35.96,37.52,37.91,41.766,41.1,42.69,42.73,43.64,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,48.867,42.492,43.059,43.56,43.294,30.96,31.616,32.078,32.519,32.728,33.153,33.323,24.078,24.361,24.852,24.125,24.373,24.841,23.751,24.438,25.076,20.281,20.789,21.175,21.158,18.589,18.714,18.94,14.332,14.485,14.717,14.902,15.16,15.452,15.375,15.603,13.759,13.79,14.127,14.338,14.524,14.653,14.739,13.905,14.01,14.3,14.46,14.828,13.39,11.02,10.71,10.78,
other-long-term-assets,6.218,6.638,6.476,0.194,0.192,0.194,0.197,0.178,0.179,0.179,0.165,0.163,0.176,0.177,0.17,0.168,0.168,0.168,0.168,0.17,0.174,0.169,0.168,0.167,0.158,0.156,0.163,0.172,0.173,0.233,0.416,0.431,0.442,0.449,0.348,0.82,0.878,0.832,0.842,0.917,0.971,0.966,0.966,1.051,1.077,1.37,1.43,1.372,0.16,0.15,0.16,0.15,
total-long-term-assets,70.319,64.502,64.834,59.071,57.517,44.736,45.402,46.012,45.627,43.965,44.018,42.897,33.071,33.107,33.642,32.52,32.635,32.928,31.776,32.904,34.066,27.534,28.383,28.767,27.558,24.84,24.518,23.929,19.001,19.331,19.771,20.0,20.132,20.075,19.982,20.363,17.282,16.855,17.113,17.356,17.726,17.717,17.848,17.283,17.611,15.67,15.89,19.091,13.55,11.17,10.87,10.93,
total-assets,170.014,162.661,160.252,153.088,144.327,137.1,129.41,126.323,121.269,112.054,106.522,101.924,101.306,95.529,93.384,90.704,86.612,83.237,79.573,81.492,83.5,80.536,68.718,70.492,66.596,63.675,63.246,63.06,61.192,59.999,59.389,59.687,63.024,61.691,61.052,63.274,61.438,58.049,56.951,56.906,56.319,53.703,50.89,54.399,53.571,56.02,56.78,60.857,57.09,56.22,55.96,56.96,0.0
total-current-liabilities,19.323,17.422,19.385,19.758,14.639,13.115,12.642,13.189,12.11,9.397,10.765,10.482,12.064,10.136,10.164,10.368,8.833,9.239,8.388,10.041,12.581,9.012,8.709,10.22,9.288,7.456,7.874,8.394,8.195,6.936,6.286,6.539,9.861,8.362,8.217,10.389,7.812,6.702,6.232,6.548,6.895,6.212,5.121,6.933,6.484,8.48,8.32,10.045,6.74,4.87,4.9,5.37,
