,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-01-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,0.164,0.163,0.177,,0.169,0.339,0.529,0.592,0.944,0.699,0.598,0.62,0.815,0.59,0.667,0.625,0.756,0.369,,,,,0.27
other-current-assets,10.999,8.244,7.534,8.953,11.727,10.73,3.525,6.106,8.078,4.069,2.867,5.352,6.899,6.3,1.703,3.332,5.634,,2.271,,,,,,,4.2
total-current-assets,853.516,364.576,394.677,363.839,339.713,303.764,265.396,252.811,239.623,219.143,200.819,186.058,173.74,155.529,143.048,141.218,167.981,130.272,124.719,118.843,31.115,,,,,15.32
net-property-plant-equipment,9.873,8.481,8.223,8.743,8.869,8.626,7.836,6.789,6.08,6.083,5.17,5.373,4.251,3.388,3.506,3.614,3.157,3.079,2.577,2.688,2.549,,,,,3.27
long-term-investments,81.839,78.065,0.709,,,,,,,,,,,,,1.444,0.529,0.662,,0.305,,,,,,
goodwill-intangible-assets-total,93.419,86.088,84.317,85.381,86.928,86.799,88.286,90.101,78.478,69.334,69.671,70.339,70.326,71.105,71.491,65.687,31.249,31.269,31.192,30.901,30.705,0.0,,0.0,0.0,29.03
other-long-term-assets,59.027,58.878,20.413,18.3,18.054,18.226,2.18,1.76,1.709,1.851,1.861,2.003,1.763,1.874,1.75,,,,0.281,,,,,,,0.8
total-long-term-assets,244.824,232.063,115.339,113.859,114.889,114.267,103.763,103.306,91.321,83.706,78.317,78.411,76.845,76.712,76.747,70.745,34.935,35.01,34.05,33.894,34.654,,,,,33.1
total-assets,1098.34,596.639,510.016,477.698,454.602,418.031,369.159,356.117,330.944,302.849,279.136,264.469,250.585,232.241,219.795,211.963,202.916,165.282,158.769,152.737,65.769,0.0,0.0,0.0,0.0,46.3
total-current-liabilities,37.141,23.378,29.053,17.4,17.069,17.154,20.49,19.478,12.943,10.305,15.703,10.436,8.936,6.975,12.106,9.363,7.205,5.184,8.831,6.336,6.568,,,,,8.3
long-term-debt,35.66,36.243,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,0.735,0.387,2.968,2.836,2.693,2.466,2.395,2.226,2.067,1.7,1.456,1.295,1.076,0.819,0.236,,,,,,,,,,,
total-long-term-liabilities,44.168,43.962,3.884,3.497,4.914,3.903,2.395,2.226,2.067,1.7,1.493,1.444,2.19,2.53,4.232,4.275,4.55,5.53,5.843,5.897,48.517,,,,,44.39
total-liabilities,81.309,67.34,32.937,20.897,21.983,21.057,22.885,21.704,15.01,12.005,17.196,11.88,11.126,9.505,16.338,13.638,11.755,10.714,14.674,12.233,55.085,0.0,,0.0,0.0,52.7
common-stock-net,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.001,0.0,,0.0,0.0,0.001
retained-earnings-accumulated-deficit,233.038,213.672,171.85,158.731,143.045,120.528,85.3,79.35,68.868,52.076,29.985,25.923,19.915,11.682,3.609,0.481,-3.606,-8.027,-13.004,-14.375,-17.768,,,,,-19.06
comprehensive-income,,,,0.0,0.0,0.0,-0.269,-0.188,-0.195,-0.191,-0.165,-0.134,-0.11,-0.137,-0.098,-0.067,-0.033,-0.022,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,3.67
total-share-holder-equity,1017.031,529.299,477.079,456.801,432.619,396.974,346.274,334.413,315.934,290.844,261.94,252.589,239.459,222.736,203.457,198.325,191.161,154.568,144.095,140.504,10.684,0.0,,0.0,0.0,-6.39
total-liabilities-share-holders-equity,1098.34,596.639,510.016,477.698,454.602,418.031,369.159,356.117,330.944,302.849,279.136,264.469,250.585,232.241,219.795,211.963,202.916,165.282,158.769,152.737,65.769,0.0,,0.0,0.0,46.3
