,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
cash-on-hand,,,,,,,,,,,
other-current-assets,,,,,,,,,,,0.25
total-current-assets,268.34,296.458,334.956,313.75,341.528,363.869,,,,,56.33
net-property-plant-equipment,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,2.428,2.713,3.557,0.21,2.04,0.21,,,,,
total-long-term-assets,13.465,11.679,11.203,8.215,5.573,1.26,,,,,0.14
total-assets,281.805,308.137,346.159,321.965,347.101,365.129,0.0,0.0,0.0,0.0,56.46
total-current-liabilities,,,,,,,,,,,
other-non-current-liabilities,2.334,2.762,2.748,0.144,0.167,0.186,,,,,
total-long-term-liabilities,2.334,2.762,2.748,0.144,0.167,0.186,,,,,
total-liabilities,29.894,32.94,39.64,42.698,28.188,23.33,0.0,,0.0,0.0,2.3
common-stock-net,0.015,0.015,0.015,0.013,0.013,0.013,0.0,,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-324.295,-297.237,-260.046,-194.225,-151.645,-127.239,,,,,-26.12
comprehensive-income,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,251.911,275.197,306.519,279.267,318.913,341.799,0.0,,0.0,0.0,54.16
total-liabilities-share-holders-equity,281.805,308.137,346.159,321.965,347.101,365.129,0.0,,0.0,0.0,56.46
