,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,58.505,51.019,51.598,50.751,53.13,50.105,47.365,61.655,86.527,102.244,137.839,174.788,162.155,172.102,180.202,18.376,17.729,20.299,13.586,16.865,23.848,9.203,9.432,8.701,6.895,5.787,4.367,5.245,3.666,3.157,2.465,1.195,1.13,0.531,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.3
total-current-assets,1478.804,1401.501,1559.74,1545.816,1339.185,1234.612,1185.098,1268.168,1161.625,1100.611,1197.062,1046.282,1117.706,938.044,876.604,1106.147,953.628,898.211,735.925,324.695,360.767,197.675,162.749,110.765,85.864,86.634,96.811,116.918,136.105,72.39,88.72,25.046,36.45,6.816,,,,,7.35,14.37
net-property-plant-equipment,26.202,24.808,22.135,20.101,16.592,18.07,19.488,20.405,21.7,22.657,23.557,23.484,21.442,21.971,18.581,14.02,10.38,9.773,8.873,7.241,4.656,4.031,3.897,3.78,3.524,3.5,3.668,3.725,3.62,3.804,3.15,3.245,2.334,2.03,,,,,0.84,0.35
long-term-investments,,,,,,,,,,,,,,,,,42.413,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,2174.186,2231.848,2306.531,2363.938,2635.909,2703.634,2770.624,2874.174,2944.496,3014.665,3149.337,3219.014,2132.347,2190.295,2239.362,1869.921,1916.983,1959.088,687.151,704.833,743.938,120.497,125.992,131.094,65.38,64.544,65.208,68.892,68.647,32.893,35.777,35.602,38.295,41.494,0.0,,0.0,0.0,0.0,0.0
other-long-term-assets,42.185,43.767,44.757,8.959,27.469,29.224,26.776,36.081,36.234,29.845,2.843,2.368,72.201,72.156,66.6,66.222,75.514,75.615,76.586,77.564,15.534,6.161,6.496,6.957,3.447,3.839,4.173,4.449,3.971,39.665,42.001,37.185,112.124,122.03,,,,,0.11,0.24
total-long-term-assets,2242.618,2306.503,2375.969,2396.146,2680.201,2755.113,2817.747,2934.13,3007.829,3069.33,3177.694,3245.777,2231.965,2289.414,2328.89,1952.441,2045.29,2044.476,791.371,789.6381,764.128,130.689,136.385,141.831,72.351,71.883,73.049,77.066,76.238,76.362,80.928,76.032,152.753,165.554,,,,,0.95,0.59
total-assets,3721.422,3708.004,3935.709,3941.962,4019.386,3989.725,4002.845,4202.298,4169.454,4169.941,4374.756,4292.059,3349.671,3227.458,3205.494,3058.588,2998.918,2942.687,1527.296,1114.333,1124.895,328.364,299.134,252.596,158.215,158.517,169.86,193.984,212.343,148.752,169.648,101.078,189.203,172.37,0.0,0.0,0.0,0.0,8.21,14.95
