,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-06-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,52.344,51.032,64.775,70.032,68.236,52.635,57.23,62.067,57.604,50.426,48.77,65.69,34.685,29.121,29.307,30.244,31.889,33.058,29.858,27.677,22.48,20.823,19.28,16.116,13.029,12.741,,,,5.96,
other-current-assets,214.277,205.509,197.482,208.974,203.615,,0.491,0.381,0.487,6.742,5.388,2.611,3.862,3.123,4.445,3.764,4.578,3.444,0.712,1.559,1.416,1.228,1.446,2.212,0.788,1.65,,,,30.97,
total-current-assets,576.684,614.044,634.957,614.215,626.202,428.618,405.597,420.837,393.867,408.812,494.256,513.95,384.03,462.89,453.257,386.758,363.466,545.164,525.217,509.637,426.613,422.056,395.005,358.078,250.903,366.041,,,,335.36,
net-property-plant-equipment,202.564,205.108,212.306,211.859,211.248,205.349,198.853,190.815,186.179,187.365,182.093,180.408,175.221,174.08,165.736,163.044,153.509,147.625,152.972,145.43,139.277,134.551,128.523,124.096,119.538,115.587,,,,235.26,
long-term-investments,107.81,99.636,98.642,98.089,96.743,94.053,93.448,98.388,97.131,92.879,98.878,98.795,95.706,46.93,39.456,51.963,63.952,174.745,154.944,122.151,129.579,248.799,239.719,174.824,10.773,,,,,9.71,
goodwill-intangible-assets-total,1129.912,1151.431,1247.936,1261.48,1215.022,1143.556,1242.493,1256.392,1270.609,1284.507,1301.424,1318.21,753.4,696.179,705.114,713.8571,712.382,254.314,255.058,258.267,260.591,105.306,100.155,100.957,93.888,65.702,0.0,0.0,0.0,67.24,0.0
other-long-term-assets,98.755,31.868,33.125,29.824,22.727,3.892,4.241,5.403,9.484,10.271,13.398,14.344,18.755,12.49,28.856,25.418,31.779,17.137,51.778,50.351,48.925,16.136,44.166,43.763,33.41,36.509,,,,25.37,
total-long-term-assets,2017.9,1955.523,2049.216,2030.636,1890.35,1883.598,1889.04,1899.326,2110.475,2099.024,2104.428,2102.204,1505.634,1392.493,1401.719,1401.222,1328.81,985.027,963.316,922.733,856.332,824.6,804.866,737.556,270.937,232.875,,,,353.19,
total-assets,2594.584,2569.567,2684.173,2644.851,2516.552,2312.216,2294.637,2320.163,2504.342,2507.836,2598.684,2616.154,1889.664,1855.383,1854.976,1787.98,1692.276,1530.191,1488.533,1432.37,1282.945,1246.656,1199.871,1095.634,521.84,598.916,0.0,0.0,0.0,554.93,0.0
