,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,427.082,390.911,419.967,493.487,390.557,284.516,583.246,228.451,191.33,165.492,149.757,151.404,138.203,114.14,93.955,105.946,102.515,105.7,101.449,108.726,102.802,71.981,79.929,97.161,102.862,110.617,76.332,91.462,62.889,77.805,38.417,49.399,,,,
net-property-plant-equipment,9.977,4.028,4.226,4.095,6.93,4.897,5.003,5.124,4.688,4.572,4.342,4.344,4.318,4.193,3.866,3.874,3.21,2.908,2.481,2.448,2.5,2.59,2.648,2.554,2.48,2.247,1.687,1.421,1.384,1.146,1.183,1.31,,,,
long-term-investments,596.442,593.754,522.551,418.798,460.304,503.312,175.064,133.638,123.123,104.632,89.163,75.41,67.044,67.809,68.79,55.009,43.967,33.488,27.315,19.816,15.763,15.462,11.662,8.756,15.215,16.072,,,1.804,,,,,,,
goodwill-intangible-assets-total,26.101,28.787,30.063,31.368,32.572,33.794,34.858,36.019,37.162,28.989,29.45,36.35,15.526,15.785,16.108,0.976,16.627,0.11,0.167,0.225,4.135,3.083,2.157,1.158,0.817,0.568,0.626,0.683,0.74,0.798,0.855,0.912,0.0,0.0,0.0,0.0
other-long-term-assets,19.354,20.22,20.674,0.38,0.782,0.752,0.735,0.389,0.368,0.349,0.35,0.331,0.332,0.32,0.311,0.318,0.322,0.321,0.321,0.36,0.36,0.361,0.36,1.366,0.36,0.36,0.363,0.334,0.055,0.055,0.061,0.055,,,,
total-long-term-assets,679.827,672.764,605.481,484.324,531.955,568.283,241.914,196.013,194.148,180.878,172.499,158.164,146.913,104.493,100.519,82.68,64.126,48.314,37.956,28.058,22.758,22.209,17.591,13.834,20.903,21.356,2.729,2.527,4.125,2.16,4.785,4.331,,,,
total-assets,1106.909,1063.675,1025.448,977.811,922.512,852.799,825.16,424.464,385.478,346.37,322.256,309.568,285.116,218.633,194.474,188.626,166.641,154.014,139.405,136.784,125.56,94.19,97.52,110.995,123.765,131.973,79.061,93.989,67.014,79.965,43.202,53.73,0.0,0.0,0.0,0.0
total-current-liabilities,149.717,143.971,151.706,161.353,138.346,103.934,119.088,123.0,104.956,85.524,82.003,80.742,71.647,67.514,55.533,56.934,43.69,36.631,27.509,28.123,22.126,19.187,27.102,26.4,25.071,16.024,27.008,22.983,24.59,21.881,19.912,18.77,,,,
long-term-debt,368.419,364.745,361.134,329.462,325.666,321.92,318.225,,,1.472,3.31,4.165,5.772,5.699,5.627,7.085,7.939,8.608,11.476,26.223,25.732,28.671,28.358,34.393,60.175,59.1,7.975,11.088,14.116,17.061,19.926,22.711,,,,
other-non-current-liabilities,31.516,32.055,32.59,33.973,36.564,36.453,35.978,32.835,27.638,28.684,29.514,31.405,32.772,33.589,34.547,35.21,35.258,35.751,35.431,40.465,40.4,11.618,11.666,15.321,24.614,20.219,2.032,2.039,3.296,2.86,2.683,2.341,,,,
total-long-term-liabilities,399.935,396.8,393.724,363.435,362.23,358.373,354.203,33.984,28.859,31.449,34.189,37.071,40.098,40.894,41.832,43.685,44.364,45.561,48.145,67.962,67.442,41.634,41.405,51.131,86.241,80.057,10.781,13.436,17.793,20.104,23.016,25.517,,,,
total-liabilities,549.652,540.771,545.43,524.788,500.576,462.307,473.291,156.984,133.815,116.973,116.192,117.813,111.745,108.408,97.365,100.619,88.054,82.192,75.654,96.085,89.568,60.821,68.507,77.531,111.312,96.081,37.789,36.419,42.383,41.985,42.928,44.287,0.0,0.0,0.0,0.0
common-stock-net,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.051,0.051,0.051,0.05,0.05,0.05,0.05,0.049,0.049,0.049,0.048,0.048,0.043,0.043,0.042,0.042,0.04,0.031,0.031,0.031,0.031,0.024,0.024,0.002,0.002,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,166.419,137.559,104.832,86.492,60.599,32.588,1.851,-26.823,-40.481,-56.442,-73.81,-84.288,-98.607,-160.433,-170.684,-175.509,-182.361,-186.277,-188.715,-189.453,-193.241,-190.87,-194.071,-178.528,-156.122,-132.026,-104.669,-86.255,-72.742,-59.259,-49.247,-39.971,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,557.257,522.904,480.018,453.023,421.936,390.492,351.869,267.48,251.663,229.397,206.064,191.755,173.371,110.225,97.109,88.007,78.587,71.822,63.751,40.699,35.992,33.369,29.013,33.464,12.453,35.892,41.272,57.57,24.631,37.98,0.274,9.443,0.0,0.0,0.0,0.0
total-liabilities-share-holders-equity,1106.909,1063.675,1025.448,977.811,922.512,852.799,825.16,424.464,385.478,346.37,322.256,309.568,285.116,218.633,194.474,188.626,166.641,154.014,139.405,136.784,125.56,94.19,97.52,110.995,123.765,131.973,79.061,93.989,67.014,79.965,43.202,53.73,0.0,0.0,0.0,0.0
