,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,
inventory,12.514,15.236,13.748,13.633,12.244,12.324,11.911,8.998,9.188,7.359,8.223,6.414,9.249,8.893,6.689,8.093,12.724,14.633,,,,,10.65
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,1.17
total-current-assets,323.737,321.967,208.081,240.518,248.688,165.37,187.523,180.625,169.24,123.104,140.161,174.115,212.278,237.175,248.625,250.726,246.293,85.831,,,,,49.1
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,37.486,39.32,30.062,3.317,3.788,3.678,4.254,4.321,4.399,4.053,4.111,4.276,4.491,4.996,2.025,1.804,2.082,5.874,,,,,0.82
total-long-term-assets,56.513,61.359,53.364,27.653,28.621,28.991,31.132,33.988,34.816,35.321,35.863,36.565,30.107,24.092,17.123,14.514,16.074,20.921,,,,,15.06
total-assets,380.25,383.326,261.445,268.171,277.309,194.361,218.655,214.613,204.056,158.425,176.024,210.68,242.385,261.267,265.748,265.24,262.367,106.752,0.0,0.0,0.0,0.0,59.72
total-current-liabilities,137.974,126.925,112.656,113.981,101.829,98.13,104.383,105.561,91.53,98.27,93.015,96.415,95.979,95.488,84.153,80.475,35.028,38.515,,,,,23.56
long-term-debt,101.408,102.786,104.105,73.357,73.284,73.211,73.138,73.065,73.202,,,,,,,,21.276,25.426,,,,,22.46
other-non-current-liabilities,,,,8.613,8.775,8.922,9.548,10.57,9.14,9.247,9.337,7.789,6.092,1.964,,,,,,,,,
total-long-term-liabilities,157.582,163.313,143.803,122.028,118.909,118.268,118.148,83.635,82.342,9.247,9.337,7.789,6.092,1.964,,,21.276,25.426,,,,,22.46
total-liabilities,295.556,290.238,256.459,236.009,220.738,216.398,222.531,189.196,173.872,107.517,102.352,104.204,102.071,97.452,84.153,80.475,56.304,63.941,0.0,,0.0,0.0,46.03
common-stock-net,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.006,0.006,0.006,0.005,0.005,0.001,0.0,,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-663.988,-640.851,-608.435,-574.529,-542.688,-513.072,-479.248,-446.375,-436.66,-409.541,-381.809,-345.848,-307.941,-281.924,-258.769,-250.083,-227.123,-209.494,,,,,-174.65
comprehensive-income,0.858,0.795,-0.266,-0.552,-0.894,-0.858,-0.904,-0.766,-0.396,-0.463,-0.525,-0.725,0.334,0.943,0.396,-1.416,0.036,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,-0.19
total-share-holder-equity,84.694,93.088,4.986,32.162,56.571,-22.037,-3.876,25.417,30.184,50.908,73.672,106.476,140.314,163.815,181.595,184.765,206.063,42.811,0.0,,0.0,0.0,13.69
total-liabilities-share-holders-equity,380.25,383.326,261.445,268.171,277.309,194.361,218.655,214.613,204.056,158.425,176.024,210.68,242.385,261.267,265.748,265.24,262.367,106.752,0.0,,0.0,0.0,59.72
