,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,23.508,17.644,13.355,8.37,2.919,0.102,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
total-current-assets,412.519,428.47,443.008,335.409,393.184,447.318,502.087,556.614,670.651,698.71,433.339,283.991,273.508,303.325,193.196,217.233,224.188,122.529,124.49,105.463,51.414,,,,,8.03
net-property-plant-equipment,0.828,0.864,0.964,1.18,1.3,1.395,1.5,1.433,0.929,1.003,1.092,1.127,0.413,0.435,0.46,0.386,0.284,0.223,0.177,0.192,0.079,,,,,0.04
long-term-investments,2.029,1.997,,2.962,10.829,35.567,,,,5.186,18.43,24.551,34.722,,,1.019,17.441,23.399,35.668,66.483,,,,,,
goodwill-intangible-assets-total,1.65,1.674,1.698,1.723,1.747,1.771,0.771,1.897,1.897,1.897,1.897,1.897,1.897,1.897,1.897,1.897,4.291,4.291,4.291,4.291,4.291,0.0,0.0,,0.0,4.29
other-long-term-assets,19.215,14.261,15.905,3.047,2.862,1.394,1.499,0.85,0.972,0.992,1.013,1.035,0.961,0.969,1.249,1.397,0.998,1.002,0.985,1.792,3.832,,,,,0.15
total-long-term-assets,23.722,18.796,18.567,8.912,16.738,40.127,3.77,4.18,3.798,9.078,22.432,28.61,37.993,3.301,3.606,4.699,23.014,28.915,41.121,72.758,8.202,,,,,4.48
total-assets,436.241,447.266,461.575,344.321,409.922,487.445,505.857,560.794,674.449,707.788,455.771,312.601,311.501,306.626,196.802,221.932,247.202,151.444,165.611,178.221,59.616,0.0,0.0,0.0,0.0,12.51
total-current-liabilities,58.638,50.873,62.094,38.556,74.276,93.647,97.078,105.358,143.261,28.603,21.311,34.992,28.699,25.387,26.641,25.896,19.307,12.926,11.996,11.89,7.79,,,,,4.38
long-term-debt,363.123,324.497,324.887,313.789,280.764,280.305,279.847,279.389,278.938,278.468,,,,,,,1.748,1.944,1.94,1.936,1.937,,,,,
other-non-current-liabilities,,,,1.015,1.035,1.046,1.059,0.918,26.977,0.696,0.686,0.495,0.156,0.123,0.101,0.367,0.575,0.557,,,,,,,,
total-long-term-liabilities,363.123,330.837,324.887,314.804,281.799,281.351,280.906,305.787,332.461,306.776,29.364,30.239,31.933,10.317,10.295,10.561,13.139,13.317,12.756,12.752,12.722,,,,,0.78
total-liabilities,421.761,381.71,386.981,353.36,356.075,374.998,377.984,411.145,475.722,335.379,50.675,65.231,60.632,35.704,36.936,36.457,32.446,26.243,24.752,24.642,20.512,0.0,0.0,,0.0,5.17
common-stock-net,0.055,0.054,0.054,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.036,0.036,0.035,0.03,0.03,0.03,0.025,0.025,0.025,0.001,0.0,0.0,,0.0,0.001
retained-earnings-accumulated-deficit,-885.453,-827.832,-809.87,-745.038,-673.228,-606.684,-582.752,-553.393,-497.381,-318.207,-279.641,-250.132,-242.749,-217.239,-189.484,-161.048,-129.897,-113.843,-96.684,-82.649,-75.922,,,,,-28.42
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,14.48,65.556,74.594,-9.039,53.847,112.447,127.873,149.649,198.727,372.409,405.096,247.37,250.869,270.922,159.866,185.475,214.756,125.201,140.859,153.579,39.104,0.0,0.0,,0.0,7.34
total-liabilities-share-holders-equity,436.241,447.266,461.575,344.321,409.922,487.445,505.857,560.794,674.449,707.788,455.771,312.601,311.501,306.626,196.802,221.932,247.202,151.444,165.611,178.221,59.616,0.0,0.0,,0.0,12.51
