,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,0.3509,0.3064,0.2271,0.2205,0.1303,0.0973,0.1219,0.1148,0.0903,0.0726,0.071,0.0895,0.0822,0.0835,0.0698,0.0529,0.0792,0.1048,0.0697,0.067,0.0588,0.0386,0.0297,0.03,0.0433,0.0529,0.0392,0.0555,0.0559,0.0475,0.0518,0.0471,0.0427,0.045,0.0442,0.0599,0.0602,,,,,0.5126,0.5302,0.5332,0.4213,0.195,0.122,0.151,0.1392,0.1474,,0.1522,0.1752,0.1784,,0.1899,0.2005,
other-current-assets,,,,,,,,,,,,,,,,0.289,0.1887,0.2632,0.0973,0.1224,0.0853,0.0814,0.1965,0.1027,0.0407,0.185,0.1389,0.057,0.0386,0.0376,0.066,0.1346,0.2513,0.3879,0.528,0.2133,0.0633,0.1021,0.104,,,,,,,,,,,,,,,,,,,
total-current-assets,102.223,101.6748,52.4498,51.7745,27.9442,24.23,22.0433,17.2989,17.2163,14.4868,16.3931,6.0964,4.2473,5.9135,4.1321,6.2061,8.0305,3.5114,2.1619,1.3708,0.6555,0.7834,1.1116,0.9884,1.0041,0.8231,0.9583,0.8987,1.9346,3.2014,5.1328,3.0616,5.3588,7.6567,9.9977,3.1111,4.3282,2.3227,3.9053,0.8952,1.3709,1.3454,1.054,1.5436,1.9795,2.7476,2.7311,3.3519,0.3863,0.7436,,0.1991,0.1994,0.2117,,0.2928,0.5365,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,16.4364,16.5652,0.1577,0.1372,0.1248,0.1178,0.106,0.0906,0.0565,0.0297,0.0152,0.005,0.0063,0.0049,0.0086,0.0135,0.1183,0.1273,0.1368,0.1463,0.1564,0.1674,0.1801,0.1891,0.2168,0.2445,0.2723,0.2946,0.3217,0.3509,0.3791,0.4063,0.3868,0.3565,0.3549,0.3462,0.3466,0.3359,0.312,0.2442,0.2596,0.2682,0.2644,0.2785,0.0011,0.0011,0.0005,0.0012,0.0024,0.0035,,0.0059,0.007,0.0082,,0.0105,0.0123,
other-long-term-assets,5.0195,4.5681,2.0622,0.3508,0.3518,0.3518,0.3634,0.3634,0.3634,0.3634,0.3634,0.3634,0.3634,0.3634,0.3634,0.3634,,,,,,0.0094,0.0094,0.0094,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0094,0.0094,0.0094,,,,,,,0.0304,0.0613,0.1046,0.1479,0.1788,0.2097,0.2406,0.0502,,,,,,,,,
total-long-term-assets,32.8348,31.4713,7.3446,4.8456,4.0552,3.5083,3.0417,2.9652,2.5034,2.7048,2.508,2.0155,1.7429,1.7786,1.6917,1.2526,0.8854,0.5087,0.4447,0.4958,0.5498,0.5415,0.5983,0.6626,0.7532,0.8393,0.7975,0.8384,0.9043,1.0297,1.0808,1.1625,1.0741,1.0247,1.0338,1.0257,1.0428,1.0809,0.8712,1.0689,1.0671,0.5308,0.5186,0.6701,0.4586,0.4927,0.7298,0.8072,0.2105,0.039,,0.0573,0.0528,0.0566,,0.0897,0.1078,
total-assets,135.0578,133.1461,59.7944,56.6201,31.9994,27.7383,25.085,20.2641,19.7197,17.1916,18.9011,8.1119,5.9902,7.6921,5.8238,7.4586,8.9159,4.0201,2.6066,1.8666,1.2053,1.3249,1.71,1.651,1.7573,1.6624,1.7558,1.7371,2.8389,4.2311,6.2136,4.2241,6.4329,8.6814,11.0315,4.1368,5.371,3.4036,4.7765,1.9641,2.4381,1.8762,1.5726,2.2137,2.4381,3.2403,3.4609,4.1591,0.5968,0.7826,0.0,0.2564,0.2522,0.2683,0.0,0.3826,0.6444,0.0
total-current-liabilities,5.7087,5.7336,4.5319,3.0614,2.7853,3.133,2.4427,2.2023,1.7706,1.9675,2.6342,2.2313,2.2922,2.6069,2.1736,2.4683,2.1972,1.9727,2.9965,2.9842,2.5789,2.3833,4.0144,1.7738,1.0426,3.3777,2.4974,0.9522,0.7131,0.596,1.1086,2.2152,2.5296,3.1835,3.2379,2.6525,2.3344,1.7288,1.9104,20.0927,24.273,16.902,4.747,3.5249,3.4017,2.9682,1.7499,1.4782,0.8652,0.8444,,0.9718,0.7868,0.9474,,0.6706,0.7622,
