,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
cash-on-hand,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,0.007
total-current-assets,171.307,135.525,149.296,158.97,169.845,178.955,25.969,6.048,,,,1.968
net-property-plant-equipment,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,6.388,3.552,3.705,0.933,0.163,0.169,2.636,0.181,,,,0.007
total-long-term-assets,7.587,3.756,3.901,1.142,0.381,0.388,2.854,0.295,,,,0.007
total-assets,178.894,139.281,153.197,160.112,170.226,179.343,28.823,6.343,0.0,0.0,0.0,1.975
total-current-liabilities,10.075,6.489,7.841,4.789,6.05,5.296,4.738,2.238,,,,0.293
long-term-debt,4.736,0.782,0.854,,,,,,,,,
other-non-current-liabilities,0.129,0.164,0.201,0.316,0.357,0.403,0.439,0.273,,,,0.36
total-long-term-liabilities,4.865,0.946,1.055,0.316,0.357,0.403,3.308,0.273,,,,0.36
total-liabilities,14.94,7.435,8.896,5.105,6.407,5.699,8.046,2.511,0.0,0.0,0.0,0.653
common-stock-net,0.038,0.037,0.037,0.037,0.037,0.037,0.004,0.004,0.0,0.0,0.0,0.003
retained-earnings-accumulated-deficit,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,163.954,131.846,144.301,155.007,163.819,173.644,20.777,3.832,0.0,0.0,0.0,1.322
total-liabilities-share-holders-equity,178.894,139.281,153.197,160.112,170.226,179.343,28.823,6.343,0.0,0.0,0.0,1.97
